,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2021-03-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-12-31,$308.007,$381.666,$-35.458,$346.208,$-94.43,-,-,-,$-50.545,$603.67,$-497.522,-,$-4.886,-,$-40.626,$-40.626,$48.526,$-494.508,$26.317,-,$26.317,$0.348,$0.348,$-430.663,$-62.202,$-466.2,$-342.107,$23.471,$-430.663
2020-09-30,$332.521,$367.115,$323.442,$690.557,$-112.284,-,-,-,$-45.092,$977.986,$-334.32,-,$-0.922,-,$-58.464,$-58.464,$65.047,$-328.659,$380.43,-,$380.43,$0.018,$-7.182,$-430.589,$-202.984,$-260.325,$391.064,$26.554,$-430.589
2020-06-30,$454.938,$371.312,$-229.937,$141.375,$-26.553,-,-,-,$79.943,$676.256,$-205.201,-,$-1.773,-,$-35.173,$-35.173,$0.157,$-241.99,$-176.367,-,$-176.367,$17.812,$17.812,$-416.183,$-121.31,$-696.048,$-258.742,$27.998,$-416.183
2020-03-31,$521.164,$323.407,$-147.658,$175.749,$105.648,-,-,-,$-17.82,$679.093,$-211.251,-,"$-1,687.214",-,$-251.673,$-251.673,$140.965,"$-2,009.173",$800.872,-,$800.872,$-50.79,$-50.79,$-445.554,$745.883,"$1,050.411",$-280.984,$31.808,$-445.554
2019-12-31,$426.242,$272.335,$-33.263,$239.072,$-82.316,-,-,-,$-48.94,$616.374,$-411.119,-,-,-,$-19.442,$-19.442,$27.457,$-403.104,$217.19,-,$217.19,$0.183,$0.183,$-336.698,$-36.897,$-156.222,$63.861,$25.09,$-336.698
2019-09-30,$491.013,$261.245,$-220.146,$41.099,$-14.109,-,-,-,$112.027,$644.139,$-305.671,-,-,-,$-70.548,$-70.548,$12.2,$-364.019,$737.675,-,$737.675,$1.527,$1.527,$-336.599,$-52.08,$350.523,$623.804,$20.523,$-336.599
2019-06-30,$410.826,$264.62,$-178.44,$86.18,$1.73,-,-,-,$11.601,$508.607,$26.508,-,-,-,$-110.62,$-110.62,$6.246,$-77.866,$145.738,-,$145.738,$21.02,$21.02,$-323.132,$-128.892,$-285.266,$150.16,$20.186,$-323.132
2019-03-31,$373.765,$260.259,$-71.476,$188.783,$-13.47,-,-,-,$-67.634,$494.914,$-101.578,-,-,-,$-75.559,$-75.559,$336.776,$159.639,$-297.908,-,$-297.908,$-16.648,$-16.648,$-349.231,$-84.847,$-748.634,$-92.826,$31.758,$-349.231
2018-12-31,$690.49,$269.312,$-447.414,$-178.102,$4.32,-,-,-,$17.253,$529.641,$-182.117,-,$0.398,-,$-43.353,$-43.353,$205.381,$-19.691,$-124.671,-,$-124.671,$1.738,$1.738,$-303.791,$-16.286,$-443.01,$68.294,$18.064,$-303.791
