,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$352.432,$141.406,$59.12,$200.526,-,-,-,-,-,$512.562,$-93.966,-,$-509.849,-,-,-,$14.252,$-589.563,-,$-0.515,$-0.515,$7.159,$441.624,$-398.108,$-1.874,$41.127,$-36.108,$11.828,$-398.108
2020-09-30,$325.847,$138.333,$44.861,$183.194,-,-,-,-,-,$528.266,$-76.88,-,$-29.086,-,-,-,$2.649,$-103.317,-,$-0.505,$-0.505,$1.819,$-993.61,$-403.728,$-1.179,"$-1,399.022",$-974.237,$8.734,$-403.728
2020-06-30,$315.812,$137.618,$30.353,$167.971,-,-,-,-,-,$539.124,$-83.445,-,$-68.547,-,-,-,$17.062,$-134.93,-,$-0.503,$-0.503,$1.923,$551.093,$-402.786,$-1.122,$146.682,$550.817,$7.124,$-402.786
2020-03-31,$367.136,$135.9,$-12.91,$122.99,-,-,-,-,-,$462.95,$-105.12,-,$-184.784,-,-,-,-,$-289.904,$545.151,$-0.497,$544.654,$1.763,$1.763,$-401.807,$-9.113,$135.497,$308.574,$5.677,$-401.807
2019-12-31,$387.097,$134.885,$22.007,$156.892,-,-,-,-,-,$499.989,$-117.188,-,$-121.115,-,-,-,$11.63,$-226.673,-,$-0.488,$-0.488,$0.555,$-1.86,$-401.368,$-0.634,$-404.35,$-131.138,$6.345,$-401.368
2019-09-30,$399.42,$129.233,$-12.068,$117.165,-,-,-,-,-,$552.46,$-137.41,-,$-120.458,-,-,-,$0.324,$-257.544,-,$-0.484,$-0.484,$15.619,$322.967,$-399.773,$-36.81,$-114.1,$180.861,$7.114,$-399.773
2019-06-30,$371.456,$126.859,$14.8,$141.659,-,-,-,-,-,$545.353,$-107.393,-,$-116.686,-,-,-,$0.438,$-223.641,$496.9,$-0.481,$496.419,$15.797,$-271.703,$-403.118,$-0.878,$-179.28,$142.428,$5.71,$-403.118
2019-03-31,$367.678,$121.941,$-3.364,$118.577,-,-,-,-,-,$469.832,$-109.994,-,$-79.499,-,-,-,-,$-189.493,-,$-0.467,$-0.467,$1.593,$-6.684,$-404.49,$-11.364,$-423.005,$-142.616,$6.664,$-404.49
2018-12-31,$587.906,$121.374,$-172.51,$-51.136,-,-,-,-,-,$492.164,$-138.744,-,$-73.245,-,$-91.927,$-91.927,$142.721,$-161.195,-,$-0.455,$-0.455,$4.582,$4.582,$-403.281,$-2.88,$-402.034,$-71.093,$18.1,$-403.281
2018-09-30,$379.589,$124.516,$65.858,$190.374,-,-,-,-,-,$592.21,$-118.224,-,$-73.845,-,$91.927,$91.927,$1.443,$-98.699,-,$-0.447,$-0.447,$6.244,$6.244,$-403.246,$-2.224,$-399.673,$93.682,$18.605,$-403.246
2018-06-30,$405.292,$119.777,$-34.015,$85.762,-,-,-,-,-,$520.753,$-125.221,-,$-15.906,-,-,-,-,$-141.127,-,$-0.442,$-0.442,$0.732,$0.732,$-403.061,$-1.464,$-404.235,$-24.571,$17.253,$-403.061
2018-03-31,$344.436,$117.979,$9.226,$127.205,-,-,-,-,-,$458.519,$-98.823,-,$-18.024,-,-,-,$1.947,$-114.9,-,$-0.44,$-0.44,$0.967,$0.967,$-403.092,$-11.081,$-413.646,$-70.052,$15.978,$-403.092
2017-12-31,$390.963,$120.1,$12.632,$132.732,-,-,-,-,-,$470.37,$-132.609,-,$-203.603,-,-,-,$0.507,$-335.705,$992.077,$-992.563,$-0.486,$7.746,$7.746,$-402.75,$-2.117,$-397.607,$-262.903,$12.043,$-402.75
2017-09-30,$358.274,$113.32,$25.219,$138.539,-,-,-,-,-,$537.192,$-108.64,-,$-47.269,-,-,-,-,$-155.909,-,$991.703,$991.703,$2.852,$-629.528,$-409.61,$-1.954,$-49.389,$331.833,$12.343,$-409.61
2017-06-30,$355.207,$110.177,$21.935,$132.112,-,-,-,-,-,$506.244,$-121.302,-,$-11.623,-,-,-,$5.596,$-127.329,-,$-0.421,$-0.421,$13.868,$284.925,$-409.653,$-16.286,$-141.435,$237.359,$4.265,$-409.653
2017-03-31,$344.021,$110.929,$7.766,$118.695,-,-,-,-,-,$459.083,$-95.337,-,$-22.784,-,-,-,-,$-118.121,-,$-0.42,$-0.42,$18.034,$18.034,$-408.334,$-13.068,$-403.788,$-62.809,$8.897,$-408.334
2016-12-31,$415.681,$111.741,$-16.111,$95.63,-,-,-,-,-,$465.296,$-98.907,-,$-159.526,-,-,-,$14.881,$-243.552,-,$-16.464,$-16.464,$11.35,$349.425,$-406.995,$-3.438,$-77.472,$144.09,$10.638,$-406.995
2016-09-30,$369.05,$109.432,$9.678,$119.11,-,-,-,-,-,$515.326,$-79.21,-,$-71.995,-,-,-,$-16.559,$-167.764,-,$-9.403,$-9.403,$3.466,$-169.584,$-369.718,$-1.838,$-550.543,$-202.911,$11.376,$-369.718
2016-06-30,$358.359,$107.013,$38.381,$145.394,-,-,-,-,-,$523.734,$-93.742,-,$-99.499,-,$67.42,$67.42,$0.704,$-125.117,-,$108.98,$108.98,$1.058,$-180.381,$-371.71,$-1.434,$-444.545,$-45.581,$8.404,$-371.71
2016-03-31,$317.349,$105.128,$14.917,$120.045,-,-,-,-,-,$440.98,$-79.492,-,$-85.158,-,-,-,$1.972,$-162.678,-,$-5.952,$-5.952,$9.667,$299.784,$-357.335,$-12.763,$-76.266,$201.42,$7.065,$-357.335
2015-12-31,$365.259,$106.307,$27.239,$133.546,-,-,-,-,-,$436.465,$-81.606,-,$-72.161,-,-,-,$-16.282,$-170.049,$16.741,$247.018,$263.759,$3.749,$-121.251,$-353.705,$-3.242,$-214.439,$52.587,$32.57,$-353.705
2015-09-30,$341.136,$106.082,$-3.257,$102.825,-,-,-,-,-,$472.189,$-82.316,-,$-17.132,-,$-13.929,$-13.929,$15.265,$-98.112,$-27.741,$16.282,$-11.459,$29.017,$29.017,$-355.693,$-20.5,$-358.635,$15.412,-,$-355.693
2015-06-30,$328.04,$106.473,$-15.972,$90.501,-,-,-,-,-,$457.133,$-59.057,-,$-55.492,-,$13.929,$13.929,$6.793,$-93.827,$11,$-10.745,$0.255,$6.489,$-138.511,$-355.77,$-1.369,$-495.395,$-132.541,-,$-355.77
2015-03-31,$283.254,$107.146,$-9.491,$97.655,-,-,-,-,-,$382.492,$-71.093,-,$-32.291,-,-,-,$9.237,$-94.147,-,$-5.537,$-5.537,$-9.592,$-9.592,$-305.863,$-1.822,$-322.814,$-34.915,-,$-305.863
2014-12-31,$348.426,$110.573,$32.596,$143.169,-,-,-,-,-,$450.393,$-80.796,-,$-124.317,-,-,-,$-3,$-208.113,-,$-22.412,$-22.412,$1.962,$185.81,$-303.875,$-13.419,$-153.896,$89.46,$29.541,$-303.875
2014-09-30,$294.977,$111.077,$-3.147,$107.93,-,-,-,-,-,$427.103,$-60.335,-,$-237.906,-,-,-,$206.302,$-91.939,$-322,$-3.226,$-325.226,$5.419,$560.525,$-302.747,$-556.926,$-624.374,$-289.731,-,$-302.747
2014-06-30,$278.279,$106.443,$-0.769,$105.674,-,-,-,-,-,$395.337,$-42.747,-,$-30.741,-,-,-,$2.14,$-71.348,$-50,$-18.058,$-68.058,$5.082,$-222.415,$-299.697,$553.485,$-36.685,$286.871,-,$-299.697
2014-03-31,$228.273,$109.021,$0.62,$109.641,-,-,-,-,-,$330.709,$-38.653,-,-,-,-,-,$211.722,$173.069,$-378.1,$-0.71,$-378.81,$25.409,$252.906,$-294.226,$-1.779,$-421.909,$81.943,-,$-294.226
2013-12-31,$297.977,$108.927,$-18.393,$90.534,-,-,-,-,-,$390.676,$-25.447,-,$-728.811,-,$-105.04,$-105.04,$-6.433,$-865.731,$617.1,$116.041,$733.141,$5.111,$706.798,$-293.161,$-709.545,$437.233,$-37.796,-,$-293.161
2013-09-30,$285.628,$96.537,$-19.037,$77.5,-,-,-,-,-,$367.094,$-76.374,-,$-367.583,-,-,-,$2.059,$-441.898,$133,$-144.346,$-11.346,$-0.29,$-0.29,$-267.303,$-1.618,$-280.557,$-353.945,-,$-267.303
2013-06-30,$261.679,$90.937,$-7.838,$83.099,-,-,-,-,-,$363.23,$-22.49,-,$-40.752,-,-,-,$-0.106,$-63.348,-,$-30.404,$-30.404,$12.427,$-689.26,$-267.264,$700.153,$-286.775,$12.658,-,$-267.264
2013-03-31,$212.247,$91.001,$12.244,$103.245,-,-,-,-,-,$309.339,$-35.597,-,$-13.54,-,-,-,$7.721,$-41.416,$-133,$-193.186,$-326.186,$3.863,$705.55,$-263.733,$-1.692,$113.939,$381.013,-,$-263.733
