,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$62.619,$23.518,$0.447,$23.965,$-12.045,$-10.706,-,$-20.756,$8.594,$95.178,$2.161,-,$-67.668,-,-,-,$-2.357,$-67.864,$33,-,$33,$-0.19,$-0.19,$-68.742,$0.157,$-35.775,$3.037,$2.699,$-68.742
2020-09-30,$79.579,$22.404,$17.338,$39.742,-,-,-,$-13.486,$-13.486,$105.835,$-5.249,-,$-23.705,-,-,-,$0.789,$-28.165,$-85,-,$-85,-,-,$-26.214,$-16.306,$-127.52,$-39.389,$10.511,$-26.214
2020-06-30,$75.358,$21.925,$10.895,$32.82,-,-,-,$34.631,$34.631,$142.809,$-5.767,-,$-8.426,-,-,-,$0.879,$-13.314,$-64.8,-,$-64.8,$-0.054,$-0.054,$-26.214,$-5.822,$-96.89,$42.247,$3.821,$-26.214
2020-03-31,$43.268,$21.597,$8.491,$30.088,-,-,-,$18.607,$18.607,$91.963,$-6.674,-,$-47.319,-,-,-,$0.941,$-53.052,$28.3,-,$28.3,$-8.031,$-8.031,$-39.317,$-2.04,$-21.088,$-1.694,$3.819,$-39.317
2019-12-31,$50.765,$21.039,$58.789,$79.828,$-20.151,$-2.151,-,$-40.134,$-54.91,$75.683,$-6.687,-,$0.696,-,-,-,$-1.148,$-7.139,$-34.5,-,$-34.5,$-0.074,$-0.074,$-50.743,$-2.397,$-87.714,$-10.066,$3.267,$-50.743
2019-09-30,$44.061,$21.69,$-3.19,$18.5,-,-,-,$39.153,$39.153,$101.714,$-5.265,-,$-21.056,-,-,-,$0.273,$-26.048,$-21.875,-,$-21.875,$-0.101,$-0.101,$-34.394,$-8.339,$-64.709,$5.876,$3.305,$-34.394
2019-06-30,$64.295,$20.132,$8.067,$28.199,-,-,-,$-11.74,$-11.74,$80.754,$-6.955,-,$-402.935,-,-,-,$0.528,$-409.362,$347.875,-,$347.875,$-0.713,$-0.713,$-34.367,$-2.426,$310.369,$-18.141,$3.697,$-34.367
2019-03-31,$44.226,$16.683,$8.307,$24.99,-,-,-,$-7.794,$-7.794,$61.422,$-6.481,-,$-6.646,-,-,-,$0.569,$-12.558,-,-,-,$-9.121,$-9.121,$-34.332,$-2.807,$-46.26,$1.122,$3.889,$-34.332
2018-12-31,$50.968,$14.526,$12.737,$27.263,$-12.549,$-0.374,-,$32.196,$7.896,$86.127,$-5.694,-,$-4.984,-,-,-,$-0.612,$-11.29,-,-,-,$-0.008,$-0.008,$-61.065,$-13.129,$-74.202,$-3.167,$3.696,$-61.065
2018-09-30,$66.628,$16.867,$8.69,$25.557,-,-,-,$-9.42,$-9.42,$82.765,$-5.399,-,$-17.051,-,-,-,$0.577,$-21.873,-,-,-,$-0.195,$-0.195,$-30.535,-,$-30.73,$30.767,$3.66,$-30.535
2018-06-30,$65.542,$16.366,$6.602,$22.968,-,-,-,$-30.749,$-30.749,$57.761,$-8.112,-,$-11.414,-,-,-,$0.349,$-19.177,-,-,-,$-0.113,$-0.113,$-30.54,-,$-30.653,$3.566,$3.277,$-30.54
2018-03-31,$48.525,$16.916,$6.931,$23.847,-,-,-,$0.376,$0.376,$72.748,$-6.134,-,$-42.977,-,-,-,$0.076,$-49.035,-,-,-,$-9.225,$-9.225,$-30.602,-,$-39.827,$-22.731,$3.093,$-30.602
