,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$255.8,$166.2,$95,$261.2,$-72.8,$19.8,-,$124.2,$62.4,$574.2,$-16.1,-,$-364.9,-,-,-,$0.1,$-380.9,$-600,$460,$-140,$-4.9,$-4.9,$-54.1,$-0.5,$-199.5,$6.2,$33.3,$-54.1
2020-09-30,$234.4,$133.1,$36.2,$169.3,$76.5,$3.9,-,$-60,$-257.9,$137.9,$-12.1,-,"$-5,500.7",-,-,-,$-2.7,"$-5,515.5","$2,700","$1,160","$3,860",$27.6,$27.6,$-53.4,$-30.7,"$3,803.5","$-1,568.7",$30.2,$-53.4
2020-06-30,$219.2,$115.7,$20.5,$136.2,$-19.5,$-8.8,-,$-7.1,$90.1,$449.1,$-10.2,-,$-150.3,-,-,-,-,$-160.5,$600,-,$600,$37.3,$37.3,$-53.5,$-12.2,$571.6,$871,$30.5,$-53.5
2020-03-31,$240.3,$116.7,$27.7,$144.4,$69.1,$-10.3,-,$-39.5,$-10.7,$363.9,$-10.5,-,$-6.5,-,-,-,-,$-17,-,-,-,$14.9,$14.9,$-53.1,$-0.5,$-38.7,$290.1,$27.7,$-53.1
2019-12-31,$871.1,$119,$-500.1,$-381.1,$-98.8,$7.9,-,$96.9,$-23.5,$466.2,$-13,-,$900.9,-,-,-,$-0.1,$887.8,-,$-925,$-925,$-2.3,$-2.3,$-48.2,$0.4,$-975.1,$386.7,$24.1,$-48.2
2019-09-30,$277.5,$108.2,$177.6,$285.8,$13.6,$-6.8,-,$-14.3,$-150.1,$404.5,$-17.1,-,"$-1,812.7",-,-,-,$0.1,"$-1,829.7","$1,200",$285,"$1,485",$7.4,$7.4,$-47.9,$-9.5,"$1,435",$2.2,$26.1,$-47.9
2019-06-30,$249.7,$99.8,$30.1,$129.9,$-50.4,$1.1,-,$27.6,$-82.9,$300.8,$-15,-,$-535.9,-,-,-,$-0.4,$-551.3,-,$230,$230,$12.4,$12.4,$-47.9,$-13.1,$181.4,$-71.7,$29,$-47.9
2019-03-31,$369.6,$96.3,$-103.7,$-7.4,$88.9,$-19.5,-,$-13.4,$-54.4,$290.3,$-17.8,-,$217.2,-,-,-,$-2.2,$197.2,-,$-455,$-455,$24.2,$24.2,$-47.7,$14.2,$-464.3,$28.1,$25.3,$-47.7
2018-12-31,$257.1,$95.8,$306.7,$402.5,$-53.4,$8.6,-,$60.3,$-195.6,$464.1,$-17.2,-,$-87.5,-,-,-,-,$-104.7,$-800,$525,$-275,$-34.7,$-34.7,$-43.4,$5.8,$-347.3,$1,$52.7,$-43.4
2018-09-30,$247.6,$96.1,$43,$139.1,$-1.7,$-15.2,-,$-3.2,$30.7,$418.2,$-13.9,-,$-6,-,-,-,$0.1,$-19.8,"$1,000","$-1,395",$-395,$15.2,$15.2,$-42.2,$-35.2,$-457.2,$-58.4,$27.1,$-42.2
