,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$1,135",$851,"$-10,266","$-9,415","$-11,000","$14,431","$14,595","$3,412","$21,438","$13,257",$-166,-,"$11,992",-,"$-32,817","$-32,817","$-1,415","$-22,406","$1,981",-,"$1,981","$2,514","$2,514",$-406,"$37,258","$41,347","$32,198",$80,$-406
2020-09-30,$698,$623,$33,$656,"$-4,027","$1,767","$1,871","$-1,129","$-1,518",$-80,$-130,-,-,-,"$-24,389","$-24,389","$-1,481","$-26,000",$-700,-,$-700,$6,$6,$-327,"$19,150","$18,129","$-7,951",$33,$-327
2020-06-30,$671,$430,$35,$465,"$-2,345","$-12,388","$-3,588",$659,"$-17,662","$-16,443",$-179,-,"$2,756",-,"$-59,411","$-59,411","$-1,415","$-58,249",-,-,-,"$2,476","$2,476",$-266,"$24,088","$26,298","$-48,394",$35,$-266
2020-03-31,$795,$286,$56,$342,"$2,763","$-3,810","$10,031",$-86,"$8,898","$10,118",$-156,-,-,-,"$-17,691","$-17,691","$-1,349","$-19,196","$1,089",-,"$1,089",$23,$23,$-281,"$57,377","$58,208","$49,130",$56,$-281
2019-12-31,$852,$258,$-923,$-665,$-701,$858,"$3,598",$290,"$4,045","$4,304",$-193,-,-,-,$328,$328,"$-1,430","$-1,295",-,-,-,$-203,$-203,$-252,"$10,739","$10,284","$13,293",$52,$-252
2019-09-30,$951,$211,$36,$247,$357,$31,"$4,609",$-855,"$4,142","$5,402",$-205,-,$2,-,"$-6,680","$-6,680",$-306,"$-7,189",-,-,-,$-792,$-792,$-271,$952,$-111,"$-1,898",$36,$-271
2019-06-30,$937,$175,$39,$214,$-902,$631,"$1,312",$-10,"$1,031","$2,214",$-171,-,$-2,-,"$2,492","$2,492",$-156,"$2,163",$593,-,$593,"$-1,133","$-1,133",$-261,"$-11,082","$-11,883","$-7,506",$39,$-261
2019-03-31,$964,$151,$56,$207,"$1,121","$-1,520","$-3,025",$-375,"$-3,799","$-2,595",$-139,-,-,-,"$18,318","$18,318",$106,"$18,285",-,-,-,$26,$26,$-276,"$-11,979","$-12,229","$3,461",$56,$-276
2018-12-31,$935,$154,"$7,055","$7,209",$905,"$-7,012","$4,832",$903,$-372,"$7,801",$-170,-,-,-,"$-14,300","$-14,300",$-65,"$-14,535","$1,085",-,"$1,085",$-983,$-983,$-208,"$17,973","$17,867","$11,133",$84,$-208
2018-09-30,$923,$167,$30,$197,$166,"$2,146","$-2,408",$220,$124,"$1,275",$-147,-,-,-,"$-6,220","$-6,220",$1,"$-6,366",$-2,"$-30,266","$-30,268",$9,$9,$-225,"$43,751","$13,267","$8,176",$30,$-225
2018-06-30,$866,$166,$33,$199,"$-1,331","$3,974",$-461,$-156,"$2,026","$3,132",$-131,-,-,-,"$-12,789","$-12,789",$-195,"$-13,115","$1,659","$30,266","$31,925",$50,$50,$-170,"$-20,529","$11,276","$1,293",$33,$-170
2018-03-31,$783,$169,$50,$219,$-840,$892,$-480,$-362,$-790,$248,$-122,-,-,-,"$-6,451","$-6,451",$34,"$-6,539",$-627,"$-15,000","$-15,627",$49,$49,$-184,"$20,518","$4,756","$-1,535",$50,$-184
2017-12-31,$597,$171,$100,$271,"$-2,179","$-1,953",$720,$-762,"$-4,174","$-3,290",$-133,-,-,-,"$-12,860","$-12,860",$-249,"$-13,242","$1,485","$10,000","$11,485",$73,$80,$-136,"$4,342","$15,771",$-761,$42,$-136
2017-09-30,$618,$161,$27,$188,$-228,"$4,573","$-2,043",$185,"$2,487","$3,309",$-103,-,-,-,"$-5,362","$-5,362",$-449,"$-5,914",$-252,"$4,700","$4,448",$27,$27,$-163,"$2,961","$7,273","$4,668",$27,$-163
2017-06-30,$575,$142,$32,$174,"$-1,456","$2,978","$-1,355",$-204,$-37,$719,$-84,-,-,-,"$6,377","$6,377","$-2,023","$4,270",$-2,$-300,$-302,$13,$13,$-135,"$-4,589","$-5,013",$-24,$32,$-135
