,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$50,$49,$54,$103,$86,$1,$-20,$3,$121,$274,$-31,-,$-6,-,-,-,$8,$-29,$-19,-,$-19,$32,$32,$-73,-,$-60,$190,$49,$-73
2020-09-30,$82,$76,$95,$171,$5,$64,$-14,$-22,$-31,$222,$-43,-,-,-,-,-,-,$-43,$-40,-,$-40,$27,$27,-,$-2,$-15,$168,$34,-
2020-06-30,$-6,$72,$17,$89,$273,$-29,$-36,$38,$314,$397,$-12,-,-,-,-,-,-,$-12,"$1,474",-,"$1,474",$20,$20,-,$-1,"$1,493","$1,881",$22,-
2020-03-31,$319,$66,$11,$77,$23,$-28,$2,$-27,$-235,$161,$-23,-,-,-,-,-,-,$-23,$181,-,$181,$30,$30,"$-1,864",$-9,"$-1,662","$-1,526",$11,"$-1,864"
2019-12-31,$305,$66,$-25,$41,$51,$-69,$-14,$-5,$87,$433,$-27,-,-,-,-,-,$904,$877,"$1,457",-,"$1,457",$20,$20,$-64,$1,"$1,414","$2,727",$26,$-64
2019-09-30,$349,$37,$-14,$23,$-17,$64,$6,$-3,$-125,$247,$-22,-,$-19,-,-,-,$189,$148,$-20,$49,$29,$18,$18,"$-1,688",-,"$-1,641","$-1,250",$23,"$-1,688"
2019-06-30,$145,$154,$27,$181,$-58,$-55,$-8,$30,$-11,$315,$-36,-,$-388,-,-,-,-,$-424,$-21,-,$-21,$17,$17,-,$1,$-3,$-112,$32,-
2019-03-31,$202,$59,$14,$73,$-52,$-16,$-2,$-45,$-152,$123,$-20,-,"$-3,540",-,-,-,-,"$-3,560","$3,894",-,"$3,894",$33,$33,-,$-2,"$3,925",$492,$20,-
2018-12-31,$196,$43,$18,$61,$45,$-29,$3,$-9,$73,$330,$-24,-,$-29,-,-,-,-,$-53,-,-,-,$14,$14,$-24,-,$-10,$264,$18,$-24
2018-09-30,$228.701,$33.122,$39.519,$72.641,$-43.139,$7.157,$17.276,$-2.5,$29.748,$331.09,$-22.903,-,$-85.738,-,-,-,$-0.686,$-109.327,$-19.984,-,$-19.984,$17.379,$17.379,$0.148,$-1.096,$-3.554,$219.188,$21.589,$0.148
2018-06-30,$217.246,$42.675,$17.821,$60.496,$-6.725,$-8.82,$1.348,$6.303,$-40.516,$237.226,$-19.213,-,$-531.942,-,-,-,-,$-551.155,"$1,154.994",-,"$1,154.994",$14.316,$14.316,-,$-7.749,"$1,161.562",$842.366,$13.708,-
2018-03-31,$196.278,$36.245,$21.335,$57.58,$-75.311,$-3.829,$3.804,$-10.334,$-92.985,$160.873,$-15.594,-,$-50.32,-,-,-,$57.686,$-8.228,$-18.243,-,$-18.243,$19.015,$19.015,-,$-1.793,$-1.021,$153.145,$11.59,-
2017-12-31,$314.775,$35.958,$-160.675,$-124.717,$81.175,$-12.508,$-4.428,$1.531,$102.753,$292.811,$-15.29,-,-,-,-,-,-,$-15.29,$-21.767,-,$-21.767,$7.29,$7.29,$-56.148,$-0.362,$-70.987,$207.301,$11.113,$-56.148
2017-09-30,$153.458,$54.669,$46.189,$100.858,$-33.474,$5.452,$1.988,$-6.46,$-20.799,$233.517,$-15.342,-,$-80.483,-,-,-,$79.695,$-16.13,$568.642,$99.471,$668.113,$3.131,$3.131,"$-1,205.518",$-6.794,$-541.068,$-319.995,$12.817,"$-1,205.518"
2017-06-30,$169.053,$41.728,$12.629,$54.357,$-24.303,$-7.221,$5.203,$0.047,$-58.694,$164.716,$-17.235,-,$-105.505,-,-,-,$-0.816,$-123.556,$-16.659,-,$-16.659,$-44.287,$-44.287,$-0.036,$-0.032,$-61.014,$-14.833,$11.581,$-0.036
2017-03-31,$155.505,$40.21,$15.638,$55.848,$-56.704,$-1.469,$8.655,$0.675,$-46.644,$164.709,$-16.629,-,-,-,-,-,$-78.879,$-95.508,$284.855,-,$284.855,$-331.136,$-331.136,-,$-10.602,$-56.883,$13.029,$11.106,-
2016-12-31,$118.871,$42.668,$41.611,$84.279,$59.812,$8.365,$-26.2,$-4.826,$22.641,$225.791,$-21.807,-,$-30.002,-,-,-,-,$-51.809,$587.776,-,$587.776,$3.648,$3.648,"$-1,375.998",$-0.143,$-784.717,$-614.634,$10.02,"$-1,375.998"
2016-09-30,$154.668,$41.069,$15.946,$57.015,$-42.766,$13.616,$20.446,$-6.697,$-10.561,$201.122,$-13.975,-,$-256.058,-,-,-,-,$-270.033,$-14.349,-,$-14.349,$4.792,$4.792,-,$-1.271,$-10.828,$-79.701,$14.487,-
2016-06-30,$160.622,$33.611,$28.89,$62.501,$-18.864,$-0.155,$0.562,$-3.113,$-27.827,$195.296,$-7.693,-,$-998.626,-,-,-,-,"$-1,006.319","$1,852.959",-,"$1,852.959",$12.936,$12.936,-,$-2.256,"$1,863.639","$1,054.68",$11.371,-
2016-03-31,$141.683,$33.168,$13.79,$46.958,$-32.852,$-1.426,$0.495,$3.974,$-80.43,$108.211,$-12.142,-,$-144.38,-,-,-,-,$-156.522,$-10.96,-,$-10.96,$-133.488,$-133.488,-,$0.034,$-144.414,$-193.276,$11.767,-
2015-12-31,$129.441,$30.033,$11.282,$41.315,$14.368,$-14.108,$-28.16,$0.917,$7.913,$178.669,$-10.172,-,-,-,-,-,-,$-10.172,$-10.96,-,$-10.96,$-61.883,$-61.883,$-3,$-0.087,$-75.93,$91.258,$10.681,$-3
2015-09-30,$141.673,$29.704,$-6.31,$23.394,$-18.374,$2.023,$14.128,$-12.545,$-17.556,$147.511,$-14.572,-,$-330.78,-,-,-,-,$-345.352,$-23.062,-,$-23.062,$8.692,$8.692,-,$11.068,$-3.302,$-201.317,$8.065,-
