,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$307.734,$133.93,$-1.265,$132.665,$-191.336,-,-,$-146.937,$-292.123,$142.012,$-184.651,-,$0.317,-,$-1.775,$-1.775,$-41.75,$-227.859,$209.425,-,$209.425,$-3.591,$-3.591,-,$11.833,$217.667,$133.265,$15.909,-
2020-09-30,$244.092,$125.961,$-121.856,$4.105,$-85.859,-,-,$457.14,$395.501,$766.788,$-192.046,-,$-49.63,-,$-0.712,$-0.712,$-35.5,$-277.888,$83.486,-,$83.486,$3.392,$3.392,-,$-15.094,$71.784,$561.617,$15.974,-
2020-06-30,$256.504,$126.208,$52.465,$178.673,$61.531,-,-,$423.542,$518.751,$949.307,$-170.508,-,$5.472,-,$0.466,$0.466,$2.774,$-161.796,$-274.234,-,$-274.234,$-25.112,$-25.112,-,$-3.15,$-302.496,$485.049,$15.907,-
2020-03-31,$144.46,$124.394,$36.323,$160.717,$69.763,-,-,$85.013,$199.923,$502.062,$-184.102,-,-,-,$-0.751,$-0.751,$49.834,$-135.019,$-179.645,-,$-179.645,$-169.09,$-169.09,$-17.344,$-5.735,$-371.814,$-6.444,$18.047,$-17.344
2019-12-31,$248.01,$127.656,$14.491,$142.147,$-4.724,-,-,$-93.04,$-65.166,$333.357,$-153.848,-,$-6.052,-,$-2.63,$-2.63,$-57.425,$-219.955,$35.153,-,$35.153,$-179.97,$-179.97,$-17.447,$-2.526,$-164.79,$-49.17,$17.264,$-17.447
2019-09-30,$100.87,$121.528,$48.341,$169.869,$63.997,-,-,$76.75,$161.263,$432.548,$-156.327,-,$7.497,-,-,-,$25.252,$-123.578,$-201.658,-,$-201.658,$-90.35,$-90.35,$-17.603,$-0.237,$-309.848,$-1.864,$17.491,$-17.603
2019-06-30,$241.265,$121.168,$-73.847,$47.321,$0.29,-,-,$-75.358,$-44.012,$240.76,$-154.072,-,-,-,$-11.07,$-11.07,$28.678,$-136.464,$254.423,-,$254.423,$-348.319,$-348.319,$-8.872,$-1.336,$-104.104,$-0.875,$17.085,$-8.872
2019-03-31,$237.398,$120.04,$47.562,$167.602,$-101.619,-,-,$104.107,$24.199,$431.804,$-169.848,-,-,-,$-0.879,$-0.879,$-37.686,$-208.413,$-105.84,-,$-105.84,$-141.059,$-141.059,$-9.081,$-10.314,$-266.294,$-42.109,$17.591,$-9.081
2018-12-31,$163.622,$118.074,$44.162,$162.236,$31.89,-,-,$-58.757,$-2.06,$325.342,$-143.613,-,$-2.448,-,$-1.421,$-1.421,$29.307,$-118.175,$-21.68,-,$-21.68,$-133.71,$-133.71,$-9.256,$-19.365,$-184.011,$21.993,$15.936,$-9.256
2018-09-30,$174.881,$112.286,$-9.313,$102.973,$-10.074,-,-,$57.191,$64.241,$342.437,$-127.01,-,$-87.085,-,$0.149,$0.149,$-21.697,$-235.643,$34.401,-,$34.401,$-123.694,$-123.694,$-9.282,$-0.349,$-98.924,$7.266,$15.929,$-9.282
2018-06-30,$230.711,$109.582,$-110.849,$-1.267,$8.471,-,-,$-58.761,$-20.752,$197.059,$-196.728,-,$12.663,-,$-5.384,$-5.384,$68.151,$-121.298,$68.206,-,$68.206,$-122.929,$-122.929,$-9.382,$-4.451,$-68.556,$4.21,$15.016,$-9.382
