,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2021-03-31,"$1,341",$549,$54,$603,$-105,$-21,-,$-1,$145,"$1,958",$-519,-,-,-,-,-,$14,$-505,$-47,$-15,$-62,"$-1,347","$-1,347",$-650,$-14,"$-2,073",$-620,-,$-650
2020-12-31,"$1,380",$557,$-102,$455,$60,$11,-,$-27,$341,"$2,547",$-603,-,-,$5,-,$5,$3,$-595,"$-1,222",$-125,"$-1,347",$-749,$-749,$-652,$-4,"$-2,752",$-800,-,$-652
2020-09-30,"$1,363",$555,$156,$711,$-177,$19,-,$29,$-601,"$1,601",$-683,-,-,-,-,-,$19,$-664,$-389,$-1,$-390,$-400,$-400,$-655,$402,"$-1,043",$-106,-,$-655
2020-06-30,"$1,132",$551,$80,$631,$281,$24,-,$-37,$419,"$2,237",$-693,-,-,-,-,-,$83,$-610,$543,-,$543,-,-,$-659,$6,$-110,"$1,517",-,$-659
2020-03-31,"$1,474",$547,$91,$638,$-74,$59,-,$1,$107,"$2,155",$-799,-,-,-,-,-,$-8,$-807,"$2,691",$-1,"$2,690","$-2,556","$-2,556",$-660,$-471,$-997,$351,-,$-660
2019-12-31,"$1,403",$559,$249,$808,$55,$20,-,$99,$138,"$2,345",$-947,-,-,$5,-,$5,$14,$-928,$-562,$-1,$-563,$-642,$-642,$-673,$14,"$-1,864",$-447,-,$-673
2019-09-30,"$1,555",$557,$88,$645,$159,$4,-,$73,$103,"$2,364",$-902,-,-,$5,-,$5,-,$-897,$956,$-476,$480,"$-1,533","$-1,533",$-677,$495,"$-1,235",$232,-,$-677
2019-06-30,"$1,570",$551,$106,$657,$-137,$5,-,$-28,$-380,"$1,941",$-778,-,-,$5,-,$5,$-53,$-826,$-44,$172,$128,$-642,$-642,$-622,$-6,"$-1,142",$-27,-,$-622
2019-03-31,"$1,391",$549,$103,$652,$83,$-38,-,$-57,$-31,"$1,959",$-752,-,-,-,-,-,$-32,$-784,"$2,432",$299,"$2,731","$-2,987","$-2,987",$-626,$-523,"$-1,405",$-230,-,$-626
2018-12-31,"$1,554",$555,$-4,$551,$37,$47,-,$41,$228,"$2,312",$-985,-,-,-,-,-,$8,$-977,$-29,$-1,$-30,"$-1,921","$-1,921",$-583,$717,"$-1,817",$-482,-,$-583
