,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$829,"$11,140",$-383,"$10,757",$-68,"$-12,170",-,$191,"$-11,857",$-271,$-111,-,$442,-,$1,$1,$-7,$325,$5,-,$5,$5,$5,$-150,$-56,$-196,$-111,$83,$-150
2020-09-30,$627,$98,$30,$128,-,-,-,$659,$659,"$1,414",$-81,-,$-1,-,-,-,-,$-82,$332,$-706,$-374,-,-,$-149,$-20,$-543,$800,$46,$-149
2020-06-30,$726,$124,$213,$337,-,-,-,$-268,$-268,$795,$-81,-,$-141,-,$-14,$-14,-,$-236,"$1,137",$186,"$1,323",-,-,$-149,$-46,"$1,128","$1,699",$48,$-149
2020-03-31,$519,$113,$238,$351,-,-,-,$-514,$-514,$356,$-51,-,$146,-,$-46,$-46,-,$49,-,$-186,$-186,$-58,$-58,$-152,$-83,$-479,$-103,$97,$-152
2019-12-31,$-254,"$12,669",$-198,"$12,471",$-247,"$-14,215",-,"$1,308","$-12,676",$-459,$-94,-,$-14,-,$-34,$-34,$-2,$-144,$-90,$649,$559,$-28,$-28,$-149,$-38,$344,$-244,$115,$-149
2019-09-30,$646,$108,$95,$203,-,-,-,$-349,$-349,$500,$-109,-,$-19,-,$-5,$-5,$2,$-131,$453,$-624,$-171,-,-,$-147,$-15,$-333,$18,$65,$-147
2019-06-30,$983,$109,$65,$174,-,-,-,$-897,$-897,$260,$-75,-,$8,-,$-33,$-33,$1,$-99,$-674,$674,-,-,-,$-149,$-60,$-209,$-47,$33,$-149
2019-03-31,"$1,964",$106,"$-1,098",$-992,-,-,-,$-43,$-43,$929,$-67,-,$382,-,$-99,$-99,$3,$219,$-107,$-674,$-781,$-14,$-14,$-150,$-73,"$-1,018",$131,$73,$-150
2018-12-31,"$2,093","$11,854",$222,"$12,076",$-389,"$-12,185",-,$455,"$-11,885","$2,284",$-246,-,$-50,-,$-85,$-85,$-11,$-392,"$-1,090",$300,$-790,$-83,$-83,$-391,$-203,"$-1,467",$400,$82,$-391
2018-09-30,$488,$56,$-56,-,-,-,-,$-351,$-351,$137,$-37,-,-,-,$-5,$-5,$6,$-36,$-4,$4,-,$-102,$-102,$-68,$-1,$-171,$-70,$14,$-68
2018-06-30,$400,$56,$26,$82,-,-,-,$-156,$-156,$326,$-32,-,$-29,-,$-31,$-31,$-1,$-93,$-4,$153,$149,$-202,$-202,$-69,$-6,$-128,$105,$47,$-69
2018-03-31,$511,$56,$137,$193,-,-,-,$13,$13,$717,$-30,-,-,-,$-40,$-40,$-20,$-90,$-4,$-462,$-466,$-170,$-170,$-71,$-58,$-765,$-138,$44,$-71
2017-12-31,"$1,975","$11,188",$-553,"$10,635",$-147,"$-11,544",-,$436,"$-11,158","$1,452",$-244,-,$850,-,$-71,$-71,$8,$543,"$-1,764",$89,"$-1,675",$182,$182,$-392,$-106,"$-1,991",$62,$103,$-392
2017-09-30,$592,$55,$-91,$-36,-,-,-,$-507,$-507,$49,$-44,-,$-226,-,$8,$8,$-3,$-265,$181,$327,$508,$-224,$-224,$-73,-,$211,$-5,$44,$-73
2017-06-30,$58,$56,$384,$440,-,-,-,$-279,$-279,$219,$-41,-,-,-,$-16,$-16,$-6,$-63,$18,$233,$251,$-311,$-311,$-74,$-13,$-147,$9,$45,$-74
2017-03-31,$-252,$55,$804,$859,-,-,-,$112,$112,$719,$-27,-,$-21,-,$-49,$-49,$8,$-89,$-7,$-420,$-427,$-495,$-495,$-77,$-83,"$-1,082",$-452,$40,$-77
2016-12-31,$-113,$57,$599,$656,$36,$-765,-,$487,$-164,$379,$-85,-,$-41,-,$-37,$-37,$4,$-159,"$1,336",$417,"$1,753","$-1,455","$-1,455",$-79,$4,$223,$443,$42,$-79
2016-09-30,$478,$54,$121,$175,-,-,-,$-598,$-598,$55,$-42,-,$1,-,$-1,$-1,$3,$-39,$680,$-130,$550,$-498,$-498,$-67,$2,$-13,$3,$42,$-67
2016-06-30,$423,$57,$11,$68,-,-,-,$-268,$-268,$223,$-35,-,$-3,-,$-11,$-11,$5,$-44,$-3,$163,$160,$-496,$-496,$-69,$-9,$-414,$-235,$42,$-69
2016-03-31,$473,$57,$135,$192,-,-,-,$363,$363,"$1,028",$-34,-,$-29,-,$-32,$-32,$-3,$-98,$-204,-,$-204,$-527,$-527,$-73,$-38,$-842,$88,$39,$-73
2015-12-31,$261,$36,$708,$744,$-376,$-498,-,$916,$-234,$771,$-67,-,$303,-,$40,$40,$-16,$260,$-4,$-303,$-307,$-463,$-463,$-72,$1,$-841,$190,$29,$-72
2015-09-30,$426,$65,$45,$110,-,-,-,$-776,$-776,$-240,$-58,-,$10,-,$-3,$-3,$-13,$-64,$776,$-91,$685,$-499,$-499,$-73,$4,$117,$-187,$39,$-73
2015-06-30,$332,$66,$34,$100,-,-,-,$14,$14,$446,$-29,-,-,-,$-16,$-16,$1,$-44,$-4,$394,$390,$-740,$-740,$-75,$12,$-413,$-11,$43,$-75
2015-03-31,$394,$68,$59,$127,-,-,-,$-104,$-104,$417,$-17,-,$58,-,$-39,$-39,-,$2,"$1,174",$-616,$558,$-969,$-969,$-80,$-25,$-516,$-97,$46,$-80
