,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,0.9902,1.1635,-7.2332,2.7653,1.042,1.042,-,1.0052,0.7138,1.1455,3.8747,3.4541,26.0556,-74.0316,-4.1693,0.826,12.1024,-2.4991,4.3668,4.0505
2020-09-30,0.9764,1.3022,-4.9063,2.735,-12.4138,-12.4138,-,-12.4754,-9.8408,1.1123,3.8047,3.4353,26.1982,576.9766,51.3599,-10.9419,-174.349,-4.1113,6.3609,5.9548
2020-06-30,0.9767,0.4771,1.0434,2.7018,0.8924,0.8924,-,0.7579,0.638,1.1122,3.7252,3.4514,26.0763,7.2397,-6.1808,0.7043,3.7855,19.4545,-0.3921,-0.9165
2020-03-31,0.971,0.4944,1.1188,2.9274,0.6527,0.6527,-,0.5825,2.0251,1.1279,4.1458,3.1803,28.299,26.21,-19.6802,2.3098,13.253,18.2202,4.1205,3.7477
2019-12-31,0.9453,0.5423,1.3583,2.5723,0.5504,0.5504,-,0.4797,0.392,1.1961,3.9904,3.8082,23.6331,6.079,-3.2295,0.4662,2.7824,14.9145,0.6882,0.3638
2019-09-30,0.951,0.5926,1.5012,2.596,0.3941,0.3941,-,0.317,0.2906,1.1651,4.0192,3.6826,24.4391,4.4202,-2.2025,0.3378,1.8007,14.4767,3.1508,2.7853
2019-06-30,0.9518,0.5828,1.4502,2.7216,0.899,0.899,-,0.8203,0.6675,1.1757,3.9126,3.7734,23.8512,9.7194,-5.093,0.7849,4.0553,14.9112,2.7237,2.3906
2019-03-31,0.9456,0.5893,1.5281,3.2889,0.1098,0.1098,-,0.0434,0.0626,1.1162,3.6835,3.5443,25.3928,0.924,-0.4665,0.0723,0.3795,14.4568,2.9521,2.5627
2018-12-31,0.9361,0.588,1.4765,2.8586,1.0527,1.0527,-,0.9529,0.8672,1.156,3.7368,3.7892,23.7516,12.3787,-6.0666,0.9976,5.1001,14.997,2.2385,1.8682
2018-09-30,0.9291,0.5966,1.5287,2.385,0.3559,0.3559,-,0.2584,0.5388,1.1494,3.5461,3.8268,23.5184,6.3609,-2.9564,0.515,2.5659,14.3044,3.0262,2.6612
2018-06-30,0.9397,0.5825,1.4547,2.8078,0.9021,0.9021,-,0.8001,0.6393,1.1261,3.4727,3.6671,24.5424,8.4823,-4.3164,0.7253,3.5418,15.1037,3.7269,3.3613
2018-03-31,0.9396,0.5797,1.4547,3.0601,1.1732,1.1732,-,0.8806,0.7005,1.0687,3.0914,3.6426,24.7077,8.3886,-4.4113,0.7349,3.5254,15.3069,-0.3943,-0.8202
2017-12-31,0.946,0.6163,1.6132,2.7496,1.0354,1.0354,-,0.8872,2.1298,1.1129,3.2738,3.9956,22.5249,29.9819,-14.3009,2.3702,11.5039,13.1559,0.0468,-0.2867
2017-09-30,0.9062,0.6469,1.8376,2.996,-0.3451,-0.3451,-,-0.4385,-0.8808,1.1077,3.3109,3.7968,23.704,-16.6914,5.0577,-0.9757,-5.8944,9.4703,6.2301,5.7995
2017-06-30,0.9195,0.5969,1.4826,2.7899,0.4402,0.4402,-,0.3446,0.1301,1.117,3.2244,3.6678,24.5379,1.9719,-0.7916,0.1453,0.7948,11.658,-1.1077,-1.5943
2017-03-31,0.9202,0.6029,1.7615,3.3823,1.6824,1.6824,-,1.5961,1.1077,1.08,3.1662,3.8762,23.2188,16.2683,-6.4826,1.1962,6.4607,11.5855,3.6039,3.0349
2016-12-31,0.9035,0.6465,2.1164,2.7186,1.0479,1.0479,-,0.9514,0.6478,1.1253,3.2529,3.9365,22.8628,11.6815,-3.6372,0.7289,4.1289,9.7544,-1.9387,-2.5572
2016-09-30,0.9039,0.644,2.0957,2.9939,0.5985,0.5985,-,0.51,0.3879,1.1166,3.3976,4.0934,21.9866,6.8416,-2.133,0.4331,2.4354,9.6769,5.953,5.2766
2016-06-30,0.8942,0.6687,2.3451,3.0038,1.4333,1.4333,-,1.3438,0.9467,1.1557,3.4094,4.105,21.9244,18.5788,-4.913,1.094,6.1543,8.7554,0.8748,0.2934
2016-03-31,0.9284,0.666,2.0483,3.0123,2.6625,2.6625,-,2.5639,1.6904,1.0986,3.2526,4.0719,22.1027,27.5402,-8.8258,1.857,9.1993,9.7819,3.9237,3.5228
2015-12-31,0.8475,0.7717,3.4628,2.6284,-0.4853,-0.4853,-,-0.5763,0.898,1.1936,3.2902,4.3802,20.5469,25.3565,-4.2519,1.0718,5.7899,6.3011,3.3152,2.9177
2015-09-30,0.9424,0.8585,6.0664,2.7448,1.5289,1.5289,-,1.3259,1.0178,1.2685,3.5363,4.3136,20.8643,58.5687,-6.5387,1.291,8.2884,2.9793,6.5198,6.1103
2015-06-30,0.9425,0.7037,2.3801,2.6041,0.9715,0.9715,-,0.8889,0.6256,1.2524,3.4587,4.5065,19.9714,13.5923,-4.7174,0.7835,4.0268,7.2771,4.0495,3.8732
2015-03-31,0.9669,0.6729,2.0909,2.7915,-1.115,-1.115,-,-1.2201,-1.5715,1.2097,3.3368,4.3213,20.8273,-26.7913,12.2065,-1.9011,-8.7628,8.6665,3.3531,3.115
2014-12-31,0.9683,0.5302,1.1287,2.2397,-0.2632,-0.2632,-,-0.3187,-0.5953,1.3487,3.0895,4.7016,19.1423,-11.307,11.5396,-0.8028,-5.3118,8.0621,4.0872,3.8477
2014-09-30,0.9739,0.5049,1.0198,2.7622,0.6661,0.6661,-,0.5847,0.2075,1.467,3.5742,5.0038,17.9862,3.3496,-4.2987,0.3044,1.6584,8.8185,3.4198,3.1765
2014-06-30,0.9726,0.5011,1.0046,2.2802,0.3653,0.3653,-,0.1922,-0.0421,1.471,3.5213,4.9482,18.1886,-0.6434,0.8503,-0.0619,-0.321,8.8563,2.3252,1.9758
2014-03-31,0.9552,0.3943,0.6511,2.5639,1.0582,1.0582,-,1.0031,0.6328,1.3976,3.2645,4.3735,20.5784,8.3932,-13.3427,0.8844,5.0834,9.43,4.7114,4.4304
