,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-09-30,1.0187,0.8273,5.2409,29.7053,-20.2751,-20.2751,-,-20.2751,-13.0845,0.0743,3.7743,1.8127,49.6503,-11.8095,-20.0417,-1.4037,-2.04,6.1236,1.9052,1.2842
2020-06-30,1.0951,0.8064,4.6043,23.6355,11.8629,11.8629,-,4.7361,-3.7438,0.0641,3.3591,1.5679,57.4019,-,-,-,-,6.9811,0.6747,0.0934
2020-03-31,1.0587,0.8,4.4711,21.6852,15.5689,15.5689,-,13.6869,6.1591,0.0685,3.9718,1.6169,55.663,4.8548,7.1585,0.6707,0.971,7.0942,0.5584,-0.2814
2019-12-31,1.0265,0.7778,3.8579,23.0358,8.1037,8.1037,-,4.3192,-3.2086,0.0722,3.8419,1.6437,54.7553,-2.2949,-3.2424,-0.3566,-0.5099,7.8756,1.036,-0.1634
2019-09-30,1.096,0.7685,3.669,26.7048,16.1524,16.1524,-,16.1524,8,0.0785,3.8869,1.7465,51.5314,5.5329,7.7102,0.8916,1.2809,8.1128,1.141,0.3134
2019-06-30,1.3649,0.7735,3.6128,20.2175,4.7523,4.7523,-,4.7523,0.6847,0.0747,3.994,1.6144,55.7471,1.207,1.6713,0.1986,0.2735,8.2374,0.4857,-0.3374
2019-03-31,1.3438,0.7655,3.4891,22.1132,13.3585,13.3585,-,13.3585,5.8113,0.0792,3.5648,1.6944,53.117,4.1246,5.6512,0.6961,0.967,8.5114,1.0345,0.2789
2018-12-31,1.14,0.7589,3.4431,24.6377,18.8024,18.8024,-,13.196,4.8818,0.0806,3.4246,1.6439,54.7483,2.7659,3.7722,0.4766,0.667,8.4614,0.9955,0.1774
2018-09-30,1.2392,0.7601,3.3974,23.6517,11.7025,11.7025,-,11.7025,3.5601,0.0873,3.8541,1.8788,47.9027,3.3631,4.5176,0.591,0.8068,8.62,1.1513,0.2543
2018-06-30,1.3237,0.7644,3.4631,23.65,13.4805,13.4805,-,13.4805,11.4308,0.0778,3.3225,1.7829,50.4809,3.9597,5.2619,0.6872,0.9328,8.5514,0.5997,-0.1281
