,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.2814,0.5702,1.3377,20.9797,9.8937,9.8937,-,8.9268,7.0577,0.1856,1.3304,1.8459,48.756,4.5792,-8.8481,1.3279,1.9681,3.1127,0.3518,0.2864
2020-09-30,1.2719,0.5728,1.391,21.1172,8.9119,8.9119,-,7.814,6.3933,0.1881,1.3694,1.8512,48.618,4.2159,-7.725,1.2147,1.801,3.034,-0.0703,-0.1412
2020-06-30,1.1412,0.5626,1.3301,22.8958,9.8584,9.8584,-,8.3723,5.6866,0.1911,1.3226,1.9446,46.2816,3.77,-6.678,1.0747,1.6491,3.001,0.5694,0.5212
2020-03-31,1.2328,0.5638,1.3579,20.7577,8.6342,8.6342,-,7.5167,5.7784,0.1913,1.3677,1.8151,49.5845,3.8228,-7.4589,1.1181,1.6673,3.0527,0.0832,0.0162
2019-12-31,1.2443,0.52,1.1495,20.276,8.9385,8.9385,-,7.5583,6.1124,0.1808,1.2824,1.8231,49.3654,3.4796,-9.7032,1.1169,1.6702,3.3707,0.2664,0.2096
2019-09-30,1.1882,0.4983,1.0512,17.4148,4.489,4.489,-,3.0564,2.1012,0.1877,1.3839,1.7552,51.2751,1.384,-4.3456,0.4543,0.6943,3.3918,-0.0547,-0.1242
2019-06-30,1.1471,0.4834,1.0755,20.4768,8.1293,8.1293,-,6.4411,3.0994,0.1515,1.0585,1.3949,64.521,1.4485,-4.5971,0.4789,0.7484,3.4932,0.5507,0.499
2019-03-31,1.9341,0.5278,1.1291,18.174,7.8488,7.8488,-,5.8358,4.8747,0.6332,2.9528,4.7913,18.7839,9.005,39.3558,3.0813,4.2524,2.6836,0.1049,-0.0525
2018-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2639,0.3545
2018-09-30,1.7848,0.5466,1.2162,17.4063,7.8457,7.8457,-,5.3704,4.3494,0.6277,2.9769,4.6831,19.2181,8.5488,47.0998,2.816,3.876,2.5583,-0.2639,-0.3545
2018-06-30,-,-,-,19.52,100,-,-,5.8744,4.5195,-,-,-,-,-,-,-,-,-,0.229,0.1535
2018-03-31,1.8825,0.555,1.2679,19.272,7.8353,7.8353,-,6.0833,4.6331,0.2737,1.3205,2.0556,43.7824,3.8443,19.5885,1.268,1.7108,2.668,0.1167,0.0176
2017-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.6439,-0.3504
2017-09-30,1.7975,0.5454,1.216,20.0947,9.3711,9.3711,-,7.9219,5.3715,0.267,1.3187,2.097,42.9176,4.3577,67.4758,1.4342,1.9811,2.7552,0.6439,0.3504
2017-06-30,1.7842,0.5453,1.2144,18.3875,100,-,-,4.0609,2.7665,0.2642,1.3574,2.1294,42.2656,-,-,-,-,2.6954,0.2262,0.1087
2017-03-31,1.9121,0.5491,1.2309,19.9216,8.8809,8.8809,-,7.4643,5.1336,0.2634,1.3736,2.0925,43.0109,4.0498,70.6777,1.3523,1.826,2.6893,0.1997,0.1118
2016-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.7191,-0.4679
2016-09-30,1.9187,0.5366,1.1717,21.8847,11.3123,11.3123,-,9.9007,6.6783,0.2737,1.4112,2.1639,41.5917,5.3468,81.4726,1.8278,2.4775,2.6848,0.7191,0.4679
2016-06-30,2.0749,0.5415,1.1978,21.2474,100,-,-,7.4023,4.9838,0.2711,1.4597,1.9584,45.9561,-,-,-,-,2.6863,0.206,0.1091
2016-03-31,2.062,0.5384,1.1821,21.5725,10.2697,10.2697,-,8.6683,5.8064,0.2709,1.3916,1.9769,45.5254,4.5602,45.6169,1.5729,2.1052,2.5517,0.1075,0.0452
2015-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.8269,-0.5489
2015-09-30,2.1581,0.5099,1.0456,21.7814,10.3899,10.3899,-,9.2311,6.1377,0.2953,1.4799,2.2051,40.8151,5.0269,32.999,1.8127,2.4636,2.5394,0.8269,0.5489
