,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,0.74,0.4471,0.8427,100,7.1631,10.9645,-,5.9692,5.5608,0.0192,-,0.4063,221.5363,3.0169,3.0169,0.1067,1.6681,50.2458,-8.37,-8.6828
2020-09-30,0.8016,0.4383,0.8133,100,-4.8951,0.7659,-,-6.1272,-4.662,0.0189,-,0.4063,221.5385,-2.3076,-2.3076,-0.0882,-1.2962,51.1413,7.8818,7.5164
2020-06-30,0.8369,0.3995,0.696,100,-17.8835,-8.2227,-,-19.3953,-19.8746,0.0175,-,0.3718,242.0907,-8.2923,-8.2923,-0.348,-4.9797,53.8936,-0.9006,-1.1657
2020-03-31,0.8594,0.3572,0.5857,100,79.8734,82.9057,-,78.3406,67.8441,0.0206,-,0.4175,215.5681,30.4198,30.4198,1.3976,19.5525,54.7104,38.1669,37.9407
2019-12-31,0.6683,0.452,0.8598,100,17.767,22.3912,-,16.2458,14.0858,0.0216,-,0.4559,197.4141,8.0817,8.0817,0.305,4.4289,46.2244,-1.9244,-2.2323
2019-09-30,0.8262,0.4431,0.8291,100,20.8924,24.7211,-,19.3247,16.3702,0.0222,-,0.4514,199.3729,9.0545,9.0545,0.3632,5.0427,47.0704,10.7898,10.5318
2019-06-30,0.7781,0.4438,0.8312,100,19.9076,25.6394,-,18.0894,15.1618,0.0218,-,0.4364,206.2095,8.1592,8.1592,0.3309,4.5383,45.9278,7.1201,6.8559
2019-03-31,0.8117,0.4673,0.9115,100,16.7736,23.3162,-,15.0738,12.6684,0.0216,-,0.4179,215.3881,6.7602,6.7602,0.2735,3.6014,43.5447,1.2277,1.0064
2018-12-31,0.6821,0.452,0.861,100,22.5228,28.0277,-,20.5096,16.955,0.0232,-,0.514,175.1022,9.6457,9.6457,0.3928,5.2854,40.9885,10.0129,9.7148
2018-09-30,0.6647,0.4301,0.7905,100,19.3803,24.7874,-,17.8615,15.2795,0.0227,-,0.5444,165.319,8.9534,8.9534,0.3464,5.1025,40.1802,4.2277,3.8921
2018-06-30,0.6877,0.4324,0.7976,100,19.6496,25.2816,-,17.1464,14.4556,0.0223,-,0.539,166.99,8.2031,8.2031,0.3225,4.6559,39.6006,4.5783,4.3322
2018-03-31,0.6706,0.464,0.9,100,23.5796,28.0303,-,21.9697,18.75,0.0219,-,0.5388,167.0455,10.1712,10.1712,0.4103,5.452,40.2709,-1.236,-1.453
2017-12-31,0.6737,0.4595,0.8836,100,20.3774,25,-,18.7107,5.566,0.0216,-,0.5495,163.783,2.9525,2.9525,0.12,1.5957,40.8838,2.1323,1.9029
2017-09-30,0.6681,0.4505,0.8517,100,22.7273,28.5667,-,21.002,16.8215,0.0207,-,0.5241,171.7286,8.0412,8.0412,0.3485,4.4187,42.5043,2.9139,2.5666
2017-06-30,0.6735,0.4549,0.8666,100,18.6919,24.3692,-,16.9655,13.0478,0.021,-,0.5458,164.9104,6.288,6.288,0.2745,3.4275,41.581,4.6355,4.3845
2017-03-31,0.6298,0.4575,0.8755,100,17.9426,23.4792,-,16.2338,13.7731,0.0208,-,0.5447,165.2358,6.4718,6.4718,0.2861,3.5108,40.7023,0.0375,-0.1686
2016-12-31,0.6517,0.4542,0.864,100,17.3405,22.331,-,14.7821,12.6027,0.0226,-,0.5962,150.9476,6.3414,6.3414,0.2854,3.4611,40.6565,1.6631,1.5141
2016-09-30,0.7778,0.4537,0.8599,100,9.6731,15.0434,-,7.9386,7.1714,0.0209,-,0.5618,160.1868,3.1636,3.1636,0.1497,1.7283,42.8781,3.2771,3.0908
2016-06-30,0.7723,0.4232,0.7619,100,16.1268,21.6301,-,14.2807,11.6684,0.0201,-,0.5532,162.6959,4.7256,4.7256,0.2348,2.7258,43.694,5.3862,5.335
2016-03-31,0.7832,0.4302,0.7833,100,19.1682,24.4485,-,17.179,13.1646,0.0197,-,0.5222,172.3508,5.1318,5.1318,0.2595,2.9239,42.523,3.5321,3.3716
2015-12-31,0.7756,0.5496,1.2439,100,18.1115,23.4289,-,14.3732,11.505,0.0214,-,0.5884,152.9681,4.5351,4.5351,0.2615,2.0428,48.9905,4.1931,4.0677
2015-09-30,0.9093,0.5537,1.2635,100,19.4387,25.3638,-,16.043,13.7561,0.0199,-,0.5457,164.9376,3.9905,3.9905,0.2422,1.7808,50.3997,2.1971,1.96
2015-06-30,0.8825,0.5364,1.1792,100,22.5064,27.6215,-,19.6611,13.2673,0.021,-,0.5939,151.5441,5.2912,5.2912,0.3199,2.4531,50.3273,3.3908,2.9308
