,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,4.9945,-,-,63.9315,30.0144,30.0144,-,30.869,28.2133,0.1368,0.4876,1.6647,54.0626,5.5103,6.0828,3.8608,5.5103,43.5882,2.3391,2.2426
2020-09-30,5.4963,-,-,63.5848,31.1175,31.1175,-,33.3017,27.8108,0.1376,0.5032,2.0166,44.6286,5.4598,5.764,3.8273,5.4598,40.7748,2.7116,2.6798
2020-06-30,5.5873,-,-,63.653,30.8913,30.8913,-,32.4186,26.7853,0.1247,0.6009,1.4106,63.8035,4.7684,5.0487,3.3394,4.7684,39.9727,1.7627,1.7362
2020-03-31,5.8235,-,-,64.6716,28.6145,28.6145,-,30.9388,26.4672,0.1272,0.7058,1.4852,60.5976,4.8592,5.1756,3.3666,4.8592,37.6555,2.4374,2.3986
2019-12-31,5.8144,-,-,64.4839,31.8505,31.8506,-,33.8745,47.1602,0.132,0.8049,1.4096,63.8478,9.0059,9.3284,6.2288,9.0059,37.894,4.0328,4.003
2019-09-30,5.9111,-,-,63.7629,34.9329,34.9329,-,37.8621,31.9062,0.1808,0.9889,1.4632,61.5094,7.865,8.1829,5.7709,7.865,34.779,3.3685,3.3099
2019-06-30,5.7684,-,-,64.1423,34.0013,34.0013,-,36.2716,31.0941,0.1768,0.6943,1.7731,50.7581,7.4934,7.8194,5.4994,7.4934,32.9901,2.411,2.3692
2019-03-31,5.3406,-,-,63.9158,32.6393,32.6393,-,34.7106,33.7425,0.1787,0.6189,2.1951,40.9996,8.3749,8.7725,6.0325,8.3749,31.3966,2.0948,2.0303
2018-12-31,4.4761,0.0163,0.0165,62.9471,32.5052,32.5052,-,33.319,28.5744,0.1933,0.8344,1.7956,50.1236,7.9464,8.3857,5.5264,7.8172,28.3262,3.6646,3.5873
2018-09-30,4.513,0.0182,0.0185,64.1891,32.0907,32.0907,-,33.6208,29.9017,0.2013,0.9326,1.7491,51.4545,8.6606,9.216,6.0225,8.5031,25.8098,-1.8186,-1.8606
2018-06-30,3.1697,0.0208,0.0213,64.2274,-46.1297,-46.1297,-,-46.547,-29.8526,0.1836,0.7577,1.9924,45.1722,-9.0274,-9.0274,-5.4824,-8.8393,22.9971,1.9549,1.858
2018-03-31,5.1972,0.0197,0.0201,64.1113,29.3632,29.3632,-,30.2428,30.5719,0.1831,0.6324,2.2788,39.4941,7.8339,7.8339,5.6022,7.6793,24.8196,2.4224,2.3439
2017-12-31,4.277,0.0222,0.0227,65.6522,29.7923,29.7923,-,30.2725,22.167,0.1901,0.5248,1.8915,47.5801,6.2478,6.2478,4.2194,6.1093,22.5479,2.3502,2.31
2017-09-30,3.657,0.0244,0.0251,64.1215,32.1804,32.1804,-,32.5083,30.5142,0.1901,0.4713,2.0584,43.7238,8.7712,8.7712,5.8097,8.5568,20.8651,2.5734,2.5412
2017-06-30,3.1912,0.0277,0.0285,64.1091,28.7835,28.7835,-,28.9059,25.2841,0.1873,0.3998,1.5029,59.8853,7.5629,7.5629,4.7475,7.3534,18.7405,0.973,0.9118
2017-03-31,3.2616,0.0309,0.0319,63.8528,21.8848,21.8848,-,21.9772,24.6498,0.173,0.4228,1.6047,56.0864,6.7537,6.7537,4.2772,6.5452,17.0835,2.101,2.0411
2016-12-31,3.3209,0.0345,0.0357,64.0777,23.6288,23.6288,-,23.5196,17.8264,0.1897,0.4982,1.2957,69.4599,5.3062,5.3062,3.3998,5.1231,15.6447,0.9002,0.832
2016-09-30,3.7292,0.0381,0.0396,64.225,21.7118,21.7118,-,21.6788,17.5573,0.1911,0.6405,1.3806,65.1892,5.0678,5.0678,3.3742,4.8748,14.4215,-0.4698,-0.5193
2016-06-30,4.3352,0.0422,0.0441,63.7979,19.7804,19.7804,-,19.6628,14.3696,0.2013,0.8236,1.8324,49.1154,4.2433,4.2433,2.9142,4.0641,13.25,0.882,0.8266
2016-03-31,4.7751,0.0458,0.048,64.0349,20.535,20.535,-,20.3641,14.4185,0.2002,1.0366,1.7925,50.2102,4.1472,4.1472,2.9129,3.9571,12.3965,1.068,0.9485
2015-12-31,4.1459,0.0497,0.0523,63.6262,20.1254,20.1254,-,19.7771,17.5904,0.2116,0.9691,1.7014,52.8983,5.573,5.573,3.7869,5.2961,11.568,2.161,2.0755
2015-09-30,4.0944,0.0544,0.0575,65.1571,14.3863,14.3863,-,14.0461,13.0091,0.2028,0.6896,1.3577,66.2874,3.9672,3.9672,2.6741,3.7515,10.6772,0.1385,0.0672
2015-06-30,4.1986,0.0592,0.063,65.3995,16.8032,16.8032,-,16.591,12.072,0.1974,0.6746,1.5984,56.3062,3.6055,3.6055,2.4218,3.3919,9.8889,0.7367,0.6862
2015-03-31,4.9622,0.0647,0.0692,65.7678,19.9698,19.9698,-,19.2499,13.4223,0.2046,0.6719,1.5837,56.83,4.012,4.012,2.7988,3.7524,9.1902,0.2936,0.221
2014-12-31,4.7064,0.0711,0.0766,67.1167,22.4809,22.481,-,21.9513,15.6379,0.2139,0.7313,1.7889,50.3109,5.5856,5.5856,3.8269,5.1884,8.4797,1.0003,0.9144
2014-09-30,5.7797,0.0799,0.0869,64.9396,21.7891,21.7891,-,20.7676,13.627,0.2247,0.8709,1.6887,53.2967,4.436,4.436,3.1604,4.0814,7.6511,-0.036,0.004
2014-06-30,5.7596,0.0855,0.0935,67.6927,22.2223,22.2223,-,22.974,10.3025,0.2146,0.6271,1.8164,49.549,4.6875,4.6875,3.3632,4.2868,7.1628,0.9283,0.8254
2014-03-31,1.4677,0.3102,1.4773,69.3764,18.7549,18.7549,-,16.592,5.428,0.3122,0.4545,1.7492,51.4528,13.6329,12.7857,3.2837,8.8193,3.0051,0.5231,0.4313
2013-12-31,1.3507,0.357,1.8261,67.5113,19.5929,19.5929,-,17.4965,11.9739,0.3148,0.5559,1.4714,61.1672,19.1553,17.6787,3.7699,11.3679,2.4347,-0.2687,-0.3847
2013-09-30,-,-,-,63.9961,18.338,18.338,-,16.5471,5.7446,-,-,-,-,-,-,-,-,-,1.0364,0.9444
2013-06-30,-,-,-,64.5637,19.4813,19.4813,-,17.3576,5.9268,-,-,-,-,-,-,-,-,-,0.2389,-0.1181
2013-03-31,-,-,-,68.6705,14.2515,14.2515,-,11.2359,5.0972,-,-,-,-,-,-,-,-,-,0.0602,-0.0003
2012-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
