,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,-,0.6702,2.1571,-,24.0472,24.0472,-,21.113,17.6729,0.0923,-,-,-,14.9037,-9.3308,1.6628,4.9153,15.8891,3.2753,3.18
2020-09-30,-,0.667,2.1334,-,18.4906,18.4906,-,15.2201,11.5304,0.0761,-,-,-,7.7624,-5.1026,0.8961,2.5849,15.7941,3.4455,3.3169
2020-06-30,-,0.6618,2.1681,-,23.7886,23.7886,-,19.8238,15.9391,0.078,-,-,-,11.0961,-7.6493,1.2815,3.7532,15.9611,3.7769,3.6475
2020-03-31,-,0.6564,2.488,-,32.0907,32.0907,-,30.4753,23.9826,0.1063,-,-,-,24.2945,-13.7048,2.6154,8.3483,14.1065,1.4414,1.1898
2019-12-31,-,0.6577,2.1279,-,18.1629,18.1629,-,15.286,12.9636,0.0981,-,-,-,11.0757,-6.9467,1.2991,3.7912,14.86,2.7627,2.526
2019-09-30,-,0.6322,2.041,-,15.1324,15.1324,-,11.9798,9.3317,0.0845,-,-,-,6.4308,-4.2533,0.813,2.3655,15.2115,3.3773,3.1154
2019-06-30,-,0.6327,1.9382,-,15.848,15.848,-,13.1619,10.6293,0.0874,-,-,-,7.3345,-5.4583,0.9629,2.6941,16.6016,1.1831,0.9804
2019-03-31,-,0.552,1.3196,-,27.7442,27.7442,-,25.517,20.9672,0.1079,-,-,-,13.9037,-15.2458,2.3202,6.2293,20.1827,0.3037,0.0698
2018-12-31,-,0.5869,1.48,-,18.0144,18.0144,-,15.1986,12.4549,0.1048,-,-,-,6.7315,-5.5675,1.0749,2.781,17.5718,2.856,2.6133
2018-09-30,-,0.5669,1.4801,-,11.1537,11.1537,-,8.2588,6.258,0.0918,-,-,-,3.5813,-2.9728,0.6054,1.5511,17.9436,2.3005,2.0203
2018-06-30,-,0.5506,1.3984,-,-0.6248,-0.6248,-,-3.3971,1.8743,0.0941,-,-,-,1.2343,-1.1319,0.2094,0.5546,19.0041,1.1098,0.841
2018-03-31,-,0.5141,1.1328,-,25.8576,25.8576,-,23.2363,19.2233,0.111,-,-,-,11.2163,-12.513,2.169,5.4503,21.9617,0.5596,0.3797
2017-12-31,-,0.5494,1.2836,-,20.66,20.66,-,13.9567,-0.6531,0.1115,-,-,-,0.3657,-0.3123,0.0652,0.1648,18.7722,1.4436,1.2274
2017-09-30,-,0.519,1.1372,-,10.9402,10.9402,-,8.547,7.906,0.0903,-,-,-,3.7355,-4.9222,0.7561,1.7967,20.9211,-0.5336,-0.7069
2017-06-30,-,0.5035,1.0666,-,-5.3632,-5.3632,-,-7.8547,32.4747,0.0871,-,-,-,-0.7744,1.1964,-0.1582,-0.3845,21.7169,1.0066,0.8215
2017-03-31,-,0.4906,1.0774,-,14.0697,14.0697,-,11.1298,12.2218,0.0882,-,-,-,4.5486,-7.3529,0.9821,2.3172,22.169,0.8989,0.7715
2016-12-31,-,0.5148,1.1217,-,24,24,-,15.283,17.0566,0.0996,-,-,-,6.9414,-10.1911,1.4428,3.3681,21.1145,3.1342,2.9539
2016-09-30,-,0.5182,1.1212,-,16.7197,16.7197,-,14.0391,14.4934,0.0872,-,-,-,5.1693,-5.6845,1.1247,2.4904,20.8501,2.6394,2.4945
2016-06-30,-,0.5151,1.1074,-,16.9588,16.9588,-,13.8475,13.1464,0.0855,-,-,-,4.9092,-5.4393,1.0227,2.3805,20.9218,1.8343,1.7174
2016-03-31,-,0.5247,1.2338,-,18.4534,18.4534,-,16.3005,14.2794,0.0849,-,-,-,5.835,-6.0325,1.1636,2.7736,20.1926,0.9974,0.8623
2015-12-31,-,0.4589,0.9407,-,41.989,41.989,-,40.6077,53.7753,0.0404,-,-,-,6.9483,-9.2143,1.566,3.7599,22.4574,2.5158,2.6039
2015-09-30,-,0.4468,1.031,-,15.062,15.062,-,12.8373,10.7586,0.1008,-,-,-,5.0993,-6.2014,1.1137,2.821,21.6941,2.5471,2.2495
2015-06-30,-,0.4277,0.9388,-,9.8752,9.8752,-,7.6292,6.3458,0.0961,-,-,-,2.912,-4.1273,0.6438,1.6667,23.0736,0.978,0.6988
2015-03-31,-,0.4228,0.8826,-,15.49,15.49,-,14.7875,11.5209,0.1003,-,-,-,5.3024,-7.5326,1.2012,3.0608,22.8293,1.038,0.822
2014-12-31,-,0.4199,0.8418,-,19.2483,19.2483,-,17.6114,13.9133,0.1108,-,-,-,7.0427,-9.8337,1.5686,4.0857,23.6821,3.066,2.816
2014-09-30,-,0.3996,0.7563,-,14.4792,14.4792,-,13.5417,10.7292,0.0999,-,-,-,4.3317,-7.2148,1.0927,2.6007,25.5068,1.878,1.6548
2014-06-30,-,0.3992,0.7674,-,15.245,15.245,-,13.0182,10.4145,0.0919,-,-,-,4.034,-8.2195,0.985,2.4237,26.7091,1.1399,0.9376
2014-03-31,-,0.3143,0.5928,-,15.9145,15.9145,-,14.0482,11.0282,0.098,-,-,-,4.1969,-9.5346,1.1171,2.8779,27.0017,-0.0358,-0.2148
2013-12-31,-,0.3102,0.5356,-,16.0486,16.0486,-,14.8021,11.0626,0.1061,-,-,-,4.3929,-10.6509,1.19,3.03,27.2531,2.4132,2.2433
2013-09-30,-,0.3063,0.6005,-,13.0279,13.0279,-,12.6342,9.1625,0.0953,-,-,-,3.4783,-6.559,0.9009,2.4127,25.216,1.9244,1.753
2013-06-30,-,0.345,0.5827,-,13.1861,13.1861,-,11.8053,8.319,0.0964,-,-,-,3.308,-6.4401,0.8383,2.1668,24.774,1.0516,0.8545
2013-03-31,-,0.3306,0.599,-,14.0652,14.0652,-,12.6244,8.9537,0.0971,-,-,-,3.5635,-6.8051,0.9058,2.3853,24.6943,0.1688,-0.0188
2012-12-31,-,0.3224,0.5336,-,14.7994,14.7994,-,13.13,9.7913,0.1022,-,-,-,3.9206,-7.4398,1.0037,2.6567,25.1045,1.6471,1.4455
2012-09-30,-,0.3296,0.5265,-,12.3858,12.3858,-,10.011,7.4534,0.0928,-,-,-,2.5117,-5.9406,0.7116,1.6838,26.2347,1.8178,1.5949
2012-06-30,-,0.333,0.5469,-,13.9667,13.9667,-,12.4424,8.7203,0.0916,-,-,-,3.106,-7.0657,0.8277,2.0718,25.4653,0.8461,0.6727
2012-03-31,-,0.3312,0.5292,-,14.15,14.15,-,12.1788,8.3773,0.0939,-,-,-,2.9587,-6.7608,0.8226,1.9787,25.7843,-0.0446,-0.2555
