,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-09-30,-,0.6099,1.5634,-,33.7996,33.7996,-,17.0295,12.9609,0.0302,-,-,-,1.4233,1.3898,0.5142,0.5421,54.5827,1.4596,0.0716
2020-06-30,-,0.6084,1.5536,-,29.6692,29.6692,-,45.6005,40.7049,0.0285,-,-,-,3.577,3.4933,1.2981,1.368,54.9225,2.4382,1.9556
2020-03-31,-,0.5934,1.4593,-,22.5602,22.5602,-,76.6914,66.1075,0.0345,-,-,-,7.0205,6.8537,2.6439,2.7869,54.2181,1.1284,1.2122
2019-12-31,-,0.6003,1.5018,-,49.6172,49.6172,-,23.2355,18.5927,0.0356,-,-,-,2.2524,2.1962,0.8269,0.8778,51.7749,2.3311,0.6538
2019-09-30,-,0.6013,1.5083,-,36.2087,36.2087,-,19.0128,14.4941,0.0349,-,-,-,1.8134,1.7681,0.6641,0.7049,51.7284,1.6431,-0.9076
2019-06-30,-,0.5998,1.4985,-,34.2611,34.2611,-,27.7293,22.3946,0.0345,-,-,-,2.6016,2.5367,0.9566,1.0153,51.8925,2.3137,1.1119
2019-03-31,-,0.5777,1.3682,-,17.2409,17.2409,-,18.0718,13.5174,0.0354,-,-,-,1.6456,1.6053,0.6398,0.6779,52.877,1.3383,0.0749
2018-12-31,-,0.5727,1.3401,-,33.545,33.545,-,26.2695,21.063,0.0348,-,-,-,2.3115,2.2552,0.9145,0.9637,53.1793,2.4541,2.3639
2018-09-30,-,0.5703,1.327,-,34.7326,34.7326,-,21.9217,17.357,0.0341,-,-,-,1.8792,1.8334,0.7471,0.7878,53.1337,1.3537,0.029
2018-06-30,-,0.5662,1.3054,-,34.7072,34.7072,-,24.1639,19.3656,0.0333,-,-,-,2.0037,1.955,0.8044,0.848,53.1904,2.169,0.3219
2018-03-31,-,0.5582,1.2633,-,31.4833,31.4833,-,32.7175,26.6234,0.0338,-,-,-,2.7093,2.6431,1.1045,1.1678,53.0188,1.4594,0.5891
2017-12-31,-,0.559,1.2677,-,35.0208,35.0207,-,20.1766,15.8433,0.0338,-,-,-,1.6729,1.6316,0.6824,0.7195,52.5026,2.1204,0.3765
2017-09-30,-,0.5582,1.2636,-,35.5367,35.5367,-,22.4572,17.8402,0.0341,-,-,-,1.8697,1.8236,0.765,0.8056,52.4857,1.4228,-0.1831
2017-06-30,-,0.5591,1.268,-,36.3354,36.3354,-,25.4237,20.3543,0.0341,-,-,-,2.1212,2.0687,0.8662,0.9121,52.3197,0.8085,-0.8497
2017-03-31,-,0.5506,1.248,-,32.6188,32.6188,-,18.2789,15.3557,0.0333,-,-,-,1.4965,1.4587,0.6093,0.6555,51.4949,1.5553,-0.0586
2016-12-31,-,0.548,1.235,-,31.3967,31.3967,-,25.9243,23.1406,0.0337,-,-,-,2.1326,2.0789,0.8747,0.9397,51.5763,1.8933,0.919
2016-09-30,-,0.5506,1.2481,-,25.2076,25.2076,-,11.4365,12.276,0.0333,-,-,-,0.9336,0.9098,0.3805,0.4089,51.1095,1.0289,-0.951
2016-06-30,-,0.5526,1.2578,-,34.9812,34.9812,-,18.8209,15.4916,0.0329,-,-,-,1.5245,1.4859,0.6188,0.6648,51.3956,1.5293,0.3753
2016-03-31,-,0.5572,1.2813,-,37.5914,37.5914,-,32.4665,27.29,0.0347,-,-,-,2.7973,2.7267,1.1276,1.2073,51.6246,2.2673,0.9427
2015-12-31,-,0.5332,1.165,-,33.7178,33.7178,-,26.7106,22.088,0.034,-,-,-,2.1691,2.1141,0.9086,0.9869,51.3539,1.2369,2.5665
2015-09-30,-,0.5468,1.2291,-,36.1575,36.1575,-,51.3223,29.2248,0.0332,-,-,-,4.1114,4.0094,1.7032,1.8169,52.5005,1.0787,-0.0571
2015-06-30,-,0.5526,1.2577,-,33.1477,33.1477,-,16.295,12.853,0.0323,-,-,-,1.2934,1.2611,0.527,0.5642,52.0508,1.5714,1.9235
2015-03-31,-,0.5528,1.2585,-,33.3415,33.3415,-,33.8202,27.678,0.0322,-,-,-,2.682,2.615,1.0906,1.1695,52.1437,1.3092,0.5723
2014-12-31,-,0.5563,1.2764,-,34.0308,34.0307,-,34.4505,28.4869,0.0309,-,-,-,2.7447,2.6753,1.0631,1.1871,51.6147,1.4727,3.1716
2014-09-30,-,0.5978,1.512,-,34.7127,34.7127,-,24.3979,20.6405,0.0328,-,-,-,2.2048,2.1422,0.7999,0.8616,46.0326,1.0479,0.1234
2014-06-30,-,0.6009,1.531,-,34.126,34.126,-,16.2601,12.9752,0.0312,-,-,-,1.4074,1.3673,0.5075,0.5457,45.8146,1.2055,0.2157
2014-03-31,-,0.6017,1.5362,-,30.7811,30.7811,-,11.7899,9.4022,0.0303,-,-,-,0.996,0.9676,0.357,0.3854,45.7632,0.8109,-0.1428
2013-12-31,-,0.6169,1.6357,-,33.8411,33.8411,-,13.7791,15.4124,0.0286,-,-,-,1.1601,1.1272,0.3935,0.4318,46.0418,1.4957,0.9539
2013-09-30,-,0.6274,1.7109,-,32.6788,32.6788,-,14.4031,26.716,0.0293,-,-,-,1.2582,1.2209,0.4217,0.4549,44.2406,1.409,1.2659
2013-06-30,-,0.6297,1.7272,-,33.0122,33.0122,-,98.7085,88.7035,0.0262,-,-,-,7.764,7.5317,2.5867,2.7892,43.865,0.6333,-1.4038
