,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.9072,0.4531,0.9558,23.6329,12.7593,12.7593,-,98.7429,91.3262,0.1458,1.2423,1.281,70.2577,37.3299,60.332,13.3285,20.4156,34.1164,2.319,1.5999
2020-09-30,1.1503,0.5212,1.4209,23.1751,13.0404,13.0404,-,17.0801,14.6705,0.1444,1.0829,1.3274,67.803,7.3162,14.663,2.1599,3.5027,24.6012,3.6444,3.0341
2020-06-30,1.1976,0.5102,1.4061,20.285,6.9573,6.9573,-,12.3219,8.969,0.1255,0.9224,1.146,78.5331,3.9038,7.7029,1.1782,1.9119,24.2544,3.2117,2.4613
2020-03-31,1.4808,0.542,1.4475,23.8356,13.2877,13.2877,-,20,14.9315,0.153,1.0734,1.2586,71.5068,8.0042,15.3586,2.3782,3.666,23.9874,2.1601,1.1676
2019-12-31,1.5764,0.5405,1.3475,22.067,4.7486,4.7486,-,2.8631,3.0028,0.1511,1.0751,1.2125,74.2249,1.5183,2.9101,0.4643,0.6976,24.2399,2.5161,1.3807
2019-09-30,1.8545,0.5169,1.1873,26.1034,16.3934,16.3934,-,20.3657,16.5826,0.1685,1.1791,1.2371,72.7491,8.6015,15.2456,2.8681,4.1551,25.871,3.3398,2.6511
2019-06-30,2.0426,0.5142,1.1564,26.5704,11.6834,11.6834,-,15.0126,13.1281,0.1675,1.1563,1.2218,73.6621,6.4843,11.4425,2.2197,3.1502,26.2971,3.4142,2.8862
2019-03-31,1.5829,0.4603,1.0689,26.8524,18.9686,18.9686,-,22.8216,19.9763,0.1762,1.223,1.2423,72.4481,9.8575,16.6831,3.5408,5.3202,27.1617,2.3944,1.7782
2018-12-31,1.6155,0.4678,1.045,24.8668,15.3345,15.3345,-,10.302,5.8615,0.1814,1.2132,1.2815,70.2309,2.9003,4.8708,1.0523,1.5436,26.3787,2.6859,1.9981
2018-09-30,2.0757,0.4477,0.8686,29.1361,21.118,21.118,-,26.087,22.6426,0.1803,1.2149,1.2974,69.3676,10.3475,15.9251,4.1531,5.7151,29.4843,3.4785,2.8882
2018-06-30,1.9584,0.4602,0.949,28.2538,19.4143,19.4143,-,23.9696,18.6551,0.1884,1.4427,1.2761,70.526,9.1101,14.4171,3.5244,4.918,28.0481,4.2923,3.7124
2018-03-31,1.8764,0.477,1.0281,27.8228,18.5305,18.5305,-,23.3387,19.611,0.1893,1.399,1.2541,71.7666,10.0136,16.5167,3.7526,5.2369,26.9771,1.0485,0.4179
2017-12-31,1.7909,0.5012,1.1037,25.9259,15.0659,15.0659,-,16.6353,12.7433,0.167,1.3111,1.2951,69.4915,6.214,10.2757,2.1493,3.0995,24.2986,0.3656,-0.2503
2017-09-30,1.6858,0.4851,1.081,24.4572,14.6232,14.6232,-,18.4547,14.4317,0.1728,1.4623,1.2538,71.7816,7.4003,12.6293,2.5601,3.8101,23.1133,1.9155,1.4354
2017-06-30,1.8139,0.4842,1.0618,24.1722,14.4371,14.4371,-,18.6093,15.298,0.17,1.4851,1.2459,72.2384,7.7194,13.0623,2.713,3.9815,22.6799,2.1627,1.7681
2017-03-31,2.3537,0.4839,0.9727,23.7933,11.5568,11.5568,-,16.3154,12.4405,0.1775,1.5635,1.3348,67.4235,6.0506,8.98,2.2201,3.1229,21.791,1.3617,0.922
2016-12-31,2.2953,0.4889,0.9957,24.5614,12.0519,12.0519,-,11.8993,12.2044,0.1569,1.3736,1.2803,70.2975,5.3294,7.9271,1.9265,2.7237,21.4773,-0.3702,-0.7727
