,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,-,0.3699,0.6541,-,3.2245,3.2245,-,12.8932,9.9132,0.2683,-,-,-,8.23,-14.0412,2.6645,5.1857,129.0462,11.6025,10.7434
2020-09-30,-,0.3807,0.7491,-,5.1471,5.1471,-,4.4048,3.3891,0.2559,-,-,-,2.9101,-4.35,0.8735,1.8021,123.4936,2.4453,1.7582
2020-06-30,-,0.4015,0.771,-,6.721,6.721,-,5.8296,4.4671,0.246,-,-,-,3.7154,-5.3317,1.1026,2.2238,121.7764,9.0107,8.2998
2020-03-31,-,0.4162,0.8093,-,5.3576,5.3576,-,3.6315,3.07,0.2487,-,-,-,2.6372,-3.3343,0.7685,1.5395,116.201,5.0368,4.3242
2019-12-31,-,0.4129,0.825,-,4.0816,4.0816,-,3.2972,2.5546,0.2455,-,-,-,2.1701,-2.7471,0.6317,1.274,117.4715,7.2839,6.4754
2019-09-30,-,0.4323,0.867,-,5.5063,5.5063,-,4.5726,3.504,0.249,-,-,-,3.0292,-3.6747,0.8744,1.7196,119.7001,6.4944,5.8534
2019-06-30,-,0.457,0.8945,-,5.572,5.572,-,4.5287,3.6271,0.2514,-,-,-,3.2179,-3.6769,0.9132,1.7471,116.0407,2.8823,2.0725
2019-03-31,-,0.4697,0.9546,-,5.8768,5.8768,-,4.712,3.6051,0.2458,-,-,-,3.2349,-3.3908,0.8889,1.7153,111.7726,8.312,7.8068
2018-12-31,-,0.4906,1.0352,-,3.9091,3.9091,-,1.5944,1.007,0.0933,-,-,-,0.3582,-0.3461,0.0959,0.1825,107.7034,0.2601,-0.4441
2018-09-30,-,0.6168,1.6104,-,9.8804,9.8804,-,9.0163,6.7382,0.1381,-,-,-,4.9759,8.2113,0.933,1.9066,63.9072,2.4968,1.9876
2018-06-30,-,0.2606,0.3598,-,10.1132,10.1132,-,9.5993,7.0209,0.1819,-,-,-,5.4806,9.3997,1.2805,4.0526,60.5798,4.0707,3.5931
2018-03-31,-,0.2678,0.3734,-,11.4606,11.4606,-,10.672,8.0172,0.1808,-,-,-,6.46,11.4268,1.4523,4.7302,58.3916,8.2388,7.8197
2017-12-31,-,0.2749,0.3967,-,10.5011,10.5011,-,7.2759,2.5533,0.1687,-,-,-,1.9473,3.7073,0.4323,1.412,46.321,2.164,1.6592
2017-09-30,-,0.2691,0.3781,-,7.8558,7.8558,-,7.8558,5.3389,0.1694,-,-,-,3.9731,6.9008,0.9074,2.9041,57.1684,5.0354,4.4454
2017-06-30,-,0.2411,0.3274,-,10.8777,10.8777,-,10.8777,7.7986,0.1689,-,-,-,5.5682,9.477,1.312,4.2256,57.5631,2.7412,2.3398
