,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.878,0.2865,0.4632,23.3448,10.789,10.789,-,10.8919,8.5935,0.2577,1.3048,1.5262,58.9708,5.6736,7.5746,2.2542,4.0479,60.9011,7.6573,5.9135
2020-09-30,1.9376,0.2946,0.4759,26.358,13.0911,13.0911,-,13.4037,9.789,0.2373,1.0862,1.4107,63.7984,5.8327,7.9208,2.3368,4.1143,58.2278,8.199,7.4262
2020-06-30,1.4219,0.1678,0.4724,23.1049,8.7227,8.7227,-,9.3977,7.1651,0.1896,0.8104,1.1194,80.3972,3.3087,4.6149,1.3242,2.7536,55.0813,-0.1195,-0.6456
2020-03-31,1.4022,0.1646,0.4179,25.8232,12.6522,12.6522,-,13.0712,10.1976,0.2496,1.0386,1.4297,62.9515,6.5852,9.1508,2.63,5.5011,54.3962,2.5317,2.0307
2019-12-31,1.4995,0.157,0.2796,23.5389,6.3464,6.3464,-,6.5077,5.3783,0.2826,1.2235,1.5199,59.2148,3.5204,4.8251,1.5099,2.9678,56.1712,5.4163,3.4544
2019-09-30,1.5209,0.1561,0.304,25.9015,12.1186,12.1186,-,13.0895,10.7836,0.2835,1.1186,1.4662,61.3835,7.0376,9.5608,3.0276,5.9391,57.2466,7.2402,6.2494
2019-06-30,1.6616,0.1501,0.2417,26.3784,13.6313,13.6313,-,14.001,10.8504,0.3071,1.1756,1.4886,60.4581,7.4489,9.5537,3.382,6.3309,58.3873,5.1089,4.2685
2019-03-31,1.5701,0.1553,0.2774,25.5163,13.3078,13.3078,-,14.074,11.0426,0.3025,1.1487,1.4917,60.3348,7.6659,9.9747,3.371,6.475,55.5153,2.6126,1.9214
2018-12-31,1.5379,0.162,0.2998,25.2367,11.9328,11.9328,-,11.5899,9.4515,0.3214,1.2184,1.5846,56.7973,7.3859,9.8008,3.2001,6.1891,52.2722,6.0284,3.9045
2018-09-30,1.5373,0.1624,0.3058,26.0979,13.5117,13.5117,-,13.5454,11.644,0.3129,1.1464,1.5126,59.5003,8.66,11.6333,3.6752,7.2535,50.375,5.6996,4.6005
2018-06-30,1.6112,0.1596,0.3005,23.4834,11.7743,11.7743,-,11.6601,8.8878,0.3242,1.3183,1.4974,60.1027,6.761,8.9717,2.9289,5.6821,50.1776,3.585,2.8874
2018-03-31,1.5777,0.1592,0.2745,21.544,9.5153,9.5153,-,9.3896,5.8348,0.3028,1.2811,1.4486,62.1275,3.9176,5.1992,1.7671,3.2938,50.493,-0.7061,-1.1406
2017-12-31,1.5727,0.1628,0.2457,25.1278,10.7012,10.7012,-,10.8839,-5.0037,0.303,1.295,1.5135,59.4631,-3.7849,-5.0581,-1.7095,-3.1686,49.4189,4.8019,3.5008
2017-09-30,1.5728,0.1587,0.2634,25.3737,11.7692,11.7692,-,11.7692,8.5714,0.2937,1.2537,1.3871,64.8817,5.3382,6.9654,2.54,4.491,51.5723,3.8859,3.9046
2017-06-30,1.7577,0.1666,0.2297,24.6357,11.54,11.54,-,11.796,8.3497,0.3123,1.2834,1.4292,62.9717,5.6379,6.3045,2.7122,4.6985,46.6706,2.6665,2.0641
2017-03-31,1.7501,0.1741,0.2602,24.6677,11.7673,11.7673,-,11.9416,8.6293,0.2935,1.1945,1.4133,63.6805,5.4173,6.0911,2.5905,4.4741,44.5265,2.256,1.7738
2016-12-31,1.782,0.1794,0.2587,25.0056,10.1932,10.1932,-,11.2814,8.3944,0.3,1.2624,1.4886,60.4597,5.5199,6.2245,2.6381,4.5299,42.8299,3.6384,2.3749
2016-09-30,1.8092,0.1799,0.2683,25.7702,9.1712,9.1712,-,9.1235,6.9023,0.2766,1.1021,1.4574,61.7554,4.13,4.6418,1.982,3.3872,43.161,3.4452,2.7741
2016-06-30,1.8386,0.1832,0.26,26.4355,12.5221,12.5221,-,12.6988,8.9664,0.3015,1.1991,1.4979,60.0861,5.9347,6.6865,2.8429,4.8473,42.6497,2.8146,2.109
2016-03-31,1.9066,0.1819,0.2521,24.6097,10.9532,10.9532,-,10.8366,7.4808,0.2894,1.1725,1.469,61.2654,4.5868,5.178,2.2459,3.7525,42.6056,1.5523,1.1395
2015-12-31,2.0897,0.169,0.2115,25.4301,4.8049,4.8049,-,4.4482,3.3781,0.3149,1.3129,1.6901,53.2522,2.2968,2.5648,1.1762,1.9086,44.4636,5.1993,3.3844
2015-09-30,2.2334,0.1648,0.2046,26.1472,12.0563,12.0563,-,12.1429,8.2251,0.2925,1.1154,1.4625,61.539,4.8509,5.3972,2.4815,4.0513,45.7588,3.2072,2.3672
2015-06-30,2.2213,0.161,0.2042,26.5603,14.4168,14.4168,-,14.0379,9.3918,0.3158,1.2334,1.4655,61.4118,6.0385,6.7009,3.1238,5.0664,45.991,2.2124,1.3896
2015-03-31,2.2184,0.1656,0.2114,25.3769,11.6373,11.6373,-,11.6373,8.2183,0.2993,1.1969,1.4534,61.924,5.0068,5.5655,2.5674,4.1774,44.5063,0.9558,0.4033
2014-12-31,2.2519,0.1631,0.2083,25.0098,11.4145,11.4145,-,12.0236,8.723,0.3229,1.3318,1.7278,52.0904,5.7704,6.4228,2.9624,4.8294,44.688,4.78,2.9603
2014-09-30,2.2457,0.1636,0.2086,26.2577,13.4765,13.4765,-,13.681,8.6503,0.3126,1.2729,1.5986,56.3006,5.4218,6.0253,2.8062,4.5347,44.3186,3.7708,2.8694
2014-06-30,2.3838,0.1663,0.2072,24.9224,12.6577,12.6577,-,13.2782,9.2244,0.3119,1.3224,1.5166,59.3423,5.7857,6.4305,3.0452,4.8237,44.3611,2.4025,1.6445
2014-03-31,2.3907,0.1742,0.2189,24.9433,11.6432,11.6432,-,11.5978,7.6714,0.2987,1.2818,1.4941,60.2383,4.6289,5.1786,2.427,3.8223,42.0555,1.4239,0.8446
2013-12-31,2.565,0.1752,0.2211,23.7358,12.0532,12.0532,-,11.9224,9.4159,0.3115,1.4696,1.732,51.9638,5.8577,6.5372,3.1301,4.8313,42.1532,3.9987,2.6278
2013-09-30,2.515,0.1883,0.2402,25.3399,12.2832,12.2832,-,12.3769,8.3216,0.2976,1.2674,1.5748,57.1519,5.0107,5.6283,2.6088,4.0674,39.8292,2.0465,1.2718
2013-06-30,2.1386,0.0961,0.118,25.4807,13.4807,13.4807,-,13.547,9.1492,0.3468,1.3624,1.6485,54.5967,6.2174,7.0189,3.3798,5.62,37.8697,2.8341,1.9766
2013-03-31,2.2168,0.0946,0.114,24.4008,10.5558,10.5558,-,10.9893,7.1902,0.3075,1.2421,1.5713,57.2769,4.4287,5.004,2.4459,4.0098,37.1376,2.2669,1.6631
2012-12-31,2.2854,0.091,0.1111,22.507,10.8341,10.8341,-,11.0205,8.5974,0.342,1.4975,1.7341,51.8989,5.7069,6.461,3.1718,5.1877,36.7439,3.9132,2.5187
2012-09-30,2.1502,0.0893,0.1172,25.3035,11.9718,11.9718,-,11.8261,8.5478,0.3317,1.1969,1.6452,54.7037,5.4141,6.1401,2.9805,4.9307,35.9495,2.0756,1.2315
2012-06-30,2.0297,0.0921,0.1233,27.1788,14.5553,14.5553,-,14.8473,10.5346,0.3658,1.2561,1.6992,52.965,7.6899,8.4993,4.0677,6.9817,33.8078,1.9783,1.2394
2012-03-31,2.0157,0.0928,0.1074,26.7889,14.4902,14.4902,-,14.5349,10.1744,0.369,1.3745,1.6662,54.0161,7.4709,8.2379,3.9195,6.778,33.0801,0.1101,-0.5503
2011-12-31,1.939,0.1014,0.1343,25.2185,15.1392,15.1392,-,15.4034,11.136,0.4218,1.7188,1.9481,46.1979,9.8096,10.8642,4.9023,8.8149,30.3698,3.6087,2.3935
2011-09-30,1.8776,0.1071,0.1286,25.6809,13.8132,13.8132,-,13.5971,9.7709,0.408,1.498,1.7352,51.8677,8.5137,9.4722,4.163,7.6019,28.7403,3.2719,2.4215
2011-06-30,1.9222,0.1129,0.1379,25.9211,16.5482,16.5482,-,16.4189,10.8813,0.4102,1.5112,1.6694,53.9108,9.7336,10.8419,4.7468,8.6348,28.3359,3.3784,2.7365
2011-03-31,1.8818,0.1164,0.1475,24.7928,13.7047,13.7047,-,13.5233,8.886,0.3599,1.3183,1.5019,59.9223,7.0206,7.9107,3.4029,6.2033,26.485,0.4488,-0.0153
2010-12-31,1.9291,0.1243,0.1583,23.7739,12.6842,12.6842,-,12.805,8.7461,0.3979,1.5959,1.8453,48.7727,7.8263,8.8722,3.7589,6.8536,25.2578,1.9495,1.0137
2010-09-30,1.9466,0.1401,0.1847,24.4046,12.7904,12.7904,-,12.8786,8.3211,0.3445,1.3461,1.5217,59.1444,6.8758,7.9028,3.1301,5.9127,22.7199,0.9891,0.6058
2010-06-30,1.9398,0.1385,0.1817,23.4726,12.3441,12.3441,-,12.2195,7.6683,0.3483,1.4861,1.5634,57.5686,6.4904,7.5588,2.9316,5.5912,20.9256,1.5301,1.3271
2010-03-31,1.9791,0.1364,0.1814,24.2534,9.9274,9.9274,-,10.3713,6.0129,0.2826,1.2118,1.4349,62.724,4.1955,4.9304,1.9386,3.6232,20.1994,0.6341,0.5888
2009-12-31,2.0572,0.1368,0.1677,22.7353,11.3235,11.3235,-,11,7.9412,0.3857,1.959,1.6966,53.0471,7.2139,8.4597,3.2895,6.2272,19.9702,2.0607,1.5341
2009-09-30,2.0091,0.1404,0.1791,19.8814,5.8103,5.8103,-,5.7708,3.7549,0.3028,1.3874,1.4616,61.5771,2.8925,3.4257,1.3166,2.4864,18.8454,2.0645,1.7423
2009-06-30,2.0686,0.1465,0.1892,18.4286,4.9774,4.9774,-,4.0724,2.3036,0.2993,1.2919,1.4093,63.8626,1.9471,2.3396,0.862,1.6619,17.8147,1.2403,0.866
2009-03-31,1.9439,0.1596,0.2121,18.2452,1.189,1.189,-,0.861,0.287,0.2982,1.1473,1.4106,63.8007,0.4085,0.4965,0.1712,0.3433,16.9822,0.3858,0.0914
2008-12-31,1.7859,0.1531,0.192,16.2409,3.1022,3.1022,-,1.4294,1.3078,0.386,1.5446,1.8451,48.7774,1.6954,2.038,0.6926,1.4359,17.2876,1.3325,0.2947
2008-09-30,1.8294,0.1311,0.1714,22.2042,10.371,10.371,-,10.019,6.2009,0.411,1.443,1.6036,56.1251,6.3464,7.451,2.749,5.5146,19.3343,1.6245,1.0184
2008-06-30,1.8433,0.1326,0.1715,22.6138,12.0401,12.0401,-,11.7571,7.5379,0.4341,1.5634,1.6353,55.0373,8.0898,9.5092,3.4618,7.0168,18.9048,1.8767,1.3584
2008-03-31,1.7932,0.1381,0.1932,20.3512,9.1825,9.1825,-,8.7507,5.4692,0.4028,1.4742,1.5621,57.6166,5.5987,6.6164,2.342,4.8256,19.5344,0.1884,-0.2648
2007-12-31,1.7761,0.14,0.1977,19.397,8.6746,8.6746,-,8.8168,5.6314,0.429,1.6749,1.7598,51.1433,7.2455,8.6033,3.014,6.2311,16.8595,1.4345,0.6344
2007-09-30,1.8295,0.1466,0.2078,19.3357,8.5706,8.5706,-,8.6595,5.4567,0.4198,1.5367,1.6652,54.048,5.759,6.9069,2.2908,4.9145,15.6464,1.8426,1.5391
2007-06-30,1.908,0.1469,0.2108,20.0419,10.2004,10.2004,-,10.1705,6.4014,0.4262,1.618,1.6142,55.7553,6.7743,8.0999,2.7282,5.7791,15.1875,1.3369,1.1235
2007-03-31,1.9532,0.1727,0.2366,19.5953,7.9162,7.9162,-,8.0582,5.0763,0.3782,1.4491,1.4695,61.246,4.8689,5.892,1.92,4.0282,14.0796,-0.5619,-0.7907
2006-12-31,1.8708,0.1876,0.2894,20.9693,9.7593,9.7593,-,9.3307,6.2315,0.4063,1.7207,1.7165,52.4332,6.7452,8.1536,2.5318,5.4798,13.4453,1.1161,0.7224
2006-09-30,1.7869,0.2334,0.3972,21.9651,9.8968,9.8968,-,9.7188,6.0876,0.3706,1.5601,1.6631,54.1153,6.4021,7.7763,2.2562,4.9082,12.7191,1.2744,1.0668
