,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.1541,0.497,1.1394,35.1044,21.7152,21.7152,-,21.7167,16.0758,0.1192,7.7758,4.1273,21.8061,5.5244,5.8469,1.9908,2.7788,26.1912,1.0135,0.8363
2020-09-30,0.7665,0.4858,1.1096,33.6963,17.9021,17.9021,-,17.7967,11.1351,0.1255,5.8205,3.9629,22.7106,4.1993,4.4827,1.4763,2.1594,24.1299,1.7173,1.5249
2020-06-30,0.7108,0.4746,1.074,37.7028,20.0073,20.0073,-,19.8222,14.193,0.0951,6.2957,5.9927,15.0182,3.9509,3.9509,1.4342,2.0756,23.1804,1.4299,1.2593
2020-03-31,1.0024,0.5268,1.2136,35.1612,4.4781,4.4781,-,4.4844,2.272,0.0955,6.3334,5.9132,15.2203,0.8514,0.8514,0.2948,0.4029,22.2786,1.5067,1.3396
2019-12-31,0.893,0.5286,1.2227,35.4685,16.1362,16.1362,-,16.3393,12.0154,0.0975,6.4769,5.5083,16.3389,3.5761,3.6188,1.2445,1.6857,22.1094,1.1624,0.9436
2019-09-30,0.5981,0.5603,1.3899,33.804,14.7992,14.7992,-,15.5718,11.151,0.0997,6.6662,5.4835,16.4128,3.7089,3.7089,1.1871,1.6306,20.6244,1.2367,0.909
2019-06-30,0.6324,0.5774,1.6251,31.8023,13.413,13.413,-,13.9006,9.8727,0.0995,6.6137,5.4977,16.3704,3.65,3.65,1.0549,1.5426,19.8538,1.1571,0.8532
2019-03-31,0.725,0.607,1.6916,31.2422,14.3169,14.3169,-,14.8921,10.6604,0.1006,7.0862,5.4792,16.4259,4.0363,4.0363,1.1402,1.5863,19.1234,1.3928,1.1631
2018-12-31,0.6887,0.6164,1.7631,30.5784,14.5986,14.5986,-,14.908,10.1935,0.1081,7.8961,5.1681,17.4146,4.1573,4.1573,1.1681,1.5947,18.3682,0.9561,0.7445
2018-09-30,0.623,0.6259,1.8388,32.2274,16.5738,16.5738,-,17.4746,12.7162,0.1127,7.5456,5.0611,17.7826,5.4907,5.4907,1.5018,2.0542,17.6257,1.3118,1.0939
2018-06-30,0.7555,0.6594,1.9401,32.3403,16.5468,16.5468,-,17.3902,12.6766,0.1167,7.1064,5.3917,16.6924,5.8965,5.8965,1.5524,2.0086,16.6971,1.0897,0.9043
2018-03-31,0.7386,0.6741,2.2062,31.0059,15.3103,15.3103,-,14.4878,10.6278,0.1147,6.8618,5.7481,15.6573,5.2602,5.2602,1.2778,1.7143,15.6926,1.4307,1.2964
2017-12-31,0.6804,0.6857,2.3354,-0.0789,7.4425,7.4425,-,9.1641,39.7679,0.117,10.8617,5.3275,16.8934,20.1978,20.1978,4.7065,6.3487,14.8733,1.0786,0.8694
2017-09-30,0.6303,0.7314,2.9461,32.4865,12.5312,12.5312,-,13.7349,8.2986,0.1214,7.5866,5.0928,17.672,5.6771,5.6771,1.0679,1.525,11.9078,1.0424,0.8802
2017-06-30,0.6292,0.7425,3.2929,33.3388,6.919,6.919,-,6.6266,1.101,0.1218,6.5,4.9437,18.2051,1.1219,1.1219,0.1964,0.2888,11.2375,1.3768,1.1452
2017-03-31,2.0999,0.7596,3.3427,32.9318,16.5017,16.5017,-,16.2263,10.2086,0.125,5.8559,5.226,17.2217,7.5654,7.5654,1.3246,1.8186,11.0763,1.8209,1.5976
2016-12-31,1.8029,0.7712,3.5746,33.6981,15.2661,15.266,-,14.8439,9.4728,0.1344,5.8912,4.8242,18.656,7.9761,7.9761,1.3176,1.8251,9.9116,1.4498,1.1342
2016-09-30,1.7213,0.7835,3.8378,35.5684,13.873,13.873,-,13.6624,8.4527,0.1366,5.0635,4.6177,19.4901,7.758,7.758,1.2075,1.6795,9.2299,1.0272,0.7612
2016-06-30,1.3064,0.8014,4.0451,35.5292,16.5679,16.5679,-,17.8864,10.9741,0.1581,5.2432,4.4876,20.0554,12.4464,12.4464,1.7917,2.472,7.5714,1.4234,1.0832
2016-03-31,0.6652,0.7965,3.9247,34.8233,15.2429,15.2429,-,17.0761,10.4479,0.1739,5.4796,4.7482,18.9546,13.1967,13.1967,1.8717,2.6859,6.7172,1.9948,1.6483
2015-12-31,0.6863,0.8164,5.0062,37.7872,-0.7928,-0.7928,-,-1.84,-1.7791,0.1719,6.2723,4.5546,19.7604,-1.68,-1.68,-0.2017,-0.3084,5.9196,0.493,0.2143
2015-09-30,2.5876,0.1248,0.6796,34.4198,11.831,11.831,-,8.8639,5.2625,0.1616,5.992,4.1248,21.819,7.0954,7.0954,0.877,6.2096,6.1643,1.68,1.2591
2015-06-30,2.501,0.821,5.1629,32.5329,13.9334,13.9334,-,13.577,8.4652,0.1684,5.5462,3.762,23.9232,12.4622,12.4622,1.46,2.2301,5.7579,1.1975,0.7725
2015-03-31,2.264,0.8425,6.3027,34.4299,12.9923,12.9923,-,12.2531,9.4378,0.1625,5.0376,4.011,22.4385,15.4368,15.4368,1.5409,2.4313,4.9497,1.9214,1.4643
2014-12-31,3.0522,0.8723,7.1703,36.3585,14.5285,14.5285,-,10.7102,11.1342,0.167,4.7455,3.8694,23.2594,20.2731,20.2731,1.8504,2.5886,4.3579,1.3446,1.1612
2014-09-30,2.0879,0.8841,8.655,34.8619,10.5592,10.5592,-,5.5206,3.955,0.1742,4.539,3.4016,26.4585,9.2585,9.2585,0.6771,1.0727,3.3523,1.369,0.6866
2014-06-30,2.0899,0.8915,9.3748,35.369,12.33,12.33,-,8.9211,5.7838,0.1776,4.5117,3.4571,26.0336,14.4247,14.4247,0.9973,1.5654,3.1176,1.0062,0.36
2014-03-31,2.7151,0.9165,11.8814,37.4987,12.4172,12.4172,-,7.7703,4.8949,0.1749,4.2962,3.6587,24.5986,14.9227,14.9227,0.8312,1.2455,2.4964,1.4173,0.7652
2013-12-31,2.7053,0.9267,13.6726,35.0011,12.7441,12.7442,-,13.1657,8.14,0.1738,4.486,3.29,27.3555,29.1123,29.1123,1.4258,2.1352,2.1756,1.4061,0.952
2013-09-30,3.1452,0.9494,19.4415,38.835,11.9941,11.9941,-,10.8834,8.9845,0.1723,3.6917,3.2931,27.3302,47.3005,47.3005,1.6875,2.3925,1.5856,0.8396,0.163
2013-06-30,3.0315,0.9736,38.3266,38.3392,0.7233,0.7233,-,-1.4079,-0.3171,0.1737,3.7232,3.5079,25.6562,-2.3587,-2.3587,-0.0435,-0.0623,0.8107,1.1986,0.5792
2013-03-31,2.411,0.9726,37.1292,36.7785,13.3791,13.3791,-,10.0326,6.3871,0.1912,3.7349,3.7659,23.8987,66.3326,66.3328,1.2022,1.8197,0.7056,1.5048,0.8232
2012-12-31,2.3084,0.9937,165.9642,32.9588,19.5909,19.5908,-,15.3351,8.3497,0.1441,3.6061,2.5783,34.9069,335.7986,335.8038,1.384,2.1058,0.1581,-0.0675,-0.6429
2012-09-30,2.0125,0.9858,69.4642,41.9676,-7.7491,-7.7491,-,-8.8754,-4.4975,0.2134,3.2516,4.2904,20.9769,-109.1889,-109.1881,-0.989,-1.5546,0.3315,1.5343,0.9498
2012-06-30,1.848,0.9819,54.5282,42.0459,13.1126,13.1126,-,10.4096,6.3199,0.246,3.1983,4.2991,20.9348,130.8729,130.8729,1.5536,2.3654,0.3826,1.067,0.5151
2012-03-31,1.218,1.0075,-135.1206,43.464,15.9808,15.9808,-,15.4045,10.0593,0.2886,3.0224,4.6124,19.5125,-647.9082,-647.9066,2.902,4.8542,-0.1242,1.9084,1.5329
2011-12-31,1.1637,1.0595,-17.8848,44.6321,22.6941,22.6941,-,17.7244,11.7667,0.2317,2.0804,3.3431,26.9215,-76.1885,-76.1885,2.7831,4.5351,-0.9373,1.3127,0.9381
