,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.2047,0.3973,0.8512,41.4083,17.4237,17.4237,-,13.5304,10.6945,0.1757,1.2111,1.569,57.3612,5.0565,-21.6372,1.9089,3.0477,14.9033,1.3424,1.1397
2020-09-30,1.5222,0.4282,0.8862,41.29,20.5353,20.5353,-,16.7837,15.8622,0.1992,1.388,1.6267,55.3269,8.6421,-96.6887,3.1903,4.9414,14.1254,1.9924,1.6538
2020-06-30,1.3165,0.4111,0.9171,41.3388,17.4757,17.4757,-,11.7016,10.1942,0.1801,1.0923,1.5581,57.7619,5.1663,-32.9822,1.873,3.0423,13.1827,1.4337,1.2536
2020-03-31,1.0116,0.3437,1.0182,42.0471,18.4286,18.4286,-,16.5545,12.4219,0.1917,1.172,1.5759,57.1096,6.9285,-36.0138,2.4135,4.5474,12.6577,0.9659,0.7833
2019-12-31,1.135,0.322,0.7095,42.3753,15.3216,15.3216,-,10.1903,7.8535,0.1967,1.1589,1.5227,59.1038,3.8893,-47.9592,1.5592,2.6369,13.8309,0.6904,0.5048
2019-09-30,1.1946,0.3408,0.6915,42.8083,20.4989,20.4989,-,16.6164,14.4237,0.2425,1.5122,1.6653,54.0435,8.7514,-82.4601,3.5322,5.7689,13.5401,1.9326,1.6136
2019-06-30,1.1821,0.33,0.7057,42.7199,18.6806,18.6806,-,16.3749,12.895,0.2197,1.3018,1.6146,55.7408,6.9514,-141.9954,2.8709,4.6575,14.3131,1.5262,1.3314
2019-03-31,1.0652,0.3064,0.7393,42.1225,17.0678,17.0678,-,14.7702,11.3786,0.2169,1.2759,1.5699,57.3282,6.1246,-82.2884,2.4916,4.2483,13.9428,0.8704,0.674
2018-12-31,0.883,0.2419,0.7203,42.4644,16.4939,16.4939,-,14.2513,11.2129,0.203,1.2051,1.5174,59.3128,5.6428,-51.5453,2.286,4.2777,13.4394,0.5145,0.2676
2018-09-30,1.0738,0.2587,0.5295,42.1236,17.9624,17.9624,-,15.0982,12.6228,0.2397,1.5604,1.6169,55.6608,6.9188,-287.963,3.0505,5.1291,14.288,1.6007,1.1256
