,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.2886,0.532,1.1717,46.8879,14.6157,14.6157,-,5.8973,3.2602,0.0579,-,2.3113,38.9399,0.479,1.7032,0.1886,0.2241,119.3048,7.9885,1.2569
2020-09-30,1.0653,0.4885,1.167,49.4673,18.9733,18.9733,-,6.3651,4.388,0.0575,-,2.1541,41.78,0.6331,1.9751,0.2528,0.3238,118.4706,5.7202,-0.8639
2020-06-30,1.5513,0.5293,1.356,49.7086,19.2153,19.2153,-,12.1149,9.0676,0.0529,-,2.1257,42.3387,1.2837,4.0443,0.4798,0.6042,117.3165,6.418,0.511
2020-03-31,1.262,0.564,1.3469,49.0301,17.5477,17.5477,-,10.3249,8.2235,0.0612,-,2.1022,42.812,1.3722,7.2833,0.5043,0.5983,100.8914,5.9996,0.9231
2019-12-31,1.3312,0.5551,1.3377,48.7956,22.085,22.085,-,11.4645,8.8203,0.0591,-,2.0564,43.7658,1.4121,6.3817,0.5209,0.6282,103.629,6.4351,0.8178
2019-09-30,1.5537,0.5416,1.2315,49.5752,20.43,20.43,-,12.789,8.6519,0.0612,-,1.871,48.1035,1.379,6.0884,0.5289,0.6321,102.7337,5.7245,-0.8834
2019-06-30,1.5859,0.5423,1.2347,49.5891,21.0676,21.0676,-,13.8036,10.3631,0.0605,-,1.8401,48.9114,1.6442,8.1,0.6285,0.7525,103.1517,6.2429,0.6531
2019-03-31,1.558,0.5553,1.2997,49.9691,20.5036,20.5036,-,11.7601,8.6617,0.0606,-,1.9368,46.4674,1.3976,8.5722,0.5235,0.6215,100.2116,5.1302,0.6268
2018-12-31,1.0004,0.6011,1.5498,48.7868,20.6641,20.6641,-,10.3868,8.3981,0.0647,-,2.0791,43.2879,1.524,221.84,0.5435,0.6079,89.4339,6.9825,-2.0967
2018-09-30,1.2365,0.6064,1.5858,48.5641,20.7013,20.7013,-,11.1653,9.7235,0.0633,-,1.938,46.439,1.7433,-164.777,0.6153,0.6861,89.068,5.1265,-2.6229
2018-06-30,1.291,0.6154,1.6449,48.3494,17.0402,17.0402,-,5.8619,5.3582,0.0629,-,2.047,43.9659,0.9765,-17.524,0.3369,0.3756,87.0922,6.7502,-0.1067
2018-03-31,2.3614,0.6052,1.555,48.8081,18.5771,18.5771,-,6.5511,5.1727,0.061,-,1.8837,47.778,0.8808,21.0497,0.3154,0.3477,89.8657,3.7779,-0.7975
2017-12-31,1.8098,0.592,1.4716,48.3741,19.3334,19.3334,-,7.8446,5.4336,0.0642,-,2.0826,43.2155,0.9521,122.9181,0.3489,0.3885,86.6645,6.5659,0.4101
2017-09-30,2.1129,0.6016,1.5325,49.4594,19.5149,19.5149,-,7.1246,6.9342,0.0629,-,1.9293,46.649,1.2213,-410.8341,0.4364,0.4865,83.6237,4.9419,0.6871
2017-06-30,1.6947,0.5836,1.4239,51.0322,17.3379,17.3379,-,5.1696,4.2952,0.061,-,1.9541,46.0569,0.7021,-54.4519,0.2621,0.2924,83.6957,3.6829,-0.6021
2017-03-31,5.4644,0.58,1.4087,50.611,17.6102,17.6102,-,5.8403,4.4298,0.0553,-,2.2082,40.7563,0.6453,1.5272,0.2448,0.271,83.6564,3.3717,-0.325
2016-12-31,1.4266,0.6015,1.5483,50.5731,19.5678,19.5678,-,8.8218,6.5507,0.0748,-,2.379,37.8318,1.4582,9.6383,0.5049,0.5811,61.1384,4.3992,-0.7102
2016-09-30,1.1103,0.5773,1.4978,49.1387,18.3784,18.3784,-,7.7375,5.5641,0.0706,-,2.4493,36.7453,1.0548,6.9495,0.3724,0.4459,64.7769,4.5507,12.0023
2016-06-30,1.3434,0.5762,1.4879,49.2546,16.841,16.841,-,5.8982,4.9651,0.0679,-,2.5952,34.6797,0.8352,5.4112,0.2962,0.354,66.2042,3.9058,0.2774
2016-03-31,1.3722,0.5742,1.4903,49.3364,13.3492,13.3492,-,-5.6814,-3.6855,0.0625,-,2.5859,34.8035,-0.7746,-6.0734,-0.2766,-0.3298,69.4115,1.5387,-1.2688
2015-12-31,1.9677,0.6696,2.3753,51.8157,18.6015,18.6015,-,1.188,1.4691,0.0705,-,2.5019,35.9728,0.3909,0.7362,0.1036,0.1291,44.2091,3.8693,-0.7852
2015-09-30,0.8483,0.7473,3.1145,52.6005,20.5175,20.5175,-,7.6767,5.9903,0.0891,-,2.3425,38.4203,2.763,10.7769,0.5338,0.6981,25.9863,3.6873,-0.0307
2015-06-30,1.6266,0.6701,2.1384,52.5593,20.904,20.904,-,10.058,8.9334,0.085,-,2.265,39.7351,2.6995,5.591,0.7598,0.8905,38.6704,3.6758,-0.1581
2015-03-31,2.1603,0.6797,2.1588,53.6186,23.5471,23.5471,-,12.8525,11.8867,0.0832,-,2.3144,38.8868,3.5366,7.3421,0.9893,1.1327,37.977,4.0682,0.776
2014-12-31,2.316,0.6678,2.0457,50.8794,20.0316,20.0316,-,-8.1141,-55.6482,0.082,-,2.4303,37.0326,-15.6424,-31.6922,-4.5631,-5.1967,40.2142,4.3486,-0.6426
2014-09-30,1.2836,0.6006,1.5335,50.9942,21.7798,21.7798,-,11.8532,6.9049,0.0831,-,2.254,39.9293,1.6538,3.0347,0.5757,0.6606,48.7169,3.5781,1.109
2014-06-30,1.6945,0.5901,1.467,51.6064,20.6056,20.6056,-,1.3327,1.8719,0.0792,-,2.5445,35.3704,0.3757,0.6929,0.1319,0.154,50.4391,2.024,-1.1473
2014-03-31,1.8248,0.6257,1.7002,50.4313,20.9657,20.9657,-,9.4653,7.135,0.075,-,2.7161,33.1356,1.6423,3.1982,0.5347,0.6147,50.519,3.2165,0.9182
2013-12-31,1.6261,0.6244,1.6912,52.2306,22.1346,22.1347,-,8.3836,8.0023,0.0754,-,3.055,29.4604,1.8451,3.6807,0.6056,0.693,49.5889,3.8915,-0.7035
2013-09-30,1.7257,0.6192,1.6496,50.4754,21.2109,21.2109,-,10.155,7.8203,0.0735,-,2.7203,33.0851,1.7429,3.4633,0.5786,0.6636,49.2797,3.4877,-0.7416
