,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-11-30,1.7553,0.5246,1.1083,70.6658,7.1244,7.1244,-,6.8375,5.9622,0.2534,10.276,1.8011,49.9699,5.8273,8.5513,1.5107,2.77,79.3712,9.3625,4.3006
2020-08-31,1.6885,0.5439,1.1967,71.3162,8.2294,8.2294,-,8.3122,6.4438,0.2488,9.3457,1.8387,48.9478,6.3971,9.7046,1.6034,2.918,74.115,10.0799,4.6882
2020-05-31,1.5838,0.5454,1.2027,70.7973,2.7365,2.7365,-,-1.8378,-1.9242,0.236,8.8619,1.7183,52.3782,-1.8256,-2.8013,-0.4542,-0.8299,69.8405,6.9427,2.5305
2020-02-29,1.2146,0.5019,1.0253,68.9083,2.3503,2.3503,-,2.4018,1.8013,0.2498,9.5722,1.8757,47.9825,1.6728,2.6213,0.4499,0.8332,72.0804,4.5955,-0.8549
2019-11-30,1.2514,0.5004,1.0106,69.8799,3.1979,3.1979,-,3.3018,3.2325,0.2476,9.059,1.7843,50.4393,3.0012,4.7466,0.8005,1.4993,71.4579,5.7595,-1.2749
2019-08-31,1.3102,0.5076,1.0328,71.2694,5.7309,5.7309,-,5.8423,4.37,0.2491,8.5331,1.8308,49.16,4.1011,6.5668,1.0884,2.0194,69.6255,2.1565,-3.2595
2019-05-31,1.4519,0.4834,0.9901,71.7415,7.3904,7.3904,-,-14.3427,-11.0575,0.3273,9.0995,1.9534,46.074,-11.0886,-18.1091,-3.6193,-5.7282,68.0846,8.5461,2.1918
2019-02-28,1.4585,0.4639,0.9257,69.6649,5.3557,5.3557,-,5.4733,4.3445,0.3123,9.4505,1.8823,47.8148,3.7147,5.6943,1.3569,1.9913,76.3465,4.4433,0.0969
2018-11-30,1.4151,0.4594,0.8962,69.715,6.553,6.553,-,6.6035,5.2457,0.3345,10.341,1.8619,48.3376,4.8461,7.5488,1.7546,2.6196,73.9109,5.5858,-0.0243
2018-08-31,1.3159,0.4429,0.8837,70.9536,6.2808,6.2808,-,6.4567,4.8968,0.3285,9.4704,1.9564,46.0028,4.3551,6.7864,1.6088,2.4263,72.7584,2.6059,-1.487
2018-05-31,1.3858,0.4398,0.8542,72.1613,7.6701,7.6701,-,7.8434,6.5092,0.3309,9.181,2.0415,44.0851,5.8045,9.0573,2.1536,3.2517,73.0131,12.9274,6.8151
2018-02-28,1.4285,0.4588,0.9305,70.6584,5.1918,5.1918,-,5.2886,12.5499,0.3187,9.2715,1.9059,47.222,10.977,18.1452,3.9999,5.9408,70.7071,-1.251,-6.2121
2017-11-30,1.5657,0.4709,0.9054,71.4461,6.835,6.835,-,6.9822,4.7508,0.3244,8.7392,1.8848,47.7503,4.5441,7.9651,1.5413,2.4042,63.6642,3.3383,-2.4375
2017-08-31,1.6331,0.4767,0.912,72.8836,6.3477,6.3477,-,6.4196,3.8962,0.31,8.0388,1.9107,47.1034,3.5865,6.453,1.2077,1.8769,61.9732,2.1691,-1.6471
2017-05-31,1.5948,0.4812,0.9289,73.3533,7.0575,7.0575,-,9.2828,6.4852,0.3239,8.1537,2.0697,43.4836,6.346,11.4363,2.1008,3.2922,59.9164,8.4992,3.5823
2017-02-28,1.6024,0.4921,0.9719,71.7744,6.8347,6.8347,-,5.9945,3.7474,0.3206,8.0323,2.0217,44.5169,3.7013,6.8671,1.2013,1.8798,56.7892,0.0008,-3.9712
2016-11-30,1.5437,0.4826,0.9357,72.614,7.816,7.816,-,7.2199,4.6882,0.3221,7.9091,1.9711,45.66,4.8173,9.1984,1.5103,2.4925,54.5235,6.1496,1.0736
2016-08-31,1.5254,0.4927,0.9745,73.4706,8.6203,8.6203,-,7.7883,4.8762,0.3217,7.5977,2.0272,44.3954,5.0559,9.716,1.5688,2.5648,53.2136,3.6097,-0.8736
2016-05-31,1.4971,0.4991,0.9984,76.9166,-0.5239,-0.5239,-,-1.3946,-0.5393,0.2824,6.0403,1.7897,50.2874,-0.5078,-0.9947,-0.1523,-0.2544,51.9125,6.6552,2.365
2016-02-29,1.7237,0.3717,0.5924,75.0277,6.8279,6.8279,-,6.1799,4.0066,0.3346,6.6387,2.246,40.0711,3.5388,4.7998,1.3406,2.2233,53.3745,5.1322,1.1283
