,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.0372,0.3804,0.6255,51.5397,13.4656,13.4656,-,8.7683,7.8288,0.0514,-,1.5439,58.2933,0.9465,-1.6819,0.4195,0.5865,49.4246,1.7157,1.4115
2020-09-30,1.0575,0.3918,0.6556,50.6603,14.3159,14.3159,-,10.0634,6.9731,0.0523,-,1.6298,55.2219,0.8511,-1.4429,0.3814,0.5176,48.3798,1.5338,1.2378
2020-06-30,1.0431,0.3945,0.6623,44.5888,4.7619,4.7619,-,-0.2309,0.0577,0.0449,-,1.3794,65.2468,0.0272,-0.0457,0.0117,0.0165,49.3397,1.534,1.1731
2020-03-31,1.0672,0.3939,0.66,42.5047,16.6888,16.6888,-,12.2579,10.4006,0.0519,-,1.4597,61.6556,1.1326,-1.9421,0.5193,0.6865,49.3872,1.2847,0.9288
2019-12-31,1.0839,0.3845,0.633,47.8616,11.8171,11.8171,-,6.8727,6.1063,0.0522,-,1.454,61.8986,0.6966,-1.2628,0.3108,0.4288,51.0176,2.6393,1.9817
2019-09-30,1.0798,0.3959,0.6662,48.3056,11.9565,11.9565,-,8.1841,6.3299,0.0402,-,0.2001,449.7986,0.6665,-1.1542,0.289,0.4026,49.5887,1.2601,1.0635
2019-06-30,4.9703,0.8437,5.403,48.082,25.3968,25.3968,-,19.246,14.7487,0.077,-,1.5288,58.8691,8.7588,-4.2412,1.1354,1.3687,6.4899,0.5143,0.2343
2019-03-31,1.0731,0.7102,2.4541,46.8708,24.8336,24.8336,-,17.1771,14.98,0.1286,-,1.4387,62.5566,9.3985,-4.1467,1.927,2.7233,6.1025,0.9346,0.6891
2018-12-31,1.1065,0.722,2.5988,47.0019,27.7885,27.7885,-,23.9845,18.4397,0.1377,-,1.0104,89.0716,12.4727,-5.1513,2.5395,3.4675,5.842,1.3704,1.1386
2018-09-30,1.0078,0.6444,1.9823,46.9547,25.2125,25.2125,-,21.5298,16.0765,0.1314,-,1.4879,60.4887,8.5306,-4.9445,2.112,3.0331,6.6359,0.909,0.6764
2018-06-30,1.09,0.6277,1.6863,47.9577,25.2113,25.2113,-,22.2535,17.6761,0.139,-,1.5236,59.0704,8.807,-5.6544,2.4564,3.2789,7.018,0.5897,0.3666
2018-03-31,1.0505,0.6077,1.5496,47.2917,42.2222,42.2222,-,39.0972,29.375,0.1416,-,1.6401,54.875,14.2376,-9.751,4.1605,5.5849,7.2287,0.8824,0.6997
2017-12-31,1.0191,0.642,1.7942,66.8865,28.0343,28.0343,-,25.066,36.0158,0.1473,-,1.5206,59.1887,19.48,-11.2213,5.1706,6.9743,6.5791,1.073,0.8923
2017-09-30,1.0108,0.6811,2.1749,46.7143,26.4286,26.4286,-,23.2143,16.5714,0.1373,-,1.559,57.7286,9.8723,-4.5049,2.2747,3.1488,5.6274,0.7677,0.5975
2017-06-30,0.9561,0.6602,1.9829,26.1183,26.8398,26.8398,-,23.8095,15.9452,0.1431,-,1.6402,54.8701,9.243,-4.5558,2.2819,3.1405,5.6713,0.5418,0.4006
2017-03-31,0.9022,0.6523,1.9134,46.0545,26.1836,26.1836,-,23.1707,17.7188,0.1438,-,1.619,55.5882,10.1898,-5.097,2.5474,3.5433,5.6928,1.0559,0.8826
2016-12-31,0.9495,0.6374,1.7954,46.8204,26.2055,26.2055,-,23.2704,15.0245,0.1469,-,1.5865,56.7296,8.4612,-4.6088,2.2067,3.0679,5.8956,0.8561,0.7092
2016-09-30,1.0336,0.6428,1.8023,46.5942,26.7391,26.7391,-,23.7681,15.5073,0.1432,-,1.6627,54.1304,8.3301,-4.5785,2.2206,2.9751,5.8976,0.8169,0.6376
2016-06-30,1.0234,0.6325,1.7237,46.6618,26.5591,26.5591,-,23.6244,15.5539,0.143,-,1.6786,53.617,8.0242,-4.5778,2.2246,2.9485,5.9882,0.4015,0.2386
2016-03-31,0.9572,0.6235,1.6576,44.8535,25.4696,25.4696,-,21.9384,21.713,0.1393,-,1.6534,54.4328,10.7675,-6.2758,3.0255,4.0539,6.0179,1.1211,0.9626
2015-12-31,1.0027,0.6172,1.6139,49.7838,28.5979,28.5979,-,31.3774,25.139,0.1733,-,2.0187,44.5831,15.3008,-9.2248,4.3576,5.8578,5.9032,0.991,0.8054
2015-09-30,1.085,0.5959,1.4761,45.6969,26.0472,26.0472,-,22.9246,16.6032,0.1399,-,1.6769,53.671,7.5985,-5.1439,2.3224,3.0709,6.2505,0.7669,0.573
2015-06-30,1.2829,0.5738,1.3478,45.3005,25.1156,25.1156,-,14.792,9.7843,0.1354,-,1.7399,51.7257,4.0407,-3.1742,1.3246,1.7223,6.6815,0.536,0.299
2015-03-31,0.998,0.5386,1.197,43.2941,24.6275,24.6275,-,21.4902,13.9608,0.1366,-,1.6667,54,5.5314,-4.4949,1.9068,2.552,6.769,0.7119,0.5267
2014-12-31,0.9717,0.5288,1.1502,42.8571,24.0882,24.0882,-,20.9726,13.7538,0.1414,-,1.6491,54.5745,5.4932,-4.6209,1.9446,2.5883,6.856,0.6798,0.5488
2014-09-30,1.1303,0.5204,1.1115,44.1805,24.9406,24.9406,-,21.6944,18.9232,0.1338,-,1.6885,53.3017,6.9035,-6.3027,2.5323,3.3112,7.0567,0.7836,0.6327
2014-06-30,1.1148,0.5194,1.1073,43.8947,24.5012,24.5012,-,21.3089,13.2482,0.1333,-,1.7164,52.4342,4.777,-4.3547,1.7654,2.2957,6.9751,0.5581,0.3976
2014-03-31,1.0758,0.5217,1.1176,41.5721,21.9611,21.9611,-,18.6386,13.6143,0.1303,-,1.641,54.846,4.8795,-4.3377,1.7735,2.3337,6.8422,0.5646,0.4292
2013-12-31,1.1802,0.5116,1.0734,44.5764,23.5154,23.5154,-,20.3484,17.498,0.1328,-,1.6818,53.5154,6.1367,-5.8309,2.3126,2.9969,6.9829,0.6611,0.5418
2013-09-30,1.2435,0.5317,1.1361,43.0475,23.3139,23.3139,-,19.9001,13.239,0.127,-,1.6915,53.2057,4.6532,-4.0894,1.7026,2.1789,6.6899,0.5522,0.4327
2013-06-30,1.2396,0.5329,1.1415,43.2387,22.788,22.788,-,19.3656,12.6043,0.127,-,1.7337,51.9115,4.3893,-3.822,1.6112,2.0502,6.6037,0.3283,0.2309
2013-03-31,1.221,0.5365,1.1579,38.1945,18.316,18.316,-,14.7569,10.1563,0.1205,-,1.7092,52.6563,3.3457,-2.9353,1.2235,1.5509,6.5634,0.4107,0.3034
2012-12-31,1.3059,0.4858,0.9453,43.3188,25.0655,25.0655,-,21.7467,15.6332,0.1348,-,1.7322,51.9563,4.6239,-5.2111,1.8595,2.3777,6.4013,0.5099,0.4243
2012-09-30,1.2607,0.5141,1.0586,42.5474,23.9386,23.9386,-,19.6025,12.5565,0.131,-,1.7216,52.2764,4.2971,-4.317,1.6562,2.088,6.0874,0.3025,0.2204
2012-06-30,1.0389,0.4988,1.0498,42.4103,23.6431,23.6431,-,20.1472,14.8114,0.1292,-,1.7937,50.1748,4.98,-4.9405,1.9249,2.4961,5.9974,0.273,0.193
2012-03-31,0.9727,0.5002,1.0563,40.474,21.7867,21.7867,-,17.8669,12.0328,0.1293,-,1.6877,53.3273,4.1058,-3.9321,1.5559,2.0519,5.854,0.4164,0.3132
2011-12-31,0.9798,0.4968,1.0421,43.8455,24.708,24.708,-,20.7547,12.8482,0.1302,-,1.6712,53.8545,4.5734,-4.4571,1.7431,2.3015,5.8137,0.4445,0.3675
2011-09-30,1.1622,0.5272,1.1161,40.6397,22.8598,22.8598,-,16.3688,11.9473,0.1258,-,1.8359,49.0216,4.0292,-3.6213,1.5028,1.9052,5.5966,0.4692,0.3935
2011-06-30,1.3198,0.5205,1.1837,41.4085,23.5681,23.5681,-,13.3333,8.4507,0.1268,-,1.947,46.2254,3.1432,-3.0686,1.1553,1.5071,5.4523,0.2457,0.1637
2011-03-31,1.4228,0.5165,1.0692,40.458,21.0878,21.0878,-,16.7939,10.687,0.1269,-,1.9848,45.3435,3.6329,-3.6248,1.3806,1.7565,5.4593,0.479,0.3842
2010-12-31,1.5903,0.5094,1.0393,43.1354,24.7681,24.7681,-,17.9035,10.7607,0.1302,-,1.8846,47.7551,3.6854,-3.9313,1.437,1.808,5.4952,0.4953,0.4206
2010-09-30,1.5557,0.5168,1.1481,42.5366,24.4878,24.4878,-,19.7073,12.8781,0.119,-,1.697,53.0342,4.1512,-4.3791,1.5556,2.0057,5.4016,0.3774,0.3013
2010-06-30,1.3546,0.52,1.1019,42.6615,24.5597,24.5597,-,20.0587,12.4266,0.1249,-,2.044,44.0313,4.1653,-4.0689,1.5889,1.9994,5.1982,0.2832,0.2139
2010-03-31,1.2566,0.5202,1.127,40.6746,23.6111,23.6111,-,19.1468,12.004,0.1213,-,1.9611,45.8929,3.9448,-3.8187,1.4803,1.8926,5.1081,0.4229,0.3546
2009-12-31,1.0999,0.5278,1.2032,42.467,24.1055,24.1055,-,19.3032,11.1111,0.1268,-,1.917,46.9492,4.23,-3.8198,1.5278,1.9975,4.938,0.3381,0.2628
2009-09-30,1.2555,0.5642,1.2962,41.6331,23.2863,23.2863,-,18.0444,11.5927,0.1091,-,1.9151,46.996,4.2553,-3.5694,1.3632,1.8543,4.7336,0.3955,0.3095
2009-06-30,1.164,0.5695,1.3681,41,23.4,23.4,-,17.9,14,0.1088,-,1.845,48.78,4.055,-3.1602,1.2514,1.7459,4.5801,0.2636,0.1785
2009-03-31,1.0721,0.5808,1.4797,41.349,21.9941,21.9941,-,16.7155,10.0684,0.1096,-,1.8533,48.5631,3.9143,-2.7946,1.1354,1.6409,4.3481,0.3702,0.2981
2008-12-31,1.0794,0.5975,1.5825,44.2692,24.6057,24.6057,-,14.0904,6.5195,0.1019,-,1.6091,55.9306,3.1611,-2.1112,0.8788,1.2725,4.1597,0.2935,0.2006
2008-09-30,1.3509,0.605,1.5348,40.0771,20.9056,20.9056,-,17.2447,7.5145,0.1083,-,1.8503,48.6416,2.7027,-2.015,0.7822,1.0675,4.2983,0.2814,0.2104
2008-06-30,1.1249,0.5989,1.5857,34.2879,17.5697,17.5697,-,12.8483,7.7399,0.1279,-,1.599,56.2848,3.5815,-2.3893,1.0097,1.4364,4.3335,0.2682,0.2042
2008-03-31,1.0663,0.6154,1.7741,33.7672,17.611,17.611,-,12.3277,25.1914,0.1241,-,1.5511,58.0245,3.6776,-2.2343,0.9411,1.4143,4.1087,0.331,0.2554
2007-12-31,1.1304,0.6649,2.1909,36.4368,21.2644,21.2644,-,17.0115,11.0345,0.0734,-,1.0407,86.4828,3.7292,-1.9828,0.7766,1.2497,3.7356,0.1994,0.1408
2007-09-30,1.0964,0.2767,0.4081,33.7662,20.7792,20.7792,-,19.4805,13.0952,0.1472,-,1.4038,64.1116,4.7021,-18.7821,1.784,3.4013,3.618,0.2311,0.1793
2007-06-30,1.084,0.2689,0.3678,33.5463,19.3823,19.3823,-,18.2109,11.5016,0.1455,-,1.6644,54.0748,4.3896,-17.7425,1.6271,3.2092,3.5835,0.145,0.0954
2007-03-31,1.1087,0.2528,0.3383,32.3093,18.75,18.75,-,17.7966,12.0763,0.1484,-,1.576,57.1058,4.2391,-17.4265,1.6187,3.1676,3.5897,0.2346,0.1695
2006-12-31,1.2211,0.2349,0.3071,28.0347,15.1451,15.1451,-,14.3829,8.8455,0.1916,-,2.3671,38.0216,4.3671,-124.6423,1.6946,3.3411,3.5447,0.1523,0.1294
2006-09-30,1.112,0.2531,0.3388,28.5327,16.0692,16.0692,-,15.0374,9.8072,0.1821,-,1.8972,47.4394,4.2968,-19.4075,1.7057,3.2094,3.5296,0.2325,0.158
2006-06-30,1.058,0.2464,0.3269,29.7058,16.6968,16.6968,-,15.718,11.1272,0.1634,-,1.8132,49.6364,4.3656,-19.9728,1.6161,3.2901,3.4282,0.1266,0.0601
2006-03-31,1.0233,0.2413,0.318,30.8759,17.5945,17.5945,-,17.0377,10.5967,0.1801,-,1.9927,45.1651,4.8764,-23.1668,1.9085,3.6997,3.3644,0.2619,0.1971
2005-12-31,1.0201,0.1945,0.2415,51.3183,18.4195,18.4195,-,21.8948,13.955,0.1785,-,2.0865,43.135,6.0175,-39.2976,2.4568,4.8471,3.3916,0.1724,0.1321
2005-09-30,0.9595,0.1907,0.2557,29.7711,16.9545,16.9545,-,16.6155,11.1639,0.1655,-,1.9522,46.1012,4.3776,-31.2047,1.7887,3.5427,3.3645,0.1928,0.1386
2005-06-30,1.3018,0.1606,0.2303,31.468,18.7917,18.7917,-,18.6632,11.4406,0.1673,-,2.1026,42.8037,4.4445,107.8676,1.9139,3.7308,3.3875,0.1519,0.1025
2005-03-31,1.3543,0.1619,0.2318,31.9814,19.3211,19.3211,-,23.41,14.2867,0.15,-,2.0862,43.1417,5.4067,84.6877,2.1521,4.5316,3.3622,0.1727,0.132
