,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,2.544,0.4936,0.9796,30.3149,9.6012,9.8682,-,6.1452,5.8195,0.1852,1.0281,1.3065,68.8854,3.4521,16.473,1.145,1.7483,13.5574,1.4863,1.429
2020-09-30,2.566,0.4996,1.0034,30.8567,9.4474,9.7548,-,7.8245,5.518,0.1787,0.8945,1.2309,73.1155,3.1488,16.3573,1.037,1.5757,13.1047,0.7209,0.6219
2020-06-30,2.2325,0.4472,0.8143,28.8833,4.6367,4.9704,-,1.751,0.9346,0.1945,0.9611,1.2181,73.8885,0.6382,3.2697,0.2268,0.3528,13.0107,-0.1994,-0.311
2020-03-31,2.193,0.446,0.8105,29.7361,2.8567,3.214,-,4.226,-0.0682,0.1878,0.9187,1.2205,73.7421,0.0884,0.4507,0.0313,0.049,12.9857,0.3618,0.3115
2019-12-31,2.2433,0.4353,0.7771,32.3711,8.7226,8.9507,-,7.4343,5.9739,0.2154,1.0887,1.3373,67.3011,3.6679,16.3119,1.3164,2.0714,13.5779,1.3742,1.155
2019-09-30,2.2855,0.4328,0.7684,33.4288,10.5029,10.7125,-,8.4737,6.01,0.209,0.9645,1.2613,71.3565,3.5011,15.1353,1.3005,1.986,13.5368,0.7117,0.5634
2019-06-30,2.2754,0.4421,0.8332,32.1218,9.9,10.2697,-,8.3717,5.8755,0.2054,0.987,1.2273,73.3323,3.4561,16.2757,1.2543,1.9282,13.3725,0.0818,-0.0214
2019-03-31,2.1728,0.4491,0.8574,33.0404,10.2501,10.5095,-,8.5482,6.4335,0.1836,0.8762,1.1391,79.0116,3.4834,18.0296,1.2276,1.9191,13.0556,0.2928,0.5101
2018-12-31,2.2046,0.46,0.893,32.8193,7.4122,7.7391,-,5.9323,4.8429,0.2144,1.0491,1.2492,72.0468,2.9626,18.0498,1.0658,1.5997,12.7208,1.2532,1.01
2018-09-30,2.2351,0.4684,0.9223,32.3812,6.5278,6.8736,-,4.6552,2.9605,0.2069,0.9826,1.2208,73.7226,1.8053,12.7389,0.6393,0.9597,12.4909,0.6329,0.5184
2018-06-30,2.2539,0.4699,0.9289,29.3956,4.8001,4.9486,-,2.9114,1.3585,0.2092,1.0174,1.193,75.4409,0.9008,6.3079,0.318,0.4775,12.5739,0.4885,0.3518
2018-03-31,2.29,0.4685,0.9233,29.5051,4.9378,5.2821,-,2.7208,1.6461,0.1928,0.924,1.1867,75.8429,0.9662,6.2559,0.345,0.5135,13.052,-0.9209,-1.0192
2017-12-31,2.0587,0.473,0.9427,29.6397,8.5869,8.9317,-,6.4751,-10.2393,0.2106,0.8228,1.207,74.5636,-6.3369,-43.6257,-2.1564,-3.3396,12.8217,1.8174,1.6763
2017-09-30,2.124,0.46,0.8976,30.3394,8.4667,8.797,-,7.7395,5.389,0.1827,0.6467,1.0377,86.7261,2.7574,14.1829,1.0083,1.4889,13.5669,0.1959,0.1155
2017-06-30,2.1072,0.4652,0.9218,27.9866,14.4662,14.7688,-,11.752,4.7748,0.1829,0.6706,1.0541,85.3796,2.4444,13.6652,0.8797,1.3073,13.2456,0.3249,0.2368
2017-03-31,2.0492,0.4691,0.938,31.0493,5.8488,6.2476,-,2.8406,2.199,0.1857,0.6355,1.042,86.3685,1.1537,7.9046,0.4136,0.6125,12.8392,0.0299,-0.0881
2016-12-31,1.9498,0.4756,0.9592,31.0944,10.4468,10.858,-,8.3828,5.6079,0.2274,0.822,1.2133,74.1758,3.781,28.4243,1.3147,1.9826,12.6134,1.2916,1.1218
2016-09-30,1.9829,0.4726,0.9401,29.3866,0.0118,0.3706,-,-1.2904,-1.6746,0.1949,0.6429,1.0548,85.3205,-0.8773,-5.6848,-0.3097,-0.4627,13.1998,0.4627,0.2439
2016-06-30,1.9565,0.4669,0.916,31.2115,9.127,9.3031,-,8.164,5.2923,0.2083,0.668,1.0861,82.867,3.0849,17.3878,1.1023,1.6445,13.5845,0.1476,0.0303
2016-03-31,1.8981,0.4747,0.9397,32.2498,7.4955,7.8463,-,5.4393,3.5791,0.19,0.5891,1.0345,87.0004,1.9696,12.5836,0.6884,1.0346,13.4302,-0.0659,-0.2197
2015-12-31,1.8197,0.4839,0.9739,30.2048,9.799,10.0788,-,7.7877,4.8356,0.2588,0.916,1.303,69.0721,3.7974,29.8664,1.2735,1.9598,12.8932,2.3098,2.0366
2015-09-30,2.0161,0.4857,0.985,35.4545,15.308,15.5465,-,13.3733,8.5385,0.2126,0.6339,1.0968,82.0565,5.5461,40.4316,1.8327,2.8521,13.082,0.8501,0.6707
2015-06-30,2.0352,0.4769,0.9493,31.7568,10.9768,11.1556,-,9.2538,6.4537,0.2188,0.7021,1.115,80.7198,4.2957,25.1361,1.4426,2.2472,13.4541,0.8195,0.5949
2015-03-31,2.0588,0.4788,0.952,32.695,9.203,9.3581,-,5.7313,2.727,0.1932,0.6103,0.9991,90.082,1.6804,9.8269,0.5645,0.8758,13.199,-0.6855,-1.291
2014-12-31,1.8984,0.362,0.5948,34.8391,16.9617,17.2999,-,16.1332,11.1166,0.2781,0.9041,1.2761,70.5249,7.9862,21.2949,3.1216,5.0952,14.4537,3.3685,3.0152
2014-09-30,2.0335,0.3664,0.6065,35.0071,15.9835,16.1351,-,15.2262,10.6781,0.2512,0.6998,1.0645,84.548,6.789,18.6995,2.7244,4.3012,14.2201,1.0258,0.8128
2014-06-30,2.0204,0.367,0.6136,35.1449,15.8705,16.0491,-,14.3713,10.0878,0.2506,0.6844,1.0575,85.103,6.456,18.2745,2.5616,4.0869,14.281,0.5281,0.3707
2014-03-31,1.9842,0.3749,0.6401,35.3066,15.3844,15.7056,-,13.7251,10.0862,0.2244,0.6163,1.0037,89.6697,5.8291,17.9205,2.2815,3.6437,13.6657,-0.6097,-0.8355
2013-12-31,1.8275,0.3753,0.6394,33.8605,15.3224,15.5364,-,13.7969,10.154,0.2759,0.8664,1.2026,74.8355,7.5646,23.3154,2.8192,4.7257,13.6853,2.6528,2.3522
2013-09-30,1.6476,0.3167,0.6121,34.3954,15.7347,15.9151,-,14.8407,10.2738,0.2617,0.6809,1.1278,79.7988,6.9888,20.7904,2.6943,4.7753,13.078,1.0015,0.7628
2013-06-30,1.6122,0.3303,0.6545,34.0111,14.8057,14.9788,-,13.8189,9.7123,0.2672,0.6907,1.1475,78.4345,7.0208,22.7319,2.6065,4.7019,12.3443,0.5124,0.3205
2013-03-31,1.685,0.3246,0.5983,34.0424,15.5462,18.4351,-,13.4628,8.9175,0.2349,0.6258,1.0381,86.6946,5.5321,16.529,2.1185,3.7362,12.5737,-0.7421,-0.9759
2012-12-31,1.7227,0.3145,0.4902,33.6966,15.2651,15.5465,-,14.2929,10.6611,0.2761,0.8104,1.2034,74.7887,7.4922,20.5544,2.9503,5.136,13.1193,2.477,2.1987
2012-09-30,1.9292,0.3025,0.4578,33.4159,14.2124,14.5468,-,12.4025,9.1169,0.2458,0.6717,1.0545,85.3467,5.27,12.9088,2.2521,3.6759,13.5067,0.4257,0.2541
2012-06-30,1.4936,0.1758,0.3989,32.5321,13.9395,14.2851,-,12.5243,9.0775,0.2567,0.6941,1.1178,80.5158,5.4308,13.5546,2.3554,4.4759,13.0945,1.0244,0.8501
2012-03-31,1.8888,0.1564,0.211,33.413,13.2582,13.7446,-,12.0055,8.663,0.2328,0.6272,1.0246,87.8354,3.9525,8.1487,2.0254,3.3345,14.5666,-0.6535,-0.7801
2011-12-31,1.7876,0.1654,0.2218,33.1925,15.2803,15.7383,-,14.2379,9.8857,0.2737,0.8384,1.1935,75.4072,5.5111,11.7377,2.7161,4.5994,14.0877,2.1873,1.9726
2011-09-30,1.9856,0.1656,0.2202,33.5694,13.8131,14.2024,-,12.4805,9.6069,0.2504,0.6921,1.0967,82.0642,4.6798,9.3587,2.4095,3.9048,13.98,0.5186,0.3825
2011-06-30,1.9408,0.1661,0.2231,32.8081,12.4455,12.7787,-,12.1653,8.7703,0.2467,0.6936,1.125,80.0027,4.2344,8.5919,2.1634,3.531,14.0911,-0.0593,-0.202
2011-03-31,1.8832,0.1745,0.2357,34.8669,13.0618,13.5829,-,13.0991,9.7254,0.2241,0.6359,1.0966,82.07,4.3538,9.2102,2.1799,3.5942,13.4415,-1.3501,-1.4727
2010-12-31,1.7329,0.1839,0.2497,33.7194,14.3774,14.738,-,13.409,9.8657,0.2557,0.8524,1.3583,66.261,5.3216,11.7944,2.5213,4.3428,12.7925,2.2003,1.8974
2010-09-30,1.8405,0.2094,0.279,34.3218,13.2961,13.6501,-,14.4016,10.6948,0.2297,0.6733,1.1572,77.7765,5.1518,12.0263,2.4641,4.073,12.2249,0.2128,0.1101
2010-06-30,1.9818,0.2257,0.3076,35.7264,15.194,15.6096,-,13.0527,9.5357,0.2428,0.7741,1.2599,71.4365,4.9893,10.5164,2.3191,3.8632,11.0967,0.5678,0.507
2010-03-31,1.8673,0.2275,0.31,36.3237,14.8267,15.359,-,11.6779,8.3658,0.2357,0.7661,1.1753,76.5752,4.3919,9.4589,1.9711,3.3927,10.9985,-0.8788,-0.9499
2009-12-31,1.7141,0.2304,0.3145,34.0957,13.5457,13.8892,-,12.3537,9.2088,0.2822,0.9937,1.5145,59.425,6.1198,13.5768,2.5951,4.7098,10.9284,2.5222,2.3989
2009-09-30,1.7228,0.2393,0.3307,36.6491,15.3373,15.648,-,15.0938,11.1263,0.2617,0.7529,1.2494,72.0342,6.7791,16.0372,2.9036,5.1571,10.4181,0.4831,0.3481
2009-06-30,1.6538,0.2555,0.361,35.4293,14.5592,14.9056,-,13.6838,9.9246,0.2758,0.7897,1.2781,70.4169,6.8669,18.4332,2.7471,5.1127,9.5638,0.6107,0.4928
2009-03-31,1.585,0.2779,0.4027,35.8899,14.3587,14.8149,-,12.57,9.0078,0.2701,0.7431,1.2369,72.761,6.5671,19.7351,2.4468,4.7418,8.5291,-1.0654,-1.3273
2008-12-31,1.4505,0.2842,0.4172,35.2085,13.6461,13.9105,-,13.7302,9.7895,0.2905,0.9075,1.4458,62.2495,8.3679,27.1279,2.8578,5.9897,8.296,2.402,2.084
2008-09-30,1.4648,0.2796,0.4035,35.1012,14.261,14.5548,-,12.5583,10.1465,0.308,0.8713,1.2648,71.155,8.3635,26.7194,3.1486,6.0252,8.4224,0.9993,0.8274
2008-06-30,1.5997,0.2673,0.3802,36.1065,14.8868,15.2765,-,13.9752,10.6136,0.3052,0.8284,1.2585,71.5158,8.2228,24.0489,3.2587,6.0252,8.8659,-0.0331,-0.1557
2008-03-31,1.5864,0.28,0.3981,34.8172,12.0119,12.6132,-,12.6637,8.8657,0.2688,0.7583,1.2598,71.4386,6.2736,21.0141,2.3999,4.5168,8.3093,-0.9941,-1.0763
2007-12-31,1.5172,0.2987,0.4315,33.0142,12.5595,12.952,-,11.7181,8.6445,0.3151,1.0925,1.6639,54.0901,7.5697,32.0922,2.7802,5.3084,7.6541,2.1544,2.0493
2007-09-30,1.5082,0.3212,0.5286,34.113,11.7737,12.2938,-,10.3389,6.8594,0.2807,0.8298,1.3044,68.9978,5.4047,36.2464,1.9255,3.6686,6.9277,0.6225,0.5484
2007-06-30,1.4709,0.339,0.6339,32.4941,10.4126,10.8457,-,9.0226,6.7913,0.2975,0.9226,1.4008,64.2508,5.856,71.8721,2.0204,3.8707,6.4321,0.0713,-0.0557
2007-03-31,1.4555,0.3539,0.6423,33.0438,8.3921,9.0804,-,6.6012,4.184,0.2714,0.8574,1.3864,64.9185,3.3176,153.23,1.1356,2.1434,6.0375,-0.4311,-0.5622
2006-12-31,1.4738,0.3529,0.5532,32.4705,7.1595,7.5776,-,5.8588,3.7963,0.308,1.0901,1.6012,56.2063,3.2682,127.772,1.1625,2.115,6.0725,0.8717,0.695
2006-09-30,1.6159,0.4043,0.6904,32.4101,8.0281,8.4596,-,5.8762,3.7987,0.2805,1.0637,1.4849,60.6101,3.0031,-68.4307,1.0364,1.7889,5.6178,0.0385,-0.0459
