,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.0988,0.4405,0.9446,12.6966,1.9147,1.9147,-,1.798,-1.1471,0.174,2.358,1.3161,68.3833,-0.3298,-1.9287,-0.0706,-0.1845,9.3755,1.2368,1.195
2020-09-30,1.1015,0.4341,0.9118,13.7932,2.4193,2.4193,-,0.8664,-0.1169,0.1764,2.1474,1.3823,65.1102,0.1512,0.8617,0.0338,0.0855,9.4208,0.374,0.2069
2020-06-30,1.16,0.4882,1.0794,16.3844,3.2959,3.2959,-,1.0448,0.3704,0.1612,1.9275,1.2799,70.316,0.3664,2.2566,0.0781,0.1875,9.2936,-0.2091,-0.3782
2020-03-31,1.1359,0.4835,1.0798,13.692,-100.1821,-100.1821,-,-102.4822,-104.0188,0.1571,2.005,1.2629,71.2657,-79.458,-565.1578,-16.2875,-41.0396,9.1118,0.0623,-0.1075
2019-12-31,1.1724,0.3411,0.5821,17.6988,-56.0588,-56.0588,-,-60.3869,-64.7741,0.1585,2.1661,1.4605,61.622,-31.6112,-242.2546,-10.3334,-20.8286,17.1955,1.2464,1.0613
2019-09-30,1.17,0.2628,0.386,18.2513,3.4212,3.4212,-,-1.0255,-3.5711,0.1346,1.931,1.3393,67.1998,-1.1389,-8.0019,-0.4653,-0.8396,22.6433,0.2143,-0.0009
2019-06-30,1.1803,0.2628,0.3643,20.0629,9.1317,9.1317,-,3.337,2.8245,0.1346,1.9792,1.3091,68.7514,1.0953,6.9014,0.4457,0.8074,23.2484,0.1655,-0.04
2019-03-31,1.1686,0.2642,0.3792,17.2022,4.6275,4.6275,-,1.1775,0.7175,0.1137,1.8339,1.1234,80.1133,0.1909,1.2273,0.0773,0.1404,23.1399,0.2678,-0.1233
2018-12-31,1.2891,0.2842,0.4035,16.7108,-48.7601,-48.7601,-,-60.322,-67.9898,0.1341,2.212,1.2066,74.5892,-21.624,-140.0037,-9.0641,-15.479,23.0608,0.3462,0.1239
2018-09-30,1.3287,0.2385,0.3194,18.6176,8.9096,8.9096,-,6.3904,4.3546,0.1179,2.1849,1.3031,69.0674,1.0465,5.1659,0.5034,0.7968,28.316,0.2963,0.035
2018-06-30,1.2931,0.2255,0.2972,18.1938,6.1907,6.1907,-,5.9036,3.5699,0.1094,2.2312,1.1669,77.1242,0.8464,4.012,0.4069,0.6555,28.4326,-0.6144,-0.7815
2018-03-31,1.2826,0.2195,0.2878,19.218,7.6571,7.6571,-,4.5021,3.043,0.1095,2.435,1.1311,79.5693,0.6882,3.0795,0.3204,0.5371,28.736,-0.4329,-0.5433
2017-12-31,1.3202,0.2198,0.2875,20.877,8.0342,8.0342,-,4.5696,-4.1787,0.1303,2.9525,2.0221,44.5088,-0.9508,-4.053,-0.4511,-0.7418,28.8312,-0.1441,-0.3255
2017-09-30,1.2205,0.1875,0.2653,16.2453,6.4865,6.4865,-,5.5447,2.9221,0.1398,3.7264,1.3291,67.7157,0.859,3.4302,0.3979,0.698,29.3895,-0.0343,-0.1456
2017-06-30,1.2115,0.1959,0.2784,17.7633,9.2302,9.2302,-,6.3771,4.2887,0.1302,3.5169,1.524,59.0536,1.1735,5.243,0.5385,0.9436,29.0011,0.3047,0.1825
2017-03-31,1.172,0.1872,0.2677,12.0337,1.3518,1.3518,-,1.0803,-0.5519,0.1144,3.0303,1.2036,74.7786,-0.1136,-0.532,-0.0513,-0.0923,28.6802,0.3236,0.2233
2016-12-31,1.0044,0.2704,0.5061,5.1186,5.1186,5.1186,-,4.9812,-1.0255,0.0585,3.0959,0.6296,142.9402,-0.3192,-1.3974,-0.0862,-0.2329,42.4231,0.0602,-0.3771
2016-09-30,2.1278,0.3161,0.4692,18.7187,10.7547,10.7547,-,17.0139,12.7289,0.3984,3.0097,3.1554,28.5225,11.1994,15.5116,5.0589,7.6593,11.9358,-1.2891,-1.591
2016-06-30,2.0726,0.3294,0.5016,18.7091,8.1882,8.1882,-,4.6066,4.3873,0.3848,2.838,2.855,31.5237,3.9256,5.4895,1.6848,2.6326,11.7207,2.1148,1.8493
2016-03-31,1.875,0.3174,0.474,16.6272,8.1639,8.1639,-,6.9211,5.0173,0.3811,2.7869,1.6302,55.2076,4.6027,6.4738,1.9103,3.1418,11.5836,1.2894,1.0884
2015-12-31,1.7049,0.3084,0.4545,5.7942,5.7942,5.7942,-,3.6222,3.8955,0.2223,1.7597,1.6146,55.7416,2.2098,3.2635,0.8755,1.5283,-,0.8813,0.495
2015-09-30,1.7693,0.3332,0.513,24.0194,7.9482,7.9482,-,6.6019,5.3074,0.2302,1.3424,0.8441,106.6252,3.2686,4.7121,1.2293,2.1795,11.0653,1.1568,0.9355
2015-06-30,1.6919,0.3278,0.4919,23.4899,11.0901,11.0901,-,9.6685,6.365,0.2459,1.337,0.8764,102.6941,4.1292,5.9738,1.5666,2.7759,11.3816,0.2613,-0.0602
2015-03-31,1.6938,0.344,0.5304,24.3393,11.7154,11.7154,-,10.9132,8.7069,0.2432,1.266,0.9677,92.9997,5.967,8.8492,2.1245,3.9143,10.7399,0.7507,0.3801
2014-12-31,1.5938,0.343,0.5269,25.6006,13.8948,13.8948,-,12.3736,7.8193,0.3006,1.5709,1.0027,89.7579,6.8854,10.589,2.3787,4.5235,10.7028,1.7282,1.2182
2014-09-30,1.632,0.3334,0.5038,25.148,14.9289,14.9289,-,13.1836,8.5901,0.281,1.4144,0.8713,103.2994,6.3772,9.3965,2.4238,4.2512,11.4305,1.0451,0.607
2014-06-30,1.6379,0.3273,0.4943,24.0619,17.3928,17.3928,-,16.8942,11.3988,0.2939,1.4698,0.9282,96.9587,8.5931,12.8572,3.3713,5.7809,11.2806,0.7763,0.4042
