,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2021-01-31,2.5409,0.1373,0.1986,18.2911,10.89,11.4681,-,11.2583,9.0317,0.2472,1.8506,3.439,26.1702,3.3924,7.7633,2.2333,2.9267,12.1448,0.3757,0.3047
2020-10-31,2.3798,0.1398,0.2027,18.915,11.4333,11.8353,-,11.5173,9.6837,0.2443,1.8292,3.2534,27.6633,3.6472,8.5552,2.3669,3.1373,11.9105,0.4589,0.2019
2020-07-31,2.3894,0.143,0.2082,17.7381,10.4799,10.8257,-,10.891,8.5292,0.2481,1.9942,3.6662,24.5483,3.2409,7.8921,2.1172,2.7773,11.6276,0.6013,0.441
2020-04-30,1.6978,0.0091,0.0511,19.7052,12.1142,12.5278,-,11.8263,9.4009,0.2886,1.8543,4.5166,19.9266,3.6913,9.2548,2.7113,3.6576,11.4412,0.6577,0.511
2020-01-31,2.3409,0.0482,0.052,19.645,11.7633,12.0815,-,12.169,10.1857,0.2876,1.8122,4.2377,21.2379,3.9854,9.4162,2.9306,3.7932,11.3433,0.3458,0.241
2019-10-31,2.1369,0.0405,0.0422,19.737,12.8321,13.2745,-,12.9399,10.2139,0.3085,1.9262,4.209,21.3826,4.313,10.6043,3.1516,4.1384,11.0864,0.6391,0.3857
2019-07-31,2.093,0.0407,0.0424,18.9218,11.2043,11.352,-,11.3939,8.7069,0.288,1.6755,4.3282,20.7938,3.3851,8.4292,2.5071,3.2473,11.0391,0.3846,0.271
2019-04-30,2.1401,0.0406,0.0424,20.0085,13.3219,13.8887,-,13.5642,12.0452,0.2955,1.82,4.3604,20.6405,4.789,11.9017,3.5616,4.5944,11.0089,0.3266,0.2399
2019-01-31,1.4631,0.042,0.1095,20.689,12.9747,13.4601,-,13.0055,10.2283,0.2894,1.8825,4.1761,21.5513,4.2329,13.5378,2.9615,4.0552,10.6816,0.3426,0.3259
2018-10-31,1.8,0.1003,0.1115,21.1244,12.658,13.0071,-,12.7344,10.354,0.3101,2.0667,4.177,21.5467,4.6656,15.533,3.2116,4.1976,10.4933,0.9163,0.6533
2018-07-31,1.6906,0.1038,0.1334,19.2886,10.8807,11.4377,-,10.9248,8.9118,0.2988,1.9021,4.1842,21.5095,3.8985,14.7689,2.6643,3.4939,10.1595,0.55,0.3628
2018-04-30,1.6115,0.1056,0.153,21.1452,12.9471,13.5257,-,12.7387,10.1857,0.2977,1.8174,4.2044,21.4064,4.4886,18.1539,3.0336,4.0146,9.9817,0.2571,0.1063
2018-01-31,1.472,0.1081,0.1706,21.3742,12.9523,13.9616,-,13.09,13.0017,0.2966,1.8834,4.0952,21.977,5.8815,25.8142,3.8582,5.2458,9.7273,0.5597,0.4623
2017-10-31,1.915,0.0482,0.0506,20.261,13.0643,13.5543,-,13.2395,8.752,0.3573,2.158,3.8905,23.1335,4.4206,12.1795,3.1302,4.2076,9.348,0.9315,0.7437
2017-07-31,2.5258,0.05,0.0526,20.4953,12.6714,12.8506,-,12.5952,8.2681,0.3392,1.7321,4.0206,22.3845,3.8406,8.9145,2.805,3.6487,9.0067,0.4663,0.3911
