,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2021-01-31,1.5293,0.1865,0.2659,76.7132,-1.5863,-1.5863,-,1.3959,1.269,0.108,-,2.5502,35.2919,0.2255,-17.5439,0.137,0.1835,32.3696,1.017,0.9003
2020-10-31,3.0906,0.2792,0.4494,80.65,15.7974,15.7974,-,15.873,14.966,0.1363,-,10.3359,8.7075,3.775,5.6815,2.0398,2.7209,19.9652,0.1698,0.0264
2020-07-31,2.2613,0.2846,0.6598,82.2687,26.5969,26.5969,-,26.7621,24.5044,0.1661,-,11.2795,7.9791,8.7152,12.9965,4.071,6.2351,19.5079,1.0871,0.9735
2020-04-30,1.7921,0.01,0.084,85.8095,47.0686,47.0686,-,46.9021,36.1093,0.3867,-,13.3422,6.7455,22.8692,35.5061,13.9619,22.6399,18.1784,7.3371,7.1894
2020-01-31,1.6742,0.091,0.1103,79.9528,15.9198,15.9198,-,16.6274,14.1509,0.2531,-,2.5893,34.7583,6.4395,11.8168,3.5816,5.8537,14.3062,1.2008,1.0871
2019-10-31,1.7997,0.0931,0.1164,75.1073,0.8584,0.8584,-,1.8884,4.8927,0.1884,-,6.1316,14.6781,1.569,2.9549,0.9219,1.4229,13.957,-0.4811,-0.625
2019-07-31,1.8281,0.0933,0.1163,71.7304,-15.3924,-15.3924,-,-13.7827,-4.4266,0.1582,-,6.5395,13.7626,-1.1736,-2.1569,-0.7003,-1.0641,14.4093,-0.4622,-0.5606
2019-04-30,1.8546,0.0891,0.1101,89.1809,54.5232,54.5232,-,54.9205,42.1149,0.473,-,12.3472,7.2891,33.8575,57.0364,19.9219,30.8415,15.6941,8.5152,8.3295
2019-01-31,1.3213,0.1149,0.1477,81.0253,15.5127,15.5127,-,15.6458,12.5832,0.2815,-,2.4071,37.3901,6.7597,16.6373,3.5426,5.9829,10.7908,1.2917,1.1212
2018-10-31,1.4073,0.1188,0.1528,75.689,-0.9843,-0.9843,-,-1.378,3.3465,0.2062,-,5.2642,17.0965,1.2221,3.0439,0.6899,1.077,10.7177,-0.5417,-0.6742
