,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.4773,0.0001,0.0002,38.9664,22.1687,22.1687,-,22.1533,17.0428,0.1847,-,1.906,47.2194,4.6585,18.423,3.1478,4.658,20.3129,1.0508,0.984
2020-09-30,1.4103,0.0001,0.0002,41.8041,26.0266,26.0266,-,26.0157,20.1895,0.1935,-,2.0259,44.4249,5.9087,23.4446,3.9063,5.9081,20.2316,1.4923,1.4339
2020-06-30,1.3521,0.0001,0.0002,37.9264,18.7067,18.7067,-,18.6763,14.9426,0.1691,-,1.275,70.5896,3.9585,15.4186,2.5261,3.958,20.223,3.0403,2.4703
2020-03-31,1.6074,0.0352,0.0365,39.784,21.4105,21.4105,-,21.418,17.1993,0.1926,-,1.9597,45.9264,4.8786,20.4763,3.3127,4.7071,19.7614,0.801,-0.3046
2019-12-31,1.2465,-,-,40.526,22.3574,22.3574,-,22.4027,17.2023,0.1916,-,2.0474,43.9571,4.8494,22.1431,3.296,4.8494,19.3804,1.198,0.9682
2019-09-30,1.2316,-,-,43.884,26.983,26.983,-,27.0634,20.4039,0.1968,-,1.8689,48.156,6.0522,28.0683,4.0149,6.0522,19.1954,1.5967,1.4267
2019-06-30,1.2117,-,-,39.0001,20.182,20.182,-,20.1238,15.4998,0.1801,-,1.2001,74.9938,4.2682,19.6161,2.7917,4.2682,18.5615,2.5543,2.0279
2019-03-31,1.1744,-,0.0245,38.0609,20.0968,20.0968,-,20.0787,15.5777,0.1899,-,1.8288,49.212,4.1551,19.0845,2.9583,4.1551,18.4723,0.5387,-0.6378
2018-12-31,1.0664,-,-,41.1601,22.8345,22.8345,-,22.8614,17.6271,0.1959,-,1.9888,45.2534,4.8916,24.4783,3.4532,4.8916,18.0373,0.5885,0.4727
2018-09-30,1.0895,-,-,43.9267,26.2957,26.2957,-,26.3324,21.2846,0.1931,-,1.9365,46.4753,6.105,30.1806,4.1095,6.105,17.7066,1.8924,1.5833
2018-06-30,1.0506,-,-,40.8847,22.4581,22.4581,-,22.3008,17.9336,0.1861,-,1.186,75.8872,5.128,29.3351,3.3366,5.128,17.1417,2.2833,0.7513
2018-03-31,1.2517,0.0791,0.0858,41.5808,24.2501,24.2501,-,24.0886,18.4698,0.1963,-,2.0517,43.867,5.6485,51.3299,3.6259,5.2019,15.8252,0.748,0.6763
