,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,2.5855,0.5384,1.1733,59.4315,34.5372,34.5372,-,31.9469,27.6976,0.1682,0.4714,1.3541,66.4662,15.4893,-118.7023,4.6561,7.1496,19.1378,3.6254,3.248
2020-09-30,2.7188,0.5532,1.2382,59.6676,34.2118,34.2118,-,31.4442,27.334,0.1651,0.4451,1.4954,60.1835,15.2096,-67.3304,4.5079,6.7954,17.867,3.2739,2.9235
2020-06-30,2.7789,0.5641,1.2942,57.4166,31.0469,31.0469,-,27.7522,28.1759,0.1573,0.4741,1.318,68.2842,15.3045,-54.2885,4.4215,6.6711,17.2456,2.8216,2.5608
2020-03-31,2.6121,0.597,1.4811,58.5553,12.3573,12.3573,-,8.09,5.5094,0.161,0.4668,1.2722,70.7417,3.3549,-6.7495,0.8819,1.3522,14.9965,2.8637,2.5834
2019-12-31,2.5476,0.5585,1.2648,58.0233,30.6622,30.6622,-,28.1511,25.2115,0.1632,0.5063,1.2673,71.0146,14.1484,-34.4398,4.1111,6.247,17.1373,2.4739,2.2521
2019-09-30,2.2412,0.5422,1.2778,57.2495,29.0253,29.0253,-,26.285,24.5169,0.1531,0.4818,1.3257,67.8902,12.9271,-30.5661,3.7532,5.9175,16.9818,3.099,2.8956
2019-06-30,2.44,0.5424,1.2785,52.8951,21.3678,21.3678,-,18.3808,17.3108,0.1397,0.4695,1.271,70.8103,8.1162,-19.8503,2.4125,3.7143,16.7907,2.0815,1.7249
2019-03-31,2.612,0.5237,1.1861,55.6238,22.1719,22.1719,-,20.1757,17.5637,0.1194,0.3697,1.1454,78.5756,6.6761,-19.6251,2.0968,3.1799,17.8542,0.9154,0.7595
2018-12-31,3.0256,0.5545,1.4011,63.5449,38.6886,38.6886,-,37.1429,32.9584,0.1998,0.4058,1.7018,52.8863,23.1031,30.4206,6.5849,10.2928,10.5548,1.9035,1.7276
2018-09-30,3.4487,0.5881,1.4278,65.1147,40.6038,40.6038,-,39.1095,36.2168,0.1937,0.3839,1.8154,49.5755,25.2617,33.5031,7.0139,10.4052,10.2392,2.4436,2.3005
2018-06-30,3.7463,0.58,1.3807,64.7136,39.6413,39.6413,-,37.9895,32.5949,0.1898,0.4052,1.6419,54.8138,21.522,27.9802,6.1853,9.0403,10.3847,2.3672,2.2225
2018-03-31,3.7824,0.6425,1.7968,63.9324,37.8404,37.8404,-,35.8352,30.0483,0.1824,0.4289,1.5463,58.2016,22.3977,30.5424,5.4818,8.0083,8.7902,2.2305,2.1358
2017-12-31,3.7324,0.6698,2.0287,64.44,37.5945,37.5945,-,35.5912,-13.7647,0.1805,0.4404,1.3171,68.3334,-10.9592,-15.636,-2.484,-3.6185,7.8255,0.8453,0.7591
