,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-10-31,1.6019,0.4433,0.8224,39.0802,0.5529,0.5529,-,-1.4074,-0.3016,0.2576,0.672,34.6,2.6012,-0.248,-0.248,-0.0777,-0.1381,30.6203,3.9478,3.5126
2020-07-31,2.2167,0.4984,1.0196,36.924,3.4635,3.4635,-,1.1741,1.3795,0.2236,0.7965,16.6195,5.4153,0.9717,0.9717,0.3085,0.4874,30.6139,1.6171,2.6497
2020-04-30,1.8771,0.5005,1.028,26.4003,-29.5717,-29.5717,-,-31.9605,-22.2817,0.153,0.5024,13.954,6.4498,-11.2944,-11.2944,-3.4092,-5.6413,30.3165,0.3442,-0.7078
2020-01-31,1.6789,0.3716,0.6141,35.5972,5.8694,5.8694,-,5.1376,3.8788,0.4694,1.244,455.4667,0.1976,4.8624,4.8624,1.8207,3.0555,34.9359,3.8312,2.7383
2019-10-31,1.4187,0.3732,0.6159,40,4.4108,4.4108,-,3.4811,2.6595,0.2939,0.5678,185,0.4865,2.2969,2.2969,0.7815,1.4398,34.1083,2.4045,0.847
2019-07-31,1.6472,0.3642,0.5947,42.4379,8.4876,8.4876,-,7.2912,5.4402,0.3046,0.6975,276.875,0.3251,4.418,4.418,1.6573,2.8089,34.0938,3.4121,2.1202
2019-04-30,1.6601,0.3614,0.5871,40.9102,2.8872,2.8872,-,1.6149,1.517,0.2825,0.6563,272.4667,0.3303,1.1393,1.1393,0.4286,0.7275,33.5926,0.8395,-0.6296
2019-01-31,1.7711,0.3798,0.6331,36.3037,6.4634,6.4634,-,5.3202,4.0012,0.5472,1.2506,-,-,4.9394,4.9394,2.1894,3.0636,33.908,4.1455,3.4182
2018-10-31,1.5815,0.4107,0.7191,40.5359,5.5748,5.5748,-,4.2135,3.4788,0.3278,0.5681,-,-,2.9525,2.9525,1.1404,1.74,33.0485,2.317,1.4208
2018-07-31,1.8202,0.4098,0.7166,42.9978,9.8906,9.8906,-,8.4683,6.3895,0.3539,0.7293,-,-,5.3217,5.3217,2.2609,3.1408,32.8563,3.9898,2.9067
2018-04-30,1.7608,0.4191,0.7444,40.6844,4.9905,4.9905,-,2.3051,1.7823,0.3258,0.6699,-,-,1.4003,1.4003,0.5807,0.8134,31.881,2.3174,1.521
2018-01-31,1.986,0.4474,0.833,36.2902,8.0346,8.0346,-,6.986,6.6317,0.5271,1.2693,-,-,8.6363,8.6363,3.4954,4.7721,32.256,4.8306,4.1257
2017-10-31,1.6134,0.468,0.9058,40.289,5.6273,5.6273,-,4.007,2.5619,0.3275,0.5887,-,-,2.3297,2.3297,0.8389,1.2394,29.8929,2.9968,2.0767
2017-07-31,1.7918,0.4689,0.9094,42.5484,9.2605,9.2605,-,7.554,4.7327,0.3359,0.6553,-,-,4.1426,4.1426,1.5897,2.2001,29.7101,1.9691,0.8573
2017-04-30,1.7233,0.4717,0.9196,40.2706,4.551,4.551,-,2.6814,1.6236,0.3058,0.6084,-,-,1.3234,1.3234,0.4965,0.6992,29.1637,0.269,-0.9942
2017-01-31,1.7643,0.4639,0.8907,42.6111,6.5833,6.5833,-,5.5417,3.5139,0.5304,1.0888,-,-,4.887,4.887,1.8639,2.6199,29.7529,4.7737,3.7826
2016-10-31,1.6035,0.4682,0.9054,37.1389,6.9563,6.9563,-,5.1999,3.3742,0.3074,0.5761,-,-,2.8588,2.8588,1.0372,1.5204,29.0171,2.5802,1.1426
2016-07-31,1.7677,0.4633,0.8876,39.4548,7.2214,7.2214,-,5.3563,3.3477,0.313,0.6446,-,-,2.6846,2.6846,1.0479,1.4408,28.9722,3.9131,2.997
2016-04-30,1.8342,0.4628,0.8854,35.5488,2.6687,2.6687,-,0.6798,0.428,0.2986,0.6268,-,-,0.3209,0.3209,0.1278,0.1724,28.6324,0.7609,-0.1848
2016-01-31,1.8703,0.4548,0.8574,33.0515,8.4703,8.4703,-,7.2491,4.6344,0.4694,1.0589,-,-,5.3906,5.3906,2.1755,2.9388,29.5215,5.4905,4.8218
2015-10-31,1.5402,0.4571,0.9381,37.1132,6.9573,6.9573,-,4.2693,2.7106,0.2992,0.5299,-,-,2.1922,2.1922,0.8111,1.1901,28.6597,0.3279,-0.6282
2015-07-31,1.7294,0.4482,0.8888,38.9501,9.9367,9.9367,-,4.8981,3.0466,0.2993,0.6127,-,-,2.2899,2.2899,0.9119,1.2635,28.9643,1.2869,0.2445
2015-04-30,1.9089,0.4343,0.7866,36.9391,6.7912,6.7912,-,4.7538,3.0803,0.2853,0.6242,-,-,2.1107,2.1107,0.8787,1.1939,29.7871,0.505,-0.3663
2015-01-31,1.9517,0.4364,0.7925,33.8804,10.3203,10.3203,-,8.979,5.8072,0.4421,1.0986,-,-,6.1425,6.1425,2.5675,3.4622,29.806,5.3403,4.7607
2014-10-31,1.6581,0.4456,0.8224,37.2199,6.9502,6.9502,-,5.0069,3.2465,0.2913,0.5522,57.5526,1.5638,2.4462,2.4462,0.9458,1.3563,28.5961,1.0203,0.0811
2014-07-31,1.884,0.4459,0.8227,38.991,10.6318,10.6318,-,8.628,5.4691,0.3016,0.6638,-,-,3.9938,3.9938,1.6493,2.2131,28.4755,2.7004,1.7222
2014-04-30,1.9429,0.4458,0.8235,36.7568,6.8796,6.8796,-,4.7912,3.0713,0.2884,0.6466,-,-,2.1342,2.1342,0.8856,1.1828,28.1587,0.8606,0.0144
2014-01-31,1.9268,0.4413,0.8131,34.0056,9.9852,9.9852,-,8.5588,5.4763,0.4248,1.039,-,-,5.5872,5.5872,2.3264,3.1215,28.3318,3.9122,3.1226
2013-10-31,1.6443,0.4446,0.8243,37.4888,8.2133,8.2133,-,6.3231,3.9829,0.2915,0.5602,-,-,2.9878,2.9878,1.161,1.6595,27.6822,1.219,0.3651
2013-07-31,1.8196,0.4231,0.7578,39.0767,10.5153,10.5153,-,8.5568,5.3859,0.3042,0.6776,-,-,3.8163,3.8163,1.6386,2.2015,27.7661,2.0647,1.3909
2013-04-30,1.8196,0.4239,0.7535,36.3896,7.5494,7.5494,-,5.5728,3.5008,0.2989,0.6743,-,-,2.4415,2.4415,1.0463,1.4066,27.2443,1.3677,0.7623
2013-01-31,1.8615,0.4238,0.7528,33.3071,10.8343,10.8343,-,9.4622,5.9454,0.456,1.1283,-,-,6.2335,6.2335,2.7113,3.5918,27.2432,2.3461,1.7615
2012-10-31,1.5675,0.4231,0.7498,38.1292,9.4655,9.4655,-,7.6837,4.7884,0.2962,0.5727,-,-,3.5211,3.5211,1.4181,2.0314,26.4329,0.5564,-0.3764
2012-07-31,1.6943,0.4007,0.6839,39.0488,10.868,10.868,-,8.9655,5.7075,0.3035,0.7279,-,-,3.8785,3.8785,1.7321,2.3242,26.3319,0.7331,-0.3394
2012-04-30,1.6715,0.3971,0.6741,35.918,7.5654,7.5654,-,5.6328,3.6295,0.2975,0.7872,-,-,2.4444,2.4444,1.0798,1.4738,26.0331,1.702,0.9796
2012-01-31,1.8523,0.3894,0.6521,36.1748,13.3765,13.3765,-,12.1137,7.5773,0.4254,1.1943,-,-,7.0068,7.0068,3.2231,4.2785,26.3482,3.7572,3.1855
2011-10-31,1.6813,0.3904,0.6551,38.574,9.4835,9.4835,-,7.7697,4.8218,0.2973,0.6508,41.6762,2.1595,3.2607,3.2607,1.4335,1.9878,25.4764,0.9703,-0.1556
2011-07-31,1.7711,0.3297,0.5185,40.678,12.8767,12.8767,-,11.1817,7.0386,0.304,0.8142,-,-,4.2244,4.2244,2.1397,2.8317,26.2148,1.9,0.939
