,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.3908,0.659,2.0154,12.9991,13.4394,13.4394,-,12.8405,10.5214,0.3359,4.18,8.6107,10.4521,29.6787,-23.0334,3.5338,10.1203,21.6416,6.3776,3.818
2020-09-30,1.3348,0.7007,2.5421,12.9494,13.0161,13.0161,-,12.4644,10.294,0.3249,4.3605,6.6512,13.5314,35.1584,-20.3459,3.4526,10.5216,17.8209,6.7113,5.2557
2020-06-30,1.3145,0.7628,3.3476,13.6437,12.8607,12.8607,-,12.0962,10.0247,0.327,3.9781,5.7213,15.7306,42.9477,-16.4742,3.278,10.188,13.5436,7.8231,6.5949
2020-03-31,1.2281,0.7664,3.6389,13.3602,13.5582,13.5582,-,12.9704,10.9705,0.3178,3.8316,5.4118,16.6303,49.24,-16.8004,3.4864,11.5034,12.4343,8.1883,7.1515
2019-12-31,1.2235,0.7824,3.9905,13.3707,13.5345,13.5345,-,11.538,9.4344,0.3341,3.8008,6.7942,13.2466,47.2406,-14.071,3.1518,10.2779,11.325,5.2574,2.9907
2019-09-30,1.2764,0.7627,3.4422,13.5983,13.8752,13.8752,-,11.7395,10.5992,0.3079,3.7732,6.3637,14.1428,40.8433,-15.9161,3.2633,9.6932,13.9575,8.7707,7.6858
2019-06-30,1.1961,0.8136,4.6744,13.8144,13.9184,13.9184,-,11.6656,9.8427,0.3016,3.4548,5.6665,15.8827,49.0332,-12.6447,2.9682,9.1418,10.255,5.8835,5.0051
2019-03-31,1.1706,0.8335,5.5198,15.2623,15.9249,15.9249,-,13.5672,11.8862,0.3006,3.698,5.0604,17.7853,67.5654,-14.599,3.5735,11.2527,8.9262,5.8495,4.8505
2018-12-31,1.1184,0.8969,9.7336,13.4758,12.8444,12.8444,-,10.2908,8.6947,0.3211,4.1605,5.8965,15.2633,86.4734,-9.7784,2.7921,8.9162,5.1566,7.729,6.1296
2018-09-30,1.1089,0.9308,14.6966,13.4167,13.71,13.71,-,11.0001,10.2878,0.3147,4.0646,5.9263,15.1865,147.006,-11.0288,3.2377,10.167,3.5229,1.2619,0.0772
