,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.3289,0.3385,0.5117,83.3333,-30.4136,-30.4136,-,-41.4842,-41.1192,0.0458,1.8026,1.1004,81.7883,-3.2005,-3.2005,-1.8824,-2.1171,13.3853,0.5244,0.2197
2020-09-30,1.2273,0.3317,0.5421,83.0486,-31.8003,-31.8003,-,-40.7359,-41.6557,0.0408,1.6753,1.1835,76.0447,-2.9104,-2.9104,-1.6985,-1.9451,13.7873,0.4367,0.2583
2020-06-30,1.3192,0.33,0.4924,73.6735,-143.4694,-143.4694,-,-156.1225,-153.0612,0.0264,1.6753,0.7903,113.8775,-6.7114,-6.7114,-4.0394,-4.4969,14.1456,0.0158,-0.3767
2020-03-31,1.3239,0.3151,0.4601,84.375,1.4648,1.4648,-,-4.7852,-4.4922,0.0519,2.0513,1.4566,61.7871,-0.3847,-0.3847,-0.2333,-0.2635,15.1176,0.8829,0.1045
2019-12-31,1.2235,0.3116,0.4526,86.2936,5.9205,5.9205,-,-0.2433,-1.6221,0.0609,2.3472,1.0989,81.8978,-0.1646,-0.1659,-0.0988,-0.1133,15.2676,0.8421,0.1066
2019-09-30,1.0593,0.2855,0.4485,86.9496,18.9752,18.9752,-,14.0112,13.2106,0.0613,2.2958,1.088,82.7222,1.3446,1.3551,0.8099,0.9608,15.3196,0.9399,-0.1081
2019-06-30,1.0878,0.2883,0.4547,86.0246,18.4649,18.4649,-,13.9754,11.6582,0.0649,2.6806,1.2072,74.5547,1.3305,1.341,0.7565,0.9469,15.051,0.9838,0.2868
2019-03-31,1.4941,0.3106,0.4506,84.4167,5.9167,5.9167,-,2.25,14.5,0.056,2.253,1.105,81.45,1.4253,1.4367,0.8127,0.9826,14.8878,0.628,-0.089
2018-12-31,1.5944,0.312,0.4534,85.1449,33.8406,33.8406,-,29.4203,28.2609,0.0647,2.1354,1.279,70.3696,3.2157,3.2416,1.8292,2.2125,14.8083,1.0161,0.3522
2018-09-30,1.4309,0.3134,0.4565,86.0208,27.5033,27.5033,-,23.212,16.515,0.0706,1.9545,1.1521,78.1209,2.1089,2.1261,1.1663,1.448,14.3723,1.146,0.3089
