,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-11-30,2.9059,0.1374,0.1661,30.071,15.0009,15.0009,-,14.5678,13.9096,0.1075,0.7312,1.5641,57.542,2.0122,2.0943,1.4956,1.7357,35.727,1.733,-0.6793
2020-08-31,2.7076,0.1405,0.1704,34.148,19.105,19.105,-,18.5766,16.3144,0.1128,0.7113,1.5481,58.1374,2.5387,2.6447,1.8443,2.1821,35.0368,1.9985,-0.0081
2020-05-31,2.8939,0.1439,0.1768,32.42,16.3295,16.3295,-,15.9985,14.7665,0.1046,0.6799,1.5093,59.6304,2.1285,2.2201,1.5479,1.8223,34.0108,1.8044,0.07
2020-02-29,2.7441,0.1229,0.1465,28.2468,9.1724,9.1724,-,8.9014,8.4428,0.0966,0.6609,1.5733,57.2045,1.0993,1.1477,0.8198,0.9642,33.2941,1.7598,-0.0487
2019-11-30,2.5593,0.1244,0.1548,26.5552,10.07,10.07,-,10.9059,9.5451,0.1036,0.7643,1.5045,59.8192,1.3918,1.454,1.0232,1.2186,32.9422,1.7812,0.0602
2019-08-31,2.5826,0.1099,0.1591,28.6448,13.347,13.347,-,13.4497,11.5195,0.0996,0.679,1.5243,59.0452,1.5937,1.6647,1.1987,1.4185,33.2459,1.8347,0.1446
2019-05-31,2.7916,0.0897,0.1357,38.1788,21.0944,21.0944,-,14.9541,17.5439,0.1034,0.6035,1.4701,61.2218,2.3515,2.4579,1.8385,2.1407,32.7808,2.4781,0.2998
2019-02-28,2.2483,0.0924,0.1761,49.0831,33.539,33.539,-,32.6307,27.7464,0.1229,0.6768,1.3213,68.1131,4.5865,4.8003,3.422,4.1628,32.0344,3.129,0.7408
2018-11-30,2.8982,0.0971,0.119,58.3218,47.5041,47.5041,-,47.681,41.6151,0.1774,0.8509,1.4605,61.6227,9.4879,9.9412,7.391,8.5666,31.017,4.0971,1.7973
2018-08-31,2.7875,0.1023,0.1399,61.0308,51.8602,51.8602,-,51.4929,51.2441,0.1946,0.9149,1.5407,58.4147,13.0443,13.6877,9.9733,11.7096,28.565,4.2429,2.3851
2018-05-31,2.6345,0.1665,0.249,60.5746,50.699,50.699,-,47.6594,49.0317,0.1863,0.9124,1.5873,56.6987,12.9514,13.6751,9.1361,10.7955,25.4466,3.4659,1.5054
2018-02-28,2.5813,0.2273,0.3512,58.0873,48.524,48.524,-,46.9732,45.0143,0.1781,0.9677,1.6568,54.3232,12.4633,13.2493,8.0241,9.63,22.9413,3.4809,1.6714
2017-11-30,2.3926,0.2467,0.3874,55.0786,45.524,45.524,-,41.0407,39.365,0.1829,0.9671,1.7552,51.2774,11.4479,12.2861,7.2007,8.6234,20.2012,2.9682,1.3714
2017-08-31,2.3354,0.3369,0.5729,50.7006,40.7625,40.7625,-,37.8136,38.5793,0.1737,0.9689,1.6329,55.1173,12.1674,13.268,6.7042,8.068,17.509,2.8594,1.7044
2017-05-31,2.1433,0.3818,0.6858,46.8739,35.2677,35.2677,-,31.2073,29.5904,0.1673,0.9651,1.5917,56.5451,9.6774,10.7045,4.9509,5.9828,15.3324,2.0134,1.1592
2017-02-28,1.9099,0.4282,0.8228,36.6609,22.4613,22.4613,-,19.901,19.2341,0.1437,0.9813,1.6077,55.9789,5.9068,6.6124,2.7631,3.3773,13.6845,1.1491,0.2146
2016-11-30,1.7137,0.3929,0.7348,25.466,9.0428,9.0428,-,5.3652,4.534,0.1426,1.076,1.6184,55.6096,1.367,1.4148,0.6466,0.8299,11.9927,1.0431,-0.1155
2016-08-31,1.9638,0.4145,0.7666,17.9981,-0.9947,-0.9947,-,-5.2223,-5.2844,0.1168,0.9131,1.5556,57.8552,-1.315,-1.3754,-0.6173,-0.7699,12.4308,0.8648,-0.9914
2016-05-31,2.2467,0.4063,0.7389,17.1843,-0.9317,-0.9317,-,-5.521,-7.4189,0.1073,0.8219,1.398,64.3789,-1.6495,-1.7141,-0.7963,-0.9794,12.569,0.3755,-1.2509
