,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,0.4745,0.4828,1.0704,80.0683,21.4107,21.4107,-,-5.1422,-0.1365,0.0344,0.5644,1.4778,60.901,-0.4251,-0.4696,-0.1496,-0.2199,22.923,0.6868,-0.0858
2020-09-30,0.5745,0.5043,1.1482,76.7816,21.0658,21.0658,-,26.1651,25.6844,0.0379,0.7857,1.4602,61.6364,2.6699,2.9671,0.8886,1.3234,21.4602,1.4404,0.6135
2020-06-30,0.6131,0.5065,1.1195,82.6118,28.2112,28.2112,-,31.256,30.3283,0.0345,0.5347,1.4663,61.3773,2.7156,3.0219,0.9257,1.3402,21.2112,0.9646,0.8068
2020-03-31,0.7087,0.5015,1.1549,82.2025,42.9439,42.9439,-,1.5825,9.1264,0.0382,0.5988,1.76,51.1359,0.7535,0.8398,0.2553,0.3757,20.8972,0.963,-0.7067
2019-12-31,0.5348,0.4758,1.0296,76.9784,19.1411,19.1411,-,22.6074,21.2775,0.039,0.7952,1.6341,55.0752,2.043,2.2742,0.718,1.0709,21.1452,0.9881,-0.0482
2019-09-30,0.5768,0.4736,1.0402,77.2793,28.5894,28.5894,-,15.3625,15.7753,0.0488,0.8725,1.6733,53.7868,1.9864,2.2139,0.6986,1.0456,20.5389,1.5125,0.7876
2019-06-30,0.5184,0.4691,1.0856,78.3903,35.1509,35.1509,-,25.4125,24.829,0.045,0.7526,1.5924,56.5171,2.9641,3.2608,1.0303,1.5738,20.0553,0.8702,1.2522
2019-03-31,0.4587,0.4413,1.0627,76.2699,27.8528,27.8528,-,16.6871,16.6871,0.0374,0.6858,1.3702,65.6834,1.6015,1.7641,0.5558,0.8948,19.7495,0.8287,-2.8186
2018-12-31,0.364,0.4172,1.008,78.6837,25.2107,25.2107,-,6.5816,9.5878,0.0423,0.7653,1.4789,60.854,0.8393,0.8598,0.3028,0.4891,19.5675,0.7163,0.63
2018-09-30,0.6519,0.4201,0.8728,75.4755,21.9203,21.9203,-,24.1395,22.7582,0.0448,1,1.4158,63.5666,2.5202,2.5202,0.9543,1.4615,19.5282,1.1947,1.9975
