,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,2.5245,0.2022,0.2811,59.9231,27.2109,27.2109,-,27.625,24.3715,0.0817,1.4071,7.5301,11.9521,3.1285,3.5399,1.8033,2.4958,29.8063,2.0918,1.598
2020-09-30,2.8339,0.2036,0.2832,59.9685,31.4827,31.4827,-,27.7603,26.4669,0.0782,1.2909,9.784,9.1987,2.6636,3.0184,1.5487,2.1214,29.3246,1.9777,1.6114
2020-06-30,2.8108,0.2082,0.2913,55.2643,18.2241,18.2241,-,23.2558,14.5455,0.0593,1.1009,9.2745,9.704,1.81,2.0588,1.0405,1.4332,28.5529,0.8306,0.4808
2020-03-31,3.3069,0.224,0.2964,48.3921,17.7063,17.7063,-,30.1821,31.8481,0.065,1.3718,11.7318,7.6714,3.6903,4.2009,2.1134,2.8639,28.3479,1.157,0.7515
2019-12-31,2.6298,0.2314,0.3055,50.8258,17.4924,17.4924,-,20.8965,19.0428,0.0742,1.4389,7.9544,11.3145,2.3827,2.7061,1.3334,1.8314,27.6856,1.868,1.1397
2019-09-30,2.1823,0.231,0.3326,48.6915,16.8817,16.8817,-,102.3959,80.2801,0.0666,1.2632,7.0836,12.7055,10.0379,11.634,5.5246,7.7192,27.3598,0.8879,0.4189
2019-06-30,1.8274,0.2296,0.3332,39.4772,0.5317,0.5317,-,0.8861,-1.1077,0.061,1.1909,6.8394,13.1591,0.1279,0.1431,0.0703,0.0986,24.7866,0.0635,-0.3028
2019-03-31,2.9736,0.2433,0.3812,45.7571,15.9734,15.9734,-,15.2524,4.8253,0.0864,1.5426,6.2388,14.426,1.2641,1.2641,0.6944,0.9565,21.4813,1.0693,0.6479
2018-12-31,2.953,0.2394,0.3717,46.0938,18.2617,18.2617,-,13.5742,0.0977,0.0989,1.7524,8.063,11.1621,0.0872,0.0877,0.0483,0.0663,21.5103,1.3832,0.8804
2018-09-30,4.6955,0.2649,0.362,42.3523,-6.6049,-6.6049,-,-7.416,-8.4009,0.084,1.3955,6.3456,14.1831,-1.2096,-1.2096,-0.681,-0.8892,21.7148,0.7944,0.2822
