,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,0.728,0.6123,1.6695,73.9554,18.0099,18.0099,-,11.9405,5.8381,0.0549,0.7863,1.4672,61.3427,1.7709,2.0175,0.3984,0.5831,14.9015,0.6357,2.3315
2020-09-30,0.8184,0.6293,1.9574,84.1441,10.2826,10.2826,-,-26.349,-20.687,0.0398,0.3609,1.6535,54.4288,-3.8043,-4.3894,-0.7616,-1.1815,14.16,0.3917,-0.8388
2020-06-30,0.886,0.6088,1.7643,80.4301,9.5253,9.5253,-,0.1246,-1.9217,0.0429,0.6042,1.7081,52.6893,-0.0983,-0.1126,-0.0209,-0.0325,14.786,0.8824,-0.077
2020-03-31,0.775,0.5766,1.7195,71.199,9.2308,9.2308,-,3.7808,3.8493,0.0711,1.8205,2.1251,42.3513,1.5551,1.7765,0.3346,0.5576,15.0026,0.963,-0.214
2019-12-31,0.4949,0.5675,1.6107,71.0636,-2.7198,-2.7198,-,-9.791,-10.9505,0.0617,0.952,1.5432,58.3209,-2.7278,-3.095,-0.6147,-1.0063,15.6664,0.9182,-0.3726
2019-09-30,0.4127,0.5732,1.6209,78.8835,9.7692,9.7692,-,-0.3865,-0.7729,0.0421,0.4384,1.6354,55.0338,0.1328,0.1673,0.0298,0.0482,15.6609,0.8241,-0.4294
2019-06-30,0.4138,0.5433,1.5397,74.9109,45.8729,45.8729,-,36.5301,28.0186,0.046,0.7957,1.1083,81.2084,5.8259,7.2943,1.3511,2.2689,16.0113,1.4035,0.0992
2019-03-31,0.4771,0.5516,1.599,63.6164,20.0129,20.0129,-,14.8626,10.9691,0.0854,3.1539,1.5527,57.9624,4.4677,5.655,1,1.6983,15.4948,1.0651,0.1212
2018-12-31,0.5092,0.5527,1.588,65.6838,-5.3636,-5.3636,-,-11.3156,-1.3546,0.067,1.1872,1.2745,70.6171,-0.2402,-0.3047,-0.0537,-0.091,15.4443,-1.033,-2.565
2018-09-30,0.4014,0.583,1.7254,75.1955,-35.2961,-35.2961,-,-48.4916,-38.5587,0.0432,0.4755,1.6645,54.0704,-7.2546,-10.7454,-1.6401,-2.7901,13.9707,0.269,-0.9503
2018-06-30,0.5139,0.5649,1.5175,68.8878,11.7577,11.7577,-,2.9791,2.3039,0.0496,0.9311,1.639,54.9116,0.4834,0.6909,0.1206,0.1951,15.0531,1.1339,-0.1185
