,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.0853,0.0425,0.0471,85.0507,16.4053,16.4053,-,16.5655,11.0343,0.0847,28.6968,11.2861,7.9744,3.7165,4.0359,0.9343,3.5585,11.3553,0.9014,0.5504
2020-09-30,1.0925,0.0446,0.0495,84.2713,17.3183,17.3183,-,17.4435,13.9835,0.0791,33.4545,9.084,9.9075,4.3457,4.7341,1.1058,4.1517,10.9782,1.1507,0.788
2020-06-30,1.1099,0.0487,0.0542,83.7224,14.6354,14.6354,-,14.723,15.7368,0.0945,21.4811,13.3334,6.75,4.8799,5.3541,1.4878,4.6423,10.1732,0.4424,-0.0181
2020-03-31,1.1026,0.0483,0.0537,87.6032,36.8299,36.8299,-,36.4396,25.9997,0.1049,32.3075,30.0742,2.9926,10.5062,11.5012,2.7282,9.999,10.409,1.4037,0.9634
2019-12-31,1.0671,0.0554,0.062,85.1103,31.1744,31.1743,-,31.6009,23.4912,0.0778,24.8687,14.5224,6.1973,8.6171,9.5589,1.8248,8.1401,9.1333,0.8186,0.4447
2019-09-30,1.1029,0.0618,0.0696,84.9194,28.8882,28.8882,-,28.851,22.3718,0.1099,37.7029,14.4383,6.2334,8.2443,9.2556,2.4593,7.7346,8.2366,0.92,0.2966
2019-06-30,1.0722,0.068,0.0771,85.0933,31.2356,31.2356,-,30.9279,28.768,0.0927,32.9061,12.5743,7.1575,11.2158,12.7358,2.6701,10.453,7.5442,0.7227,0.3839
2019-03-31,1.0443,0.0747,0.0852,85.3368,31.2529,31.2529,-,31.0649,23.6477,0.0969,32.2176,52.1364,1.7262,11.8634,13.6392,2.2921,10.9771,6.9378,1.3791,1.1238
2018-12-31,1.0349,0.0888,0.1027,83.9675,28.8781,28.8781,-,28.4031,20.8964,0.0988,30.2409,20.3812,4.4158,9.3842,11.1057,2.0641,8.5511,5.8445,0.6636,0.397
2018-09-30,1.0829,0.084,0.0966,83.4006,27.193,27.193,-,27.3423,21.5841,0.0908,38.5453,15.3753,5.8536,7.983,9.35,1.9595,7.3124,6.2425,0.7905,0.5773
