,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,-,0.4616,0.8575,-,-89.8523,-89.8523,-,73.2709,-115.71,-0.0079,-,-,-,-1.5998,-1.7217,-0.7381,-0.8613,13.6414,0.4256,-0.1647
2020-09-30,-,0.4628,0.8614,-,8.5355,8.5355,-,-2.6645,-10.6682,0.0379,-,-,-,-0.8045,-0.8629,-0.3782,-0.4322,13.7573,0.4087,0.0264
2020-06-30,-,0.4674,0.8774,-,7.7687,7.7687,-,11.0103,8.6892,0.0361,-,-,-,0.7178,0.7719,0.3374,0.3824,14.2457,0.4094,-0.2256
2020-03-31,-,0.4499,0.8177,-,-9.6486,-9.6486,-,44.6851,47.4176,0.0364,-,-,-,3.6161,3.8901,1.7579,1.9894,14.5195,0.1845,0.5533
2019-12-31,-,0.4737,0.9002,-,-51.4868,-51.4868,-,-73.3023,-19.169,-0.0161,-,-,-,2.4412,2.5403,1.1599,1.2847,13.1971,0.4493,-0.4006
2019-09-30,-,0.5029,1.0118,-,10.3002,10.3002,-,-7.6075,-8.5969,0.0384,-,-,-,-0.6486,-0.6802,-0.302,-0.3224,13.1826,0.4848,-0.6593
2019-06-30,-,0.4873,0.9503,-,3.109,3.109,-,-2.1031,-2.8462,0.0358,-,-,-,-0.1508,-0.1584,-0.0728,-0.0773,13.4782,0.4639,-1.3798
2019-03-31,-,0.4739,0.9007,-,23.0526,23.0526,-,14.3057,13.9925,0.0338,-,-,-,1.0156,1.0613,0.5038,0.5343,13.3892,0.331,0.08
2018-12-31,-,0.4609,0.8549,-,26.1041,26.1041,-,-287.6378,-388.9229,-0.0168,-,-,-,9.1842,9.6355,4.7028,4.9512,13.6391,0.439,2.7224
2018-09-30,-,0.5465,1.2053,-,23.9806,23.9806,-,21.6893,21.6976,0.0349,-,-,-,1.8248,1.9294,0.7867,0.8275,12.0029,0.4107,0.3311
