,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-09-30,0.9251,0.7359,3.2785,54.9168,16.6436,16.6436,-,15.6597,12.6638,0.1966,1.9724,1.9463,46.2412,16.9695,-9.5354,2.5065,4.4819,9.8301,3.3555,2.7221
2020-06-30,0.9732,0.753,3.5734,55.5472,14.5437,14.5437,-,13.5967,10.323,0.1781,1.643,1.8161,49.5579,13.1723,-6.8363,1.852,3.2537,9.0881,1.586,1.0893
2020-03-31,1.0992,0.7228,3.0417,55.8605,13.8607,13.8607,-,12.3262,9.6391,0.1632,1.7019,1.6375,54.9622,9.9639,-7.5538,1.5883,2.7617,9.7617,-0.5365,-0.8797
2019-12-31,0.8624,0.6622,2.1568,54.719,13.0766,13.0766,-,10.6977,8.5562,0.2628,2.7999,2.6387,34.1076,11.9586,-10.662,2.2636,4.0394,10.6887,3.2543,1.7168
2019-09-30,0.9537,0.6757,2.2887,55.2362,16.6104,16.6104,-,15.5283,12.2178,0.2219,2.0982,1.9677,45.7383,14.8341,-12.466,2.7245,4.8114,10.1891,2.6185,2.0674
2019-06-30,0.8637,0.6638,2.2216,54.9881,16.5907,16.5907,-,15.6058,12.3716,0.2191,1.8566,1.9347,46.5183,14.5544,-11.8945,2.721,4.8935,10.0336,1.2293,0.7423
2019-03-31,0.9386,0.6656,2.2208,55.8522,15.5852,15.5852,-,14.4986,10.9671,0.1707,1.6005,1.6944,53.1171,9.9468,-8.5539,1.8843,3.326,10.1823,-0.2442,-0.5556
2018-12-31,0.9889,0.6596,2.2135,54.2307,12.4513,12.4513,-,9.9109,35.0953,0.2514,2.8568,2.7337,32.9226,47.0278,-42.8358,8.8438,16.0081,10.3634,3.284,2.0994
2018-09-30,1.3115,0.7468,3.3802,54.3403,17.2521,17.2521,-,16.3603,15.1532,0.2239,2.3956,2.0671,43.5396,24.1506,-14.4121,3.4075,6.1147,7.3576,2.5607,2.1688
2018-06-30,1.2367,0.7498,3.9715,54.8602,18.8191,18.8191,-,18.0236,11.3114,0.2044,2.0805,2.052,43.8589,17.9043,-10.1667,2.3244,4.4788,7.2233,1.6777,1.2849
2018-03-31,1.2767,0.744,3.9628,54.9833,14.3847,14.3847,-,13.1906,10.691,0.1534,1.6957,1.7518,51.3764,12.3168,-7.6644,1.6523,3.1527,7.7414,-0.9154,-1.1552
2017-12-31,1.5134,0.7548,3.5772,53.503,13.1619,13.1619,-,11.9379,-3.6362,0.2447,3.0808,2.7799,32.3753,-6.2405,3.9486,-0.8709,-1.5521,7.7331,2.742,1.7705
2017-09-30,1.3506,0.7011,2.9207,54.6305,18.0049,18.0049,-,17.0936,13.202,0.207,2.2664,2.0497,43.9083,15.8927,-14.2085,2.7478,4.8057,9.4245,2.6709,2.2914
2017-06-30,1.3227,0.7135,3.1512,55.0668,18.5805,18.5805,-,17.6575,13.3991,0.2042,1.9543,2.0827,43.2126,16.6995,-13.3603,2.7527,4.8428,8.7868,1.6961,1.3194
2017-03-31,1.2544,0.7203,3.3089,56.0959,15.4619,15.4619,-,14.2833,10.9387,0.1615,1.6118,1.7595,51.1511,11.2285,-8.0555,1.781,3.1822,8.1699,-0.134,-0.3458
2016-12-31,1.2515,0.7285,3.299,54.102,12.2982,12.2982,-,9.3825,7.1791,0.2655,3.2894,2.9153,30.8716,12.4846,-8.5034,1.9282,3.435,7.8424,2.644,1.6564
2016-09-30,1.3162,0.6975,2.7997,54.5517,17.6016,17.6016,-,16.2476,12.429,0.2169,2.3346,2.0693,43.4922,15.5759,-13.3984,2.7119,4.7669,8.8565,2.5658,2.1268
2016-06-30,1.4019,0.7137,2.8782,55.6349,19.253,19.253,-,17.7395,13.0237,0.2117,1.9587,2.054,43.8162,16.0744,-13.0978,2.7685,4.6572,8.5885,1.9249,1.5754
2016-03-31,1.423,0.7345,3.124,56.5756,13.6486,13.6486,-,11.6928,7.8486,0.1694,1.6002,1.7686,50.8877,8.3062,-5.9248,1.3496,2.2341,7.7669,0.209,-0.0404
2015-12-31,1.3102,0.7083,2.7668,54.3341,12.0527,12.0527,-,10.4977,9.244,0.2668,3.1202,2.8872,31.1719,14.2341,-11.3804,2.4875,4.2019,8.308,2.7474,1.8921
2015-09-30,1.1963,0.6596,2.345,54.1363,8.6706,8.6706,-,7.3051,3.2637,0.2336,2.3976,2.1303,42.2473,3.9571,-3.8183,0.7768,1.361,9.288,2.7166,2.3132
