,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.4072,0.4707,0.9887,43.0397,13.5214,13.5214,-,9.1829,7.2398,0.1921,1.2334,1.3782,65.3021,4.7807,-16.9719,1.4216,2.5305,24.5684,4.0605,3.4973
2020-09-30,1.5179,0.4709,1.0146,45.0204,16.2551,16.2551,-,15.5224,11.9946,0.2014,1.2117,1.2962,69.4356,8.2596,-48.4324,2.4481,4.3699,22.9632,3.5376,3.2102
2020-06-30,1.3521,0.483,1.276,43.5158,5.7048,5.7048,-,4.1791,3.3831,0.1659,0.9982,1.1279,79.7911,1.9644,-7.5486,0.5338,1.0156,20.9258,2.0241,1.7926
2020-03-31,1.3602,0.4955,1.2832,43.5002,9.6832,9.6832,-,9.4463,7.1957,0.1869,1.0264,1.2044,74.7291,5.1271,-18.7311,1.3729,2.5866,20.5025,-0.6689,-0.8246
2019-12-31,1.4103,0.4565,0.935,42.5109,11.5196,11.5196,-,10.8388,7.9521,0.2074,1.2345,1.3324,67.549,5.608,-25.2922,1.7111,3.0477,22.9252,3.4031,2.6084
2019-09-30,1.4891,0.4771,1.0316,42.9953,13.4867,13.4867,-,12.5719,9.5923,0.2118,1.1726,1.2635,71.2284,6.9468,-34.9953,2.0593,3.6328,22.6463,3.3064,2.9254
2019-06-30,1.4252,0.483,1.0602,43.1412,9.667,9.667,-,9.0209,6.7594,0.2241,1.1764,1.2077,74.5229,5.3403,-22.9685,1.5427,2.7612,21.9516,2.3,1.9393
2019-03-31,1.3969,0.4801,1.0537,42.798,12.1965,12.1965,-,11.5618,8.6093,0.2086,1.055,1.1336,79.3957,6.3273,-28.4816,1.8249,3.2897,21.2234,-0.2773,-0.4748
2018-12-31,1.3631,0.4798,1.06,39.9726,10.2881,10.2881,-,9.3827,7.0782,0.2276,1.2271,1.2812,70.2469,5.4734,-19.771,1.6172,2.8471,20.0627,3.2399,2.4929
2018-09-30,1.714,0.4973,0.9921,40.9746,12.4967,12.4967,-,11.8156,9.9031,0.2283,1.1483,1.1865,75.8528,7.3257,-43.0058,2.2251,3.6828,21.1685,2.2064,1.7575
2018-06-30,1.6998,0.5032,1.0175,42.411,11.7405,11.7405,-,11.5953,8.9809,0.246,1.2163,1.2016,74.902,7.5256,-40.6284,2.2329,3.7384,20.5894,1.4386,1.2581
2018-03-31,1.7643,0.4874,0.9545,42.3169,12.1397,12.1397,-,11.1346,8.8336,0.2155,1.1111,1.131,79.5742,6.1094,-43.6601,1.9038,3.1314,22.4541,-0.9069,-1.2053
