,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.0601,2.1676,-2.0137,69.6403,13.5345,13.5345,-,11.9759,9.2186,0.2252,1.3925,7.6007,11.8411,-7.872,-5.1349,2.0762,9.1912,-6.7142,1.5517,1.2777
2020-09-30,1.0626,2.1369,-2.0961,68.1321,9.0019,9.0019,-,7.1319,6.3291,0.2112,1.2742,7.0218,12.8171,-5.035,-3.2866,1.3369,5.7243,-6.6474,1.2603,0.9792
2020-06-30,0.9474,2.4323,-1.9517,64.8516,-16.6718,-16.6718,-,-19.2321,-16.0678,0.1449,0.937,4.7919,18.7819,7.8627,5.3251,-2.327,-11.2617,-7.3781,-0.3104,-0.6425
2020-03-31,0.6956,2.8258,-1.8605,66.6811,8.1292,8.1292,-,6.508,5.4773,0.2182,1.3388,6.3716,14.1251,-4.3118,-2.775,1.182,7.8724,-6.4488,-1.1395,-1.4507
2019-12-31,0.68,2.7357,-1.7236,68.4885,17.1873,17.1873,-,16.1164,12.4798,0.2559,1.5876,7.8153,11.5158,-13.0979,-8.0379,3.1924,22.7344,-5.7549,1.5416,1.2106
2019-09-30,0.9165,2.2624,-1.7922,68.2896,16.0545,16.0546,-,14.8777,11.8957,0.351,1.3989,7.674,11.7279,-12.8743,-7.6374,4.1739,16.252,-5.26,0.872,0.4542
2019-06-30,1.3119,1.6314,-2.5837,67.762,16.4341,16.4341,-,24.5772,20.1202,0.3265,1.4498,8.6302,10.4286,-31.7944,-15.7172,6.5721,20.0757,-3.5798,1.0063,0.6352
2019-03-31,0.9391,2.2262,-1.8304,68.0934,13.6015,13.6015,-,13.0037,10.5171,0.3574,1.3943,8.9623,10.042,-13.0839,-6.8934,3.7343,16.0436,-4.1613,0.3163,-0.0157
2018-12-31,1.4143,1.4605,-3.1717,67.1959,15.3135,15.3135,-,14.5567,11.4674,0.3319,1.6062,9.1942,9.7888,-26.4138,-10.247,3.8056,12.1627,-2.3155,1.898,1.5539
2018-09-30,2.1981,0.8855,8.0287,94.2748,15.1736,15.1737,-,14.7802,11.985,0.261,0.2577,9.0949,9.8956,64.3052,-22.186,3.13,7.3651,0.8982,6.0361,5.6328
2018-06-30,1.0057,0.6061,1.7011,59.536,16.4525,16.4525,-,16.2718,13.5097,0.3673,1.8404,7.3822,12.1915,21.3176,-110.1059,4.9586,8.3976,2.9252,0.8969,0.5205
2018-03-31,1.0906,0.5673,1.3852,58.3093,12.8071,12.8071,-,13.5217,10.9437,0.3436,1.8277,6.9363,12.9752,13.9856,-216.897,3.7588,6.0517,3.4127,0.3486,0.0103
2017-12-31,1.0062,0.4423,0.8537,58.8109,18.376,18.376,-,49.4904,37.0483,0.328,1.905,7.1304,12.622,39.0717,268.5403,12.1506,21.7919,4.0913,1.2784,0.9792
2017-09-30,1.2518,0.4188,0.7207,93.3227,17.9437,17.9437,-,20.2127,13.8372,0.3967,0.279,6.5469,13.747,14.464,22.7045,5.4944,8.4061,3.8118,0.7446,0.4076
2017-06-30,1.3683,0.4022,0.6728,60.2738,18.4439,18.4439,-,18.5887,12.2158,0.3898,1.657,7.1565,12.576,11.8181,17.9764,4.7601,7.0649,4.0461,0.8049,0.5378
2017-03-31,1.2298,0.4127,0.707,59.5542,17.6691,17.6691,-,18.5191,12.3309,0.3721,1.6177,6.6928,13.4473,11.6335,18.6094,4.5882,6.8328,3.8761,0.3194,0.0929
2016-12-31,1.0498,0.3544,0.549,59.9679,19.7562,19.7562,-,19.7614,13.1138,0.409,1.8832,6.6269,13.5811,12.95,20.1286,5.3612,8.3604,3.9824,1.0403,0.8313
2016-09-30,1.0464,0.351,0.6086,60.5652,21.4911,21.4911,-,21.2775,14.0233,0.399,1.6338,7.4287,12.1151,13.6096,21.9355,5.6014,8.8332,4.0333,0.9516,0.6789
2016-06-30,1.1439,0.3588,0.6293,60.6663,19.517,19.517,-,20.4926,14.3967,0.3787,1.5548,7.0092,12.8402,13.1813,21.6053,5.4543,8.4525,3.9034,0.7383,0.4713
2016-03-31,0.8925,0.3244,0.588,59.7392,17.3075,17.3075,-,17.2314,11.5177,0.3988,1.5546,6.714,13.4048,11.2825,19.4506,4.5929,7.622,3.48,0.3818,0.1734
2015-12-31,1.0696,0.2456,0.3924,59.3152,19.6892,19.6892,-,19.5329,12.7961,0.4152,1.7594,7.0297,12.8028,11.4935,17.6243,5.3131,8.6707,4.0276,1.0883,0.8676
2015-09-30,1.0885,0.2874,0.4034,59.6606,19.724,19.7241,-,18.2429,13.2803,0.3958,1.5176,6.8356,13.1664,11.2152,17.5269,5.2568,7.9916,3.9188,0.6437,0.4106
2015-06-30,1.1757,0.2861,0.4945,59.9709,19.2289,19.2289,-,19.36,12.8391,0.3793,1.6757,7.2561,12.4033,10.6942,16.6097,4.8684,7.6349,3.9296,0.5142,0.2917
