,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,0.3734,0.1956,0.2432,100,41.3793,41.3793,-,35.3448,25.1437,0.0076,-,0.0648,1388.793,2.3486,3.3268,0.2067,1.6286,29.8094,9.7247,9.6443
2020-09-30,0.2756,0.2001,0.2501,100,40.768,40.768,-,36.3154,25.1226,0.0058,-,0.0962,935.3309,2.6776,2.4633,0.1664,1.7821,24.2985,-0.0619,-0.1623
2020-06-30,0.302,0.2167,0.2767,100,41.7959,41.7959,-,36.2449,25.3469,0.0061,-,0.1144,786.8939,2.626,2.4133,0.1675,1.7056,23.9157,-12.7071,-12.8454
2020-03-31,0.4205,0.2449,0.3244,100,44.2491,44.2491,-,40.0076,28.9263,0.0071,-,0.1377,653.4543,3.3863,3.1745,0.2144,2.285,20.4067,7.8192,7.6986
2019-12-31,0.3391,0.2547,0.3417,100,46.5464,46.5464,-,42.6708,30.7368,0.0089,-,0.1197,751.7383,4.4956,4.1785,0.2898,2.9203,14.8256,3.2257,3.083
2019-09-30,0.3045,0.2581,0.3478,100,48.6905,48.6905,-,45.592,33.6776,0.0097,-,0.1211,743.1722,5.1236,4.725,0.3409,3.3043,16.5672,4.1237,3.9618
2019-06-30,0.3127,0.2583,0.3482,100,49.9814,49.9814,-,46.1022,33.0847,0.0097,-,0.1225,734.8713,5.0575,4.6633,0.3391,3.2598,16.2934,1.6458,1.5174
2019-03-31,0.3328,0.24,0.3158,100,49.8715,49.8715,-,46.4194,33.9699,0.0096,-,0.1288,698.8799,5.1189,4.726,0.3409,3.3879,16.2058,-1.9308,-2.0342
2018-12-31,0.2966,0.2497,0.3328,100,49.5317,49.5317,-,45.3353,33.1585,0.009,-,0.1233,730.0824,5.2302,4.8089,0.3154,3.3941,15.5131,5.7393,5.6138
2018-09-30,0.2876,0.2175,0.2779,100,52.2296,52.2296,-,47.2664,34.3156,0.0095,-,0.1111,809.9302,5.1161,4.7075,0.3392,3.4668,15.4128,0.9348,0.827
