,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,0.8198,0.4618,0.8773,50.0624,-23.5167,-23.5167,-,-34.0395,-30.5049,0.0869,-,2.2603,39.8186,-7.5402,15.2639,-2.5706,-4.0584,25.1532,1.3972,1.0667
2020-09-30,0.8389,0.4396,0.8145,53.1436,14.4828,14.4828,-,9.2915,6.5234,0.0786,-,2.1848,41.193,1.6241,-3.5948,0.5882,0.9103,27.3761,1.6889,1.1442
2020-06-30,0.8141,0.4422,0.8734,56.0855,8.6252,8.6252,-,6.1001,3.0012,0.0747,-,2.141,42.0374,0.8079,-1.7144,0.2853,0.4506,27.1501,1.6894,1.0668
2020-03-31,0.7561,0.4296,0.8405,54.9288,17.4992,17.4992,-,14.645,10.7015,0.0784,-,2.1488,41.8832,2.5393,-5.5344,0.9101,1.4484,27.4306,1.229,0.5445
2019-12-31,0.7947,0.4283,0.8079,51.4406,11.3646,11.3646,-,6.7021,5.1067,0.0849,-,2.0684,43.5112,1.3391,-3.1232,0.4901,0.7655,27.8355,1.6308,1.1123
2019-09-30,0.7441,0.4414,0.85,54.7995,17.72,17.72,-,10.9581,8.2982,0.0812,-,1.9453,46.2656,2.0321,-4.2136,0.7196,1.1351,26.6078,1.5468,0.8268
2019-06-30,0.7114,0.4484,0.8788,54.3742,16.6826,16.6826,-,11.2841,8.259,0.0822,-,2.0087,44.8048,2.0476,-4.0936,0.7266,1.1294,26.5681,1.9404,1.2042
2019-03-31,0.7188,0.4568,0.9001,53.7355,16.1354,16.1354,-,11.9816,9.1374,0.0817,-,1.8785,47.9102,2.2303,-4.4625,0.7929,1.2115,26.7158,1.5053,0.8078
2018-12-31,0.7983,0.4616,0.9104,51.4325,12.8352,12.8352,-,11.9705,10.1223,0.0902,-,1.813,49.6422,2.6459,-5.1691,0.9645,1.4245,26.6265,2.1001,1.2585
2018-09-30,0.8118,0.4767,0.9916,54.7301,15.8924,15.8924,-,13.5705,10.3151,0.0855,-,1.7383,51.7738,2.6037,-4.3527,0.9004,1.3624,25.4421,1.2978,0.7364
2018-06-30,0.806,0.4778,1.0328,55.2198,16.5854,16.5854,-,17.3909,13.1637,0.0729,-,1.5293,58.8488,2.8502,-4.7485,0.9815,1.4883,25.3631,1.5608,0.8053
2018-03-31,1.1123,0.4762,1.1086,52.8209,16.3021,16.3021,-,16.1444,12.2562,0.0852,-,2.3351,38.543,3.2357,-6.606,1.0662,1.6948,22.6437,1.4477,0.4838
2017-12-31,0.9724,0.4701,1.1573,47.3894,3.0737,3.0737,-,-3.0785,45.6786,0.0938,-,2.5225,35.6795,13.4754,-24.6224,4.309,7.1409,23.1303,1.5417,0.7511
2017-09-30,1.601,0.551,1.2947,51.6764,14.639,14.639,-,12.5391,7.6359,0.0894,-,2.4986,36.02,2.4764,-3.2881,0.7036,1.112,20.5412,1.7484,0.9381
2017-06-30,1.1153,0.5135,1.1414,53.2972,16.3818,16.3818,-,15.2371,9.8275,0.0947,-,2.6563,33.8813,3.1893,-4.1836,0.9539,1.5517,20.4988,1.4082,0.6048
2017-03-31,0.9021,0.491,1.0662,53.9947,16.1463,16.1463,-,13.6619,8.8124,0.0956,-,2.6108,34.4728,2.8596,-3.6887,0.8677,1.4555,20.3304,1.4492,0.5142
2016-12-31,0.7586,0.4781,0.9952,48.7943,8.2312,8.2312,-,7.6265,5.8244,0.1036,-,2.4914,36.1239,2.0264,-2.5675,0.6228,1.0577,20.2167,1.4929,0.4859
2016-09-30,0.7935,0.4848,1.005,53.8029,15.6713,15.6713,-,12.6999,8.1389,0.1015,-,2.426,37.0983,2.7431,-3.4571,0.8482,1.4133,20.2911,1.7794,0.8761
2016-06-30,0.7749,0.4854,1.0198,54.4052,16.1895,16.1895,-,13.3786,8.4107,0.1008,-,2.5597,35.1604,2.8262,-3.5029,0.8748,1.4544,20.2169,1.6627,0.8157
2016-03-31,0.8534,0.4953,1.049,54.6071,17.5922,17.5922,-,14.8193,9.382,0.1004,-,2.5224,35.6803,3.1229,-3.8587,0.9625,1.576,20.208,1.2763,0.5572
2015-12-31,0.7527,0.4894,1.0203,53.2491,17.8827,17.8827,-,14.9742,9.5111,0.1046,-,2.5477,35.3256,3.3048,-4.0202,1.0147,1.6873,20.1206,1.8631,0.7066
2015-09-30,0.7291,0.493,1.0337,54.4755,15.1518,15.1518,-,12.1128,7.6591,0.0977,-,2.394,37.5946,2.5067,-2.9572,0.7695,1.2709,19.9584,1.4462,0.7943
2015-06-30,1.065,0.5456,1.2991,54.3268,17.486,17.486,-,14.9084,9.3352,0.1011,-,2.3888,37.6765,3.6388,-4.5019,0.9752,1.6534,16.8488,1.7545,0.8965
2015-03-31,0.728,0.5033,1.1073,55.5501,17.0586,17.0586,-,14.5138,10.0166,0.1058,-,2.3967,37.5516,3.8333,-4.7551,1.084,1.9039,16.7732,1.2911,0.5537
2014-12-31,0.9014,0.4564,0.9065,46.9323,-15.3576,-15.3576,-,-17.5179,-11.2866,0.116,-,2.3707,37.9637,-4.2162,8.2052,-1.2822,-2.2921,17.4034,1.3175,0.3378
2014-09-30,0.6462,0.4309,0.8121,56.5009,17.0131,17.0131,-,14.0516,9.4972,0.1145,-,2.4512,36.716,3.4225,-7.2353,1.1068,1.9476,17.9593,1.4532,0.6042
2014-06-30,0.7562,0.4427,0.9074,56.3715,17.2402,17.2402,-,18.7444,10.8887,0.111,-,2.5056,35.9199,3.9093,-8.3234,1.2339,2.1788,17.844,1.5518,0.4114
2014-03-31,0.6048,0.4393,0.8742,58.982,19.3312,19.3312,-,17.4005,11.2452,0.1138,-,2.4753,36.3592,4.0867,-8.4005,1.3086,2.2916,17.5893,1.6798,0.5886
2013-12-31,0.6628,0.431,0.8175,63.9237,37.7258,37.7258,-,34.4541,21.3551,0.1194,-,2.5672,35.0578,7.831,-17.9087,2.579,4.456,17.5041,1.4197,0.45
2013-09-30,0.5095,0.4425,0.885,58.3214,19.2425,19.2425,-,17.1031,11.8602,0.1171,-,2.5842,34.8268,4.5338,-8.4737,1.4221,2.5278,16.3118,1.7604,0.6315
2013-06-30,0.687,0.4545,0.8709,58.6282,19.0585,19.0585,-,18.0639,11.9158,0.1179,-,2.5644,35.0965,4.4952,-8.9913,1.426,2.4521,16.1783,1.799,0.7771
2013-03-31,0.6839,0.4445,0.8392,59.963,18.9437,18.9437,-,16.9983,11.8,0.1157,-,2.5914,34.7302,4.2711,-9.1682,1.3923,2.3726,16.2901,1.4826,0.7137
2012-12-31,0.7143,0.4172,0.7535,46.1139,-18.2884,-18.2884,-,-20.1087,-11.8393,0.1196,-,2.5739,34.9662,-4.0768,10.5403,-1.3877,-2.3759,16.6079,1.7826,0.79
2012-09-30,0.6156,0.3733,0.6295,59.9415,19.1901,19.1901,-,17.2987,11.5547,0.1179,-,2.5374,35.469,3.6544,-13.5916,1.3869,2.2904,17.7454,1.9991,1.1355
2012-06-30,0.6449,0.3711,0.623,61.1908,21.5899,21.5899,-,19.1006,12.3579,0.1186,-,2.5402,35.4299,3.828,-15.8025,1.489,2.4072,17.8439,1.6277,0.8573
2012-03-31,0.6385,0.3591,0.6247,59.7228,19.1723,19.1723,-,17.3371,11.2627,0.1181,-,2.4168,37.2393,3.4719,-14.5429,1.3558,2.2252,17.905,1.3207,0.6034
