,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,7.4201,-,-,100,43.6205,43.6205,-,66.1319,47.7523,0.1626,-,2.0078,44.826,12.0618,13.2021,8.7213,12.0618,33.8078,-0.0564,-0.3072
2020-09-30,3.5165,-,-,100,45.6762,45.6762,-,57.6827,39.1841,0.1575,-,2.2325,40.3133,9.8001,10.8096,6.8932,9.8001,31.4898,1.2071,0.9885
2020-06-30,3.2373,-,-,100,39.1197,39.1197,-,68.4471,41.4159,0.1493,-,2.1586,41.6935,10.7915,11.9721,7.6868,10.7915,29.7401,3.8226,3.558
2020-03-31,4.5483,-,-,100,48.3523,48.3523,-,14.146,22.8155,0.1693,-,2.4989,36.016,2.5894,2.8882,1.9289,2.5894,28.2212,3.3264,3.1322
2019-12-31,6.7757,-,-,100,39.5112,39.5111,-,51.086,39.8992,0.1574,-,2.2714,39.6228,8.3623,9.2272,6.3652,8.3623,30.1942,0.0816,-0.1508
2019-09-30,3.6031,-,-,100,46.1975,46.1975,-,49.2115,37.2889,0.1518,-,2.2989,39.1491,7.9695,8.8288,5.8003,7.9695,29.1425,2.3336,2.1036
2019-06-30,3.9099,-,-,100,44.0869,44.0869,-,53.0103,36.8191,0.1565,-,2.251,39.9814,8.4495,9.4007,6.2374,8.4495,27.9346,1.5513,1.3553
2019-03-31,3.7432,-,-,100,40.119,40.119,-,55.3982,37.6403,0.1569,-,2.1953,40.996,8.7783,9.8135,6.5493,8.7783,26.6927,2.4153,2.2162
2018-12-31,4.864,-,-,100,41.5556,41.5556,-,29.9157,29.6322,0.1697,-,2.3745,37.9035,4.4413,4.983,3.5374,4.4413,25.7249,0.5553,0.3638
2018-09-30,3.1762,-,-,100,45.9343,45.9343,-,54.8903,40.8217,0.1635,-,2.3917,37.6302,9.0024,10.0366,6.8178,9.0024,26.6304,2.2494,2.0761
2018-06-30,3.2728,-,-,100,44.2156,44.2156,-,46.7509,32.5948,0.1706,-,2.3831,37.7665,7.5164,8.4347,5.8309,7.5164,25.1443,1.6706,1.4998
2018-03-31,3.8677,-,-,100,43.9609,43.9609,-,45.1732,33.366,0.1801,-,2.2372,40.2289,7.7179,8.6991,6.1769,7.7179,24.2595,2.0857,1.9388
2017-12-31,6.2799,-,-,100,40.9217,40.9217,-,48.7824,25.4701,0.1722,-,2.2954,39.2085,6.6376,7.4941,5.1305,6.6376,23.7623,-0.5071,-0.7382
2017-09-30,3.5797,-,-,100,44.2803,44.2803,-,49.7134,30.8469,0.1679,-,2.4389,36.9024,7.3119,8.3129,5.4773,7.3119,22.8228,0.8707,0.6824
2017-06-30,3.997,-,-,100,42.7993,42.7993,-,52.2428,30.8094,0.1816,-,2.4268,37.0852,7.5456,8.6611,5.9701,7.5456,21.5124,-0.195,-0.3439
2017-03-31,3.3703,-,-,100,46.0622,46.0622,-,56.2158,34.0721,0.1805,-,2.3474,38.341,8.0077,9.2375,6.3803,8.0077,20.7254,0.7678,0.5768
2016-12-31,5.3086,-,-,100,48.8509,48.8509,-,49.9089,31.7058,0.1852,-,2.5337,35.5208,7.3234,8.446,5.8924,7.3234,20.4613,-0.3912,-0.5339
2016-09-30,2.5545,-,-,100,43.5264,43.5264,-,51.6058,29.3257,0.1625,-,2.4455,36.8021,7.5036,8.702,5.3945,7.5036,19.7432,1.1286,0.9924
2016-06-30,3.1974,-,-,100,27.137,27.137,-,31.1094,19.0773,0.1587,-,2.4443,36.8201,4.3449,5.0343,3.2089,4.3449,19.5608,-0.3445,-0.5181
2016-03-31,3.1465,-,-,100,41.3339,41.3339,-,49.8944,30.5905,0.1602,-,2.3221,38.7577,6.5767,7.645,5.05,6.5767,19.1988,0.2883,0.1483
2015-12-31,5.8634,-,-,100,43.2428,43.2427,-,47.3674,28.8633,0.206,-,2.3592,38.1486,6.3671,7.4018,5.9371,6.3671,19.0123,0.4772,0.3404
2015-09-30,2.6911,-,-,100,43.6892,43.6892,-,43.7178,26.0248,0.1992,-,2.4316,37.0124,5.929,6.9138,5.2615,5.929,18.5678,2.0379,1.8968
