,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,1.9726,-,-,48.9504,16.9568,16.9568,-,17.0895,19.0953,0.1087,-,0.7013,128.3249,2.7236,6.6252,2.0747,2.7236,48.9926,2.1498,2.0262
2020-09-30,1.8514,-,-,50.2226,17.3777,17.3777,-,17.4757,13.7479,0.1147,-,0.7453,120.7636,2.0696,5.4857,1.5763,2.0696,39.4231,4.0707,3.9667
2020-06-30,1.7682,-,-,48.3981,15.2499,15.2499,-,15.4232,19.8797,0.1138,-,0.6251,143.9736,2.946,8.4845,2.2619,2.946,45.4717,0.9523,0.7536
2020-03-31,1.6003,-,-,46.6951,12.2561,12.2561,-,12.614,17.1946,0.1246,-,0.826,108.9607,2.7761,9.3917,2.1425,2.7761,43.089,1.3782,1.119
2019-12-31,1.3351,-,-,49.2579,15.6341,15.6341,-,16.5457,16.1995,0.1318,-,0.759,118.5838,2.8935,11.7555,2.135,2.8935,41.1371,1.9191,1.6746
2019-09-30,1.195,-,-,47.4644,14.5436,14.5436,-,14.7248,14.6659,0.134,-,0.7914,113.7209,2.6579,12.7826,1.9654,2.6579,38.988,3.2152,3.0716
2019-06-30,0.9996,0.0104,0.0106,46.4736,13.3271,13.3271,-,13.2373,11.6308,0.1411,-,0.7214,124.7587,2.2509,15.3663,1.6415,2.2274,36.8623,0.6118,0.2804
2019-03-31,0.9973,0.0589,0.0626,46.9704,13.9602,13.9602,-,14.1974,11.0691,0.1294,-,0.8264,108.911,2.0127,20.3271,1.4324,1.8942,35.4551,0.6052,0.2765
2018-12-31,1.224,-,-,47.8843,16.0868,16.0868,-,16.5744,13.0391,0.1351,-,0.797,112.9213,2.3816,10.7219,1.7617,2.3816,34.6139,1.8105,1.7058
2018-09-30,1.5155,-,-,47.2857,15.9213,15.9213,-,16.3623,16.4885,0.1266,-,0.8008,112.3933,2.737,9.9852,2.0875,2.737,36.4947,2.754,2.5469
2018-06-30,1.3426,-,-,46.2916,15.7341,15.7341,-,15.9705,16.5894,0.1341,-,0.7557,119.0874,2.9218,12.7581,2.2254,2.9218,34.6956,0.551,0.4026
2018-03-31,1.6668,-,-,46.4815,17.5599,17.5599,-,17.8308,17.1019,0.1361,-,0.9883,91.0694,2.9991,9.891,2.3268,2.9991,32.9746,1.1204,0.8971
2017-12-31,1.4021,-,-,48.3921,20.3706,20.3706,-,20.7904,30.4069,0.1351,-,0.8454,106.4645,5.5546,21.7656,4.1081,5.5546,31.4558,1.3688,1.2309
2017-09-30,1.1125,-,-,48.4332,20.6245,20.6245,-,20.6594,18.088,0.1438,-,1.0234,87.946,3.6033,21.9177,2.601,3.6033,28.701,2.3545,2.1637
2017-06-30,0.9797,-,-,45.7471,17.8662,17.8662,-,17.8178,15.2182,0.1451,-,0.8485,106.0692,3.122,28.1133,2.2085,3.122,27.2918,0.0271,-0.2322
2017-03-31,0.8428,-,-,47.3316,18.4405,18.4405,-,18.3454,16.4067,0.1473,-,1.2199,73.7753,3.3893,56.1882,2.4172,3.3893,26.087,1.2375,0.7284
2016-12-31,0.7827,0.0108,0.0109,49.0336,21.1828,21.1828,-,21.0382,17.7762,0.1452,-,0.9699,92.7902,3.8273,-1777.715,2.5804,3.786,24.9014,1.339,1.1266
2016-09-30,0.7958,0.0371,0.0385,48.0624,18.9952,18.9952,-,18.7247,18.2162,0.1438,-,0.9437,95.3733,4.0158,-85.1765,2.6191,3.8668,24.0955,2.0149,1.8258
2016-06-30,0.9179,0.14,0.1628,46.0047,16.3596,16.3596,-,15.9786,13.2332,0.1337,-,0.8094,111.196,3.0154,-22.4125,1.7697,2.5933,22.8579,0.5129,0.3741
2016-03-31,0.7786,0.1502,0.1768,45.801,15.6398,15.6398,-,15.3793,10.1644,0.136,-,1.2023,74.859,2.301,-12.1775,1.3827,1.9554,21.9363,1.0576,0.6296
2015-12-31,0.7945,0.0714,0.0768,46.0759,12.4468,12.4468,-,12.2958,5.423,0.1171,-,0.8049,111.8176,1.0034,-9.5557,0.6353,0.9318,23.355,1.7516,1.6441
2015-09-30,1.6971,-,-,47.6204,20.8751,20.8751,-,21.0441,13.3528,0.2224,-,1.1673,77.1025,4.6723,7.4749,2.9691,4.6723,12.7054,1.513,1.4482
2015-06-30,1.6429,-,-,46.6544,20.2304,20.2304,-,20.3568,12.8754,0.2265,-,0.9613,93.6192,4.7017,7.9427,2.9156,4.7017,11.8337,0.4688,0.3522
2015-03-31,1.6583,-,-,47.3297,20.1369,20.1369,-,20.271,12.798,0.2375,-,1.2758,70.5444,4.7144,8.2594,3.039,4.7144,10.8853,-0.0584,-0.1115
2014-12-31,1.4475,-,-,47.4663,19.2977,19.2977,-,19.4288,12.019,0.2237,-,1.131,79.5756,4.5455,8.5998,2.6881,4.5455,10.0682,1.3387,1.3026
2014-09-30,1.3236,-,-,48.0259,20.7867,20.7867,-,20.7502,13.2127,0.2464,-,1.1508,78.2058,5.7434,12.5355,3.2551,5.7434,8.9643,1.8763,1.8327
2014-06-30,1.2098,-,-,47.0833,18.9932,18.9932,-,18.8195,11.8516,0.2555,-,0.8407,107.0591,5.5314,13.4411,3.0278,5.5314,8.1157,0.3534,0.2715
2014-03-31,1.2865,-,-,46.6411,17.6354,17.6354,-,17.4054,10.5509,0.2594,-,1.3002,69.2217,4.4555,10.9706,2.7365,4.4555,8.081,0.4665,0.3642
2013-12-31,1.1308,-,-,47.6516,17.5663,17.5662,-,17.2141,9.4929,0.2491,-,0.9522,94.5156,4.2676,12.1777,2.365,4.2676,7.501,0.2221,0.0285
2013-09-30,0.9071,-,-,46.2984,16.6855,16.6855,-,16.4192,10.3241,0.272,-,1.1825,76.1091,5.3215,24.0253,2.8085,5.3215,6.4417,1.2049,1.0256
2013-06-30,0.7997,-,-,45.6329,14.8892,14.8892,-,14.6021,8.776,0.2794,-,0.8502,105.8614,5.0218,53.6754,2.4522,5.0218,5.6604,-0.0195,-0.2732
