,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-09-30,-,0.596,1.4752,-,9.7131,9.7131,-,-8.7181,-8.4856,0.0325,-,-,-,-0.8276,-0.8165,-0.285,-0.3299,11.3198,0.4735,0.2346
2020-06-30,-,0.5826,1.3959,-,29.8699,29.8699,-,20.7065,18.4566,0.0321,-,-,-,1.8425,1.8184,0.6492,0.759,11.5734,0.6154,0.3581
2020-03-31,-,0.5841,1.4044,-,12.1171,12.1171,-,1.7743,1.2925,0.0332,-,-,-,0.1614,0.1593,0.0572,0.0662,11.7959,0.4589,0.2606
2019-12-31,-,0.5814,1.3889,-,14.6914,14.6914,-,34.5252,31.6937,0.0316,-,-,-,3.1479,3.105,1.0921,1.2997,11.5053,0.6271,0.391
2019-09-30,-,0.5461,1.203,-,19.9246,19.9246,-,10.4677,8.8604,0.034,-,-,-,0.9121,0.8993,0.3383,0.4082,11.1685,0.5644,0.3776
2019-06-30,-,0.566,1.3041,-,23.0797,23.0797,-,13.6658,12.2954,0.0343,-,-,-,1.3114,1.291,0.4674,0.5603,10.4838,0.5188,0.3556
2019-03-31,-,0.5479,1.2118,-,19.3939,19.3939,-,10.6453,8.6791,0.034,-,-,-,0.9122,0.898,0.3344,0.406,10.5126,0.4948,0.3476
2018-12-31,-,0.5483,1.2138,-,47.1537,47.1537,-,33.5062,30.3243,0.0347,-,-,-,3.1153,3.0661,1.1621,1.385,10.6072,0.5678,0.3769
2018-09-30,-,0.5938,1.4616,-,20.6697,20.6697,-,7.671,6.6276,0.0347,-,-,-,0.7909,0.7769,0.2638,0.3156,9.7152,0.5641,0.3363
2018-06-30,-,0.5754,1.3552,-,21.2437,21.2437,-,8.7306,7.5575,0.0337,-,-,-,0.8244,0.8106,0.2912,0.3442,10.344,0.4574,0.1768
2018-03-31,-,0.5605,1.2755,-,46.7077,46.7077,-,35.314,31.8987,0.0329,-,-,-,3.1422,3.0919,1.1574,1.3588,10.7846,0.4913,0.1981
2017-12-31,-,0.5643,1.295,-,35.8633,35.8633,-,30.3282,27.0168,0.0327,-,-,-,2.7879,2.7425,1.0055,1.195,10.5868,0.4835,0.1502
2017-09-30,-,0.5632,1.2896,-,18.1177,18.1177,-,7.048,6.0791,0.0324,-,-,-,0.626,0.6159,0.2264,0.269,10.6611,0.5556,0.1713
2017-06-30,-,0.5563,1.254,-,18.6326,18.6326,-,4.6085,3.7213,0.0319,-,-,-,0.3879,0.3816,0.1424,0.1693,10.8331,0.4436,0.0884
2017-03-31,-,0.5378,1.1636,-,18.6638,18.6638,-,10.9071,10.2682,0.0315,-,-,-,0.8774,0.864,0.3395,0.3993,11.3685,0.4476,0.1267
2016-12-31,-,0.5234,1.0983,-,113.2823,113.2823,-,116.2167,97.319,0.0316,-,-,-,8.8553,8.7224,3.5175,4.1569,11.5879,0.5794,0.3007
2016-09-30,-,0.5478,1.2113,-,18.8081,18.8081,-,12.152,10.6996,0.0318,-,-,-,1.0233,1.007,0.3851,0.4554,10.9497,0.5834,0.2723
2016-06-30,-,0.5402,1.1751,-,17.4466,17.4466,-,4.9613,7.1265,0.0314,-,-,-,0.422,0.4154,0.161,0.191,11.042,0.4178,0.214
