,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,-,0.4346,0.9877,-,-,-,-,36.3361,26.9682,0.0095,-,-,-,3.1943,3.7247,0.2753,1.6049,35.6477,-0.7143,-0.7143
2020-09-30,-,0.4438,1.0559,-,-,-,-,36.4442,28.1674,0.0098,-,-,-,3.3594,3.9014,0.2935,1.6583,35.3129,2.1792,2.1792
2020-06-30,-,0.4479,1.2038,-,-,-,-,18.6166,15.0601,0.0075,-,-,-,1.4948,1.7323,0.1271,0.7311,34.8393,-0.5537,-0.5537
2020-03-31,-,0.5007,1.5076,-,-,-,-,30.2629,22.8812,0.0088,-,-,-,2.5532,2.97,0.2172,1.1287,34.6342,1.5497,1.5497
2019-12-31,-,0.4335,1.2173,-,-,-,-,35.1944,26.8293,0.0106,-,-,-,3.2108,3.7697,0.3014,1.6114,34.2097,-0.0491,-0.0491
2019-09-30,-,0.4325,1.0315,-,-,-,-,43.1259,32.9414,0.0113,-,-,-,3.9802,4.6157,0.3931,2.009,34.4635,1.9409,1.9409
2019-06-30,-,0.4337,1.0467,-,-,-,-,41.9337,32.0626,0.0113,-,-,-,3.8439,4.477,0.3795,1.9334,33.79,0.3891,0.3891
2019-03-31,-,0.4357,1.0643,-,-,-,-,40.3248,31.1811,0.0109,-,-,-,3.6572,4.2917,0.359,1.8294,32.9486,0.8075,0.8075
2018-12-31,-,0.4445,1.074,-,-,-,-,39.6282,32.7075,0.0116,-,-,-,4.0768,4.7871,0.3984,2.0022,32.1183,1.603,1.603
2018-09-30,-,0.445,1.2697,-,-,-,-,42.8464,32.5197,0.0115,-,-,-,4.0468,4.8032,0.3922,1.9826,31.4266,1.9976,1.9976
2018-06-30,-,0.4252,1.1005,-,-,-,-,41.6162,31.7563,0.0115,-,-,-,3.9208,4.6984,0.3811,2.0108,30.7179,1.9833,1.9833
2018-03-31,-,0.3999,1.0219,-,-,-,-,40.0863,31.3199,0.0111,-,-,-,3.7889,4.5479,0.3656,2.0262,30.2078,0.8654,0.8654
2017-12-31,-,0.3938,0.9848,-,-,-,-,25.1632,30.9213,0.0113,-,-,-,3.8104,4.5563,0.3649,2.058,29.998,-0.1122,-0.1122
2017-09-30,-,0.4115,1.0207,-,-,-,-,41.8542,28.8014,0.0112,-,-,-,3.5714,4.265,0.3417,1.8708,29.6088,1.1299,1.1299
2017-06-30,-,0.4358,1.0669,-,-,-,-,40.8758,28.3337,0.0109,-,-,-,3.4735,4.157,0.326,1.7427,29.1548,0.9524,0.9524
2017-03-31,-,0.426,0.9938,-,-,-,-,40.5599,28.3408,0.0109,-,-,-,3.4547,4.1541,0.3306,1.7611,28.6285,1.8754,1.8754
