,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,4.332,0.0584,0.0621,87.5232,45.8154,45.8154,-,54.5898,37.1165,0.1385,0.7234,1.8386,48.9499,6.9553,8.294,5.1413,6.5489,33.425,1.8932,1.7101
2020-09-30,3.7217,0.063,0.0672,87.8967,43.7011,43.7011,-,48.4876,43.3886,0.1361,0.7585,1.9425,46.3329,8.206,9.9154,5.9056,7.6893,31.2617,3.4194,2.7579
2020-06-30,3.7219,0.0649,0.0694,87.8962,47.1,47.1,-,54.1016,54.9215,0.1492,0.8417,1.9254,46.7431,11.135,13.6874,8.1954,10.4121,28.9064,3.944,3.8762
2020-03-31,3.5395,0.0762,0.0825,89.2749,47.5362,47.5362,-,43.3985,39.7829,0.1704,0.8686,1.7925,50.2105,9.3282,11.9133,6.7777,8.6174,24.9409,3.0955,3.0216
2019-12-31,3.6131,0.0813,0.0885,86.9089,39.0206,39.0206,-,47.8997,41.2686,0.1699,1.1045,2.2308,40.3439,9.5844,12.4541,7.0113,8.8051,23.4958,1.7077,1.6436
2019-09-30,3.4395,0.0935,0.1031,86.1118,10.458,10.458,-,7.4399,6.0556,0.1264,0.8127,2.1426,42.0059,1.0949,1.1968,0.7654,0.9926,20.4202,1.2777,1.1848
2019-06-30,3.7412,0.0981,0.1088,85.5794,28.6797,28.6797,-,34.7541,28.4106,0.1338,0.9491,2.0247,44.4506,5.2747,5.3277,3.8022,4.7572,19.7528,1.7866,1.7235
2019-03-31,3.7805,0.1061,0.1186,88.9226,32.2457,32.2457,-,37.2964,31.2931,0.1312,0.6956,1.9586,45.9519,5.6873,5.7487,4.1056,5.0842,18.4252,1.2483,1.179
2018-12-31,3.4305,0.1159,0.1311,85.9455,14.6789,14.6789,-,3.7348,178.1998,0.1393,0.9833,2.1238,42.3764,34.3862,34.7813,24.4176,30.4001,17.3812,1.2223,1.1612
2018-09-30,3.7144,0.1642,0.2004,85.819,26.2129,26.2129,-,17.4002,16.4105,0.1698,0.8961,2.0659,43.5646,4.3775,4.4992,2.7799,3.6587,11.4803,1.4576,1.3782
2018-06-30,3.6746,0.1754,0.2183,86.1223,22.9843,22.9843,-,28.796,27.5687,0.1735,0.9075,1.9118,47.0773,7.597,7.8258,4.7574,6.2641,10.6515,1.2439,1.1294
2018-03-31,3.6759,0.1922,0.2448,88.8244,20.1157,20.1157,-,33.496,32.8126,0.1621,0.6103,1.9579,45.9683,9.3508,9.6665,5.7501,7.554,9.5376,0.9773,0.864
2017-12-31,3.2814,0.2223,0.2969,87.1014,19.2956,19.2956,-,17.2554,15.451,0.1838,0.7516,2.3162,38.8575,5.0034,5.2058,2.8817,3.891,8.0643,0.8696,0.7025
2017-09-30,3.2754,0.2393,0.3256,87.3956,-56.3927,-56.3927,-,-72.1541,-17.8067,0.1808,0.7422,2.1942,41.0166,-16.1524,-16.8962,-9.1069,-12.2869,7.1364,0.6893,0.577
2017-06-30,3.4867,0.2276,0.3045,86.9141,9.6864,9.6864,-,6.5252,3.3073,0.1656,0.7718,2.1945,41.0108,1.6693,2.0339,0.9487,1.2893,7.446,0.7095,0.6409
2017-03-31,3.8216,0.2392,0.3259,93.4257,37.895,37.895,-,35.4732,34.6649,0.2425,0.5729,3.4369,26.1865,14.8294,18.5115,8.4687,11.282,6.7612,1.0683,1.0237
