,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,-,0.5365,1.1573,-,18.7171,18.7171,-,7.7567,11.9904,0.0385,-,-,-,1.0892,1.2134,0.4678,0.5049,27.4371,0.7839,0.641
2020-09-30,-,0.5394,1.1711,-,15.2136,15.2136,-,-0.3205,1.3876,0.0379,-,-,-,0.1335,0.1487,0.0567,0.0615,27.5141,1.153,1.0445
2020-06-30,-,0.5464,1.2048,-,6.8355,6.8355,-,-10.4202,-16.6635,0.0384,-,-,-,-1.5311,-1.7031,-0.6476,-0.6944,27.8752,1.0785,1.0074
2020-03-31,-,0.5694,1.3225,-,23.6141,23.6141,-,10.9051,46.7482,0.038,-,-,-,4.4299,4.9112,1.7835,1.9074,28.7247,0.8363,0.7651
2019-12-31,-,0.5355,1.153,-,13.2412,13.2412,-,1.2079,1.1489,0.0403,-,-,-,0.1223,0.1358,0.0522,0.0568,28.2865,1.0101,0.8514
2019-09-30,-,0.5266,1.1123,-,25.0115,25.0115,-,8.9541,8.672,0.0396,-,-,-,0.8021,0.8882,0.3504,0.3797,29.0723,0.8822,0.7769
2019-06-30,-,0.4853,0.943,-,25.7737,25.7737,-,14.4654,22.1442,0.0414,-,-,-,1.9482,2.1565,0.9217,1.0027,29.2786,1.0627,0.9639
2019-03-31,-,0.5116,1.0474,-,24.9298,24.9298,-,12.9211,13.3406,0.0416,-,-,-,1.2501,1.3936,0.5629,0.6106,28.4776,0.9321,0.8712
2018-12-31,-,0.511,1.045,-,23.7216,23.7216,-,3.4125,6.7449,0.0409,-,-,-,0.9657,1.0757,0.4392,0.4722,28.8065,1.0131,0.8493
2018-09-30,-,0.4992,0.9967,-,26.6366,26.6366,-,10.3201,10.8882,0.0414,-,-,-,0.9822,1.0907,0.457,0.4919,29.4928,0.8531,0.767
