,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,-,0.5339,1.4627,-,-,-,-,18.2391,14.5935,0.0093,-,-,-,1.9383,2.1001,0.1634,0.8008,44.8647,-5.5094,-5.5094
2020-09-30,-,0.5423,1.4884,-,-,-,-,15.8293,9.5064,0.0094,-,-,-,1.3788,1.4997,0.1154,0.5579,44.0487,-2.128,-2.128
2020-06-30,-,0.5618,1.6178,-,-,-,-,-75.271,-32.45,0.0042,-,-,-,-1.4664,-1.6021,-0.1184,-0.5673,43.7236,3.9565,3.9565
2020-03-31,-,0.5642,1.798,-,-,-,-,4.8425,0.3063,0.0069,-,-,-,0.3118,0.3426,0.0255,0.12,44.7538,4.177,4.177
2019-12-31,-,0.5483,1.7698,-,-,-,-,18.7448,13.2494,0.01,-,-,-,1.7568,1.9671,0.1517,0.7026,45.468,2.8177,2.8177
2019-09-30,-,0.5426,1.8237,-,-,-,-,28.6934,18.9397,0.011,-,-,-,2.7836,3.0934,0.2475,1.1321,45.5398,-2.9169,-2.9169
2019-06-30,-,0.5469,1.7838,-,-,-,-,36.2032,27.7406,0.011,-,-,-,3.5805,3.9583,0.3295,1.4355,45.2614,-0.1145,-0.1145
2019-03-31,-,0.5432,1.7256,-,-,-,-,32.9802,26.5219,0.011,-,-,-,3.3996,3.7874,0.3161,1.3715,44.0459,1.7345,1.7345
2018-12-31,-,0.5375,1.6991,-,-,-,-,34.8013,27.9144,0.0108,-,-,-,3.5398,3.9817,0.3246,1.4442,43.0157,3.0936,3.0936
2018-09-30,-,0.5257,1.6365,-,-,-,-,35.5695,25.5278,0.0114,-,-,-,3.4541,3.9048,0.3249,1.4456,42.3807,1.427,1.427
2018-06-30,-,0.5155,1.5712,-,-,-,-,33.7377,22.7098,0.0112,-,-,-,2.944,3.2606,0.2824,1.2481,42.4966,-0.1538,-0.1538
2018-03-31,-,0.5247,1.576,-,-,-,-,30.8191,21.7679,0.0114,-,-,-,2.9647,3.2678,0.2781,1.2297,42.2476,3.0888,3.0888
2017-12-31,-,0.5196,1.5777,-,-,-,-,21.4917,26.8237,0.011,-,-,-,3.4156,3.7496,0.3198,1.441,42.5379,0.0398,0.0398
2017-09-30,-,0.536,1.6086,-,-,-,-,32.0888,19.5486,0.0109,-,-,-,2.538,2.7795,0.2377,1.032,41.9703,1.922,1.922
2017-06-30,-,0.5368,1.6213,-,-,-,-,37.5415,25.1384,0.0112,-,-,-,3.2679,3.5638,0.3053,1.3245,41.5048,-0.8419,-0.8419
2017-03-31,-,0.5588,1.7351,-,-,-,-,36.2956,24.1709,0.0111,-,-,-,3.2347,3.5512,0.2934,1.2474,40.5243,2.5911,2.5911
2016-12-31,-,0.5599,1.7549,-,-,-,-,36.396,23.449,0.0108,-,-,-,3.0146,3.3267,0.2748,1.1642,39.9706,0.9467,0.9467
2016-09-30,-,0.5554,1.8607,-,-,-,-,38.3543,24.36,0.0111,-,-,-,3.1522,3.4167,0.2911,1.2324,40.5976,-0.4718,-0.4718
2016-06-30,-,0.5462,1.797,-,-,-,-,38.989,24.5305,0.0112,-,-,-,3.1339,3.3992,0.295,1.2479,40.1429,-1.4283,-1.4283
2016-03-31,-,0.5345,1.6906,-,-,-,-,38.2823,24.0893,0.0114,-,-,-,3.1607,3.4721,0.2982,1.2932,39.1071,1.1507,1.1507
2015-12-31,-,0.5072,1.5321,-,-,-,-,39.2966,25.0687,0.0116,-,-,-,3.2753,3.6362,0.3146,1.4292,38.0766,-0.7597,-0.7597
2015-09-30,-,0.4884,1.4087,-,-,-,-,41.4368,25.7085,0.0121,-,-,-,3.4862,3.8524,0.3416,1.5773,37.9845,3.6469,3.6469
2015-06-30,-,0.4853,1.3778,-,-,-,-,40.6747,25.5162,0.0122,-,-,-,3.4231,3.8306,0.3363,1.562,37.0588,-0.3141,-0.3141
2015-03-31,-,0.4911,1.3739,-,-,-,-,39.492,26.4199,0.0119,-,-,-,3.5031,3.8898,0.3386,1.5764,36.7938,0.4796,0.4796
2014-12-31,-,0.4982,1.3357,-,-,-,-,39.6555,25.6799,0.0124,-,-,-,3.4881,3.9787,0.3433,1.5688,35.8316,0.5308,0.5308
2014-09-30,-,0.5022,1.3526,-,-,-,-,41.2425,25.9439,0.0127,-,-,-,3.6397,4.1928,0.3638,1.6201,35.0891,2.8358,2.8358
2014-06-30,-,0.4804,1.2654,-,-,-,-,41.5128,26.0156,0.013,-,-,-,3.5541,4.1109,0.3619,1.6559,34.5815,-0.6051,-0.6051
2014-03-31,-,0.4651,1.1927,-,-,-,-,41.1429,27.6207,0.0131,-,-,-,3.8138,4.5114,0.3928,1.8415,33.5128,0.5307,0.5307
2013-12-31,-,0.4722,1.2098,-,-,-,-,40.4739,26.4457,0.0133,-,-,-,3.692,4.4438,0.375,1.7632,32.5286,2.701,2.701
2013-09-30,-,0.4725,1.2147,-,-,-,-,40.6852,26.0599,0.0137,-,-,-,3.708,4.4583,0.3819,1.7758,32.0101,3.9234,3.9234
2013-06-30,-,0.4297,1.1012,-,-,-,-,40.8714,25.4367,0.0144,-,-,-,3.7439,4.5676,0.3893,1.953,30.8888,2.4004,2.4004
2013-03-31,-,0.4358,1.1438,-,-,-,-,38.1238,24.6058,0.0139,-,-,-,3.5038,4.1922,0.3633,1.8026,30.8947,1.7067,1.7067
