,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,0.9963,0.6401,1.8527,38.5296,16.0807,16.0807,-,13.4497,10.7696,0.1386,20.1613,1.5499,58.0674,5.876,-17.0827,1.4926,2.1146,17.63,1.764,0.8406
2020-09-30,1.1964,0.589,1.4562,39.6011,17.612,17.612,-,13.3644,10.101,0.1559,19.9316,1.7415,51.6783,5.4492,192.1182,1.5744,2.2398,16.9362,2.4172,1.6128
2020-06-30,0.8846,0.582,1.8552,38.7812,14.7992,14.7992,-,11.0924,8.6212,0.1338,18.4746,1.6901,53.2519,4.4538,-337.3626,1.1533,1.8616,16.3278,2.0299,0.9951
2020-03-31,1.8355,0.6595,1.9944,37.5436,15.3661,15.3661,-,11.6653,9.6809,0.1372,20.0776,1.72,52.325,5.3521,-146.1538,1.3283,1.8223,15.9836,1.7941,0.7176
2019-12-31,1.9749,0.6526,1.9092,39.8336,17.0307,17.0307,-,13.8066,11.6225,0.1386,21.8302,1.6585,54.2668,6.3225,2629.412,1.6112,2.1966,16.6617,2.3891,1.721
2019-09-30,1.8602,0.6595,1.9682,38.4674,18.5027,18.5027,-,15.5029,12.4779,0.1463,22.3945,1.7399,51.7268,7.2934,-161.7647,1.826,2.4832,16.001,2.2285,1.0978
2019-06-30,1.6992,0.6612,1.9698,38.0892,17.6381,17.6381,-,12.595,9.6553,0.1519,23.4904,1.746,51.5459,5.9069,-64.527,1.47,2.001,15.2595,2.3596,1.0091
2019-03-31,0.6888,0.5923,1.6154,37.8247,16.802,16.802,-,12.5,9.3885,0.1581,21.8857,1.7761,50.6737,5.4075,-54.9051,1.4846,2.2046,15.1085,2.0848,0.9815
2018-12-31,0.851,0.6045,1.5975,38.0791,19.9636,19.9636,-,17.1525,13.8209,0.1696,23.3235,1.6888,53.2926,8.4608,-73.1405,2.3444,3.3459,14.8025,2.0902,1.049
2018-09-30,0.8713,0.6052,1.6049,37.9121,18.2889,18.2889,-,15.6201,13.056,0.1692,23.0388,1.6319,55.1491,7.9795,-70.8393,2.2044,3.1499,14.6117,2.0431,1.0987
2018-06-30,0.7477,0.5969,1.6176,38.1385,19.1228,19.1228,-,16.2878,13.3458,0.1698,23.13,1.7081,52.6906,8.2398,-59.1934,2.2667,3.3214,14.1371,2.2704,1.2544
2018-03-31,0.7385,0.5947,1.6417,37.7955,17.317,17.317,-,14.5543,11.2788,0.1588,22.2857,1.593,56.4967,6.5128,-45.9837,1.7868,2.6393,14.0468,1.8564,0.9385
2017-12-31,0.8259,0.5916,1.5708,38.034,19.2771,19.2771,-,15.9912,24.7262,0.1673,23.5729,1.5383,58.5049,14.9454,-120.0798,4.1367,6.1038,13.9435,1.7788,0.5895
2017-09-30,0.7057,0.6158,1.7632,38.0517,18.8644,18.8644,-,16.2271,10.3875,0.1774,23.2525,1.8561,48.4876,7.3208,-25.3927,1.8521,2.8126,12.2062,1.9633,1.1577
2017-06-30,0.8397,0.6115,1.6446,37.721,18.303,18.303,-,15.5018,9.845,0.1764,23.8542,1.7703,50.8376,6.5553,-27.4734,1.7323,2.5469,12.5241,1.8283,1.156
2017-03-31,0.869,0.6096,1.6327,37.0349,16.2209,16.2209,-,12.6163,8.6628,0.1666,22.8,1.7444,51.593,5.3629,-23.6277,1.4383,2.0939,12.5321,1.6258,0.8782
2016-12-31,0.8504,0.6257,1.75,37.948,17.8324,17.8324,-,14.7399,9.6821,0.1659,23.8556,1.6229,55.4567,6.2782,-22.4765,1.6012,2.35,12.1374,1.6729,0.8325
2016-09-30,0.8607,0.6212,1.7204,37.5423,15.7835,15.7835,-,12.8805,8.5118,0.1709,23.828,1.7392,51.7475,5.6474,-20.8077,1.4646,2.139,12.1788,1.7082,0.9579
2016-06-30,0.8111,0.6304,1.8229,37.8102,17.8394,17.8394,-,13.4015,8.3796,0.165,22.9032,1.693,53.1591,5.4705,-17.5031,1.3782,2.0221,11.835,1.7128,1.0113
2016-03-31,0.8992,0.6308,1.8072,37.2481,15.995,15.995,-,12.4685,8.1234,0.1528,21.663,1.5976,56.335,4.8211,-16.5161,1.2319,1.78,11.94,1.6317,0.9251
2015-12-31,0.9343,0.6178,1.6637,37.5539,15.4652,15.4652,-,12.2304,8.4104,0.1594,22.0326,1.5501,58.0592,5.0866,-24.9543,1.3404,1.944,12.002,1.189,0.393
2015-09-30,0.9824,0.627,1.7215,37.6488,17.8869,17.8869,-,14.7619,9.9702,0.1647,22.7717,1.6783,53.625,6.4105,-29.9822,1.6518,2.3914,11.7747,1.4849,0.7313
2015-06-30,1.0307,0.6223,1.6841,34.7511,15.1433,15.1433,-,11.7345,8.2655,0.1611,21.2059,1.6974,53.0226,5.049,-27.7157,1.3267,1.9068,11.9666,1.7829,1.136
2015-03-31,1.1513,0.6185,1.6515,35.9868,14.4737,14.4737,-,-7.3026,-4.2434,0.1469,17.8532,1.5139,59.4474,-2.3498,15.5213,-0.6331,-0.8964,12.1789,1.0883,0.5802
2014-12-31,1.0118,0.5863,1.6021,36.8635,21.8796,21.8796,-,17.428,17.1661,0.1614,20.4717,1.7744,50.7216,10.1545,-205.4983,2.8079,4.2012,12.843,1.1,0.3127
2014-09-30,1.0863,0.6144,1.7948,36.1744,15.1583,15.1583,-,11.4936,7.4958,0.1622,21.6887,2.1027,42.8012,4.962,-49.5591,1.2651,1.9134,12.3686,1.4726,0.8008
2014-06-30,0.7903,0.5945,1.5938,35.3833,14.9396,14.9396,-,11.289,5.8972,0.1606,13.8615,1.9816,45.417,3.6115,-50.4545,1.0009,1.4646,13.1942,1.183,0.7398
2014-03-31,0.7551,0.5979,1.688,34.2756,13.8104,13.8104,-,9.894,6.7138,0.1513,12.8276,1.9395,46.4046,3.9245,-44.5489,1.0561,1.5782,12.9788,1.2508,0.6811
2013-12-31,0.8291,0.6128,1.7038,35.2286,-11.7143,-11.7143,-,-17.2286,-17.2857,0.1548,12.736,1.9337,46.5429,-9.98,100.335,-2.6501,-3.864,12.9264,1.2825,0.3258
2013-09-30,0.8445,0.575,1.4339,35.7912,15.9348,15.9348,-,12.4827,8.0365,0.1533,13.0618,1.9468,46.2303,4.2338,-202.0408,1.2578,1.7993,14.9516,1.5528,0.8714
2013-06-30,0.7955,0.5688,1.433,34.4583,14.464,14.464,-,10.8622,6.92,0.1532,13.5146,1.9029,47.2972,3.7548,1600,1.1125,1.619,14.5639,1.1534,0.6563
2013-03-31,0.7832,0.5739,1.4903,33.783,12.0504,12.0504,-,7.8537,5.036,0.1441,12.4802,1.8752,47.9946,2.6206,-164.486,0.7601,1.1167,14.3957,1.2369,0.6667
2012-12-31,0.7981,0.5788,1.4855,35.2359,14.0944,14.0944,-,10.1631,6.523,0.1487,12.7816,1.8673,48.1974,3.5206,-1807.692,1.0174,1.4828,14.379,1.2465,0.4299
2012-09-30,0.8343,0.5809,1.5112,35.5967,14.4467,14.4467,-,10.0549,6.1832,0.15,14.3806,1.8528,48.5756,3.3727,-428.8462,0.9665,1.4134,14.2541,1.2299,0.3683
