,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-12-31,0.9997,0.9427,16.4373,40.3051,17.8566,17.8566,-,15.6471,13.9251,0.1339,-,0.3328,270.4246,94.9089,-6.1386,1.8649,5.4429,0.4538,0.701,0.6214
2020-09-30,0.9734,0.9784,45.2534,42.654,22.6619,22.6619,-,20.739,18.1645,0.1426,-,0.3506,256.6913,340.6855,-7.7523,2.5897,7.3656,0.1633,0.5715,0.5323
2020-06-30,0.9418,1.0244,-42.0409,40.5939,19.8977,19.8977,-,17.332,14.5241,0.128,-,0.3165,284.3877,-220.5721,-5.1993,1.8594,5.3745,-0.1786,0.5722,0.5137
2020-03-31,0.9062,1.0513,-20.5084,42.5714,19.5966,19.5966,-,16.9664,14.8487,0.1423,-,0.3796,237.0706,-118.036,-5.5195,2.1123,6.0505,-0.3643,0.2687,0.2348
2019-12-31,0.9652,1.0124,-81.7544,42.1503,17.3205,17.3205,-,15.1029,10.3541,0.1493,-,0.3967,226.8892,-342.7849,-4.3663,1.5459,4.2448,-0.0945,0.5637,0.5308
2019-09-30,0.9606,1.0061,-164.8731,41.1891,15.1045,15.1045,-,12.4111,10.3298,0.1484,-,0.3964,227.0694,-685.2777,-4.3537,1.5334,4.1818,-0.0469,0.6275,0.589
2019-06-30,0.9368,0.9903,101.9934,42.0813,19.3137,19.3137,-,55.621,45.8635,0.1482,-,0.3595,250.3215,2035.764,-20.0137,6.7984,19.766,0.0709,0.3866,0.321
2019-03-31,0.8569,1.1249,-9.0067,41.2865,18.7883,18.7883,-,16.1631,12.9469,0.1418,-,0.3823,235.4338,-46.2587,-4.9381,1.8352,5.7775,-0.8644,0.5447,0.4935
2018-12-31,0.8812,1.0992,-11.0836,40.5109,19.335,19.3351,-,16.7666,15.1327,0.1558,-,0.3675,244.8931,-68.4635,-5.8382,2.3575,6.7896,-0.7022,0.6526,0.5461
2018-09-30,0.8414,1.1442,-7.934,41.4613,21.8043,21.8043,-,19.1959,15.031,0.1544,-,0.3453,260.6226,-50.2288,-5.5704,2.3205,7.2438,-0.936,0.5049,0.3513
2018-06-30,0.8589,1.1567,-7.3827,41.2373,20.0978,20.0978,-,18.1064,15.4206,0.1548,-,0.3517,255.8727,-48.2163,-5.8451,2.3871,7.5542,-1.0058,0.3637,0.2666
2018-03-31,0.8432,1.1358,-8.3646,40.5931,19.0658,19.0658,-,16.8778,15.3735,0.1512,-,0.3451,260.8212,-56.8388,-5.8175,2.3248,7.7179,-0.8159,0.2862,0.2282
2017-12-31,0.8162,1.1933,-6.1734,39.4911,-17.5138,-17.5138,-,-20.1071,-77.9323,0.1558,-,0.3434,262.1158,228.1033,29.454,-12.1423,-44.0917,-1.0706,0.6767,0.622
2017-09-30,0.9959,0.8328,4.9808,40.1652,19.3778,19.3778,-,17.0286,16.7723,0.1423,-,0.3559,252.8867,33.2112,-7.7175,2.3862,5.5529,1.5445,0.9599,0.9121
2017-06-30,1.0288,0.8458,5.4861,38.9151,15.6212,15.6212,-,13.373,12.0748,0.1466,-,0.3782,237.9984,25.1815,-5.3427,1.7697,3.8824,1.4241,-0.2293,-0.3049
2017-03-31,0.989,0.8231,4.6527,38.5826,18.4352,18.4352,-,16.3621,12.4155,0.1373,-,0.3773,238.5442,21.5514,-5.2821,1.7046,3.8126,1.5896,0.1785,0.138
2016-12-31,0.8753,0.7554,3.0881,38.5799,-22.6143,-22.6143,-,-24.6628,-25.8803,0.1456,-,0.3659,245.986,-39.3483,12.1409,-3.7687,-9.625,1.8737,0.4349,0.3725
2016-09-30,1.1166,0.6992,2.324,40.2744,20.1989,20.1989,-,17.4191,15.7425,0.1447,-,0.4066,221.3746,15.6313,-8.7881,2.2787,4.7025,2.8599,0.6913,0.6043
2016-06-30,1.107,0.7107,2.4563,40.2559,18.9213,18.9213,-,16.1736,14.9451,0.1464,-,0.4098,219.6257,15.6421,-8.0643,2.1884,4.5257,2.6934,0.5623,0.5186
2016-03-31,1.0869,0.7225,2.6035,39.9399,19.9276,19.9276,-,16.7604,14.3099,0.1378,-,0.3902,230.6766,14.9879,-7.0856,1.9717,4.1593,2.5198,0.4227,0.3676
2015-12-31,1.1206,0.696,2.2891,41.2319,20.4203,20.4203,-,17.1667,15.3841,0.146,-,0.4171,215.7847,15.1114,-8.6164,2.2468,4.5944,2.7964,0.506,0.4153
2015-09-30,1.1345,0.7211,2.586,41.5952,21.7624,21.7624,-,18.968,16.6023,0.1425,-,0.4152,216.7603,17.2432,-9.0781,2.3666,4.8085,2.6625,0.6711,0.5754
2015-06-30,1.2035,0.7402,2.8498,42.2232,18.1266,18.1266,-,14.9537,13.6817,0.1375,-,0.3964,227.0425,14.4791,-7.1999,1.881,3.761,2.553,0.4926,0.4527
2015-03-31,1.2333,0.7342,2.7621,41.5701,20.6147,20.6147,-,17.6092,15.4364,0.1276,-,0.3804,236.5728,15.1048,-7.8699,1.9695,4.015,2.611,0.4033,0.3515
2014-12-31,1.2491,0.741,2.861,40.9958,19.583,19.583,-,16.7317,15.7103,0.1426,-,0.4255,211.5277,17.0332,-8.4642,2.2395,4.4116,2.4936,0.4889,0.4427
2014-09-30,1.204,0.7589,3.1484,41.6684,21.7989,21.7989,-,18.9326,16.2468,0.1463,-,0.4157,216.4772,19.844,-8.4859,2.3775,4.7835,2.2531,0.6258,0.5709
2014-06-30,1.1948,0.7782,3.5078,41.107,19.7994,19.7994,-,16.5125,13.7877,0.1423,-,0.39,230.7435,18.1088,-6.6855,1.9626,4.0172,2.0181,0.4754,0.432
2014-03-31,1.2082,0.7826,3.6004,40.9831,20.1362,20.1362,-,16.8345,15.0281,0.1361,-,0.3842,234.2545,19.0128,-6.9132,2.0458,4.1329,1.9813,0.3583,0.3055
2013-12-31,1.295,0.7923,3.8137,40.5232,16.7663,16.7663,-,13.5593,12.195,0.1405,-,0.4348,207.0018,15.6966,-5.977,1.7132,3.2608,2.0129,0.486,0.4431
2013-09-30,1.2252,0.7907,3.7786,41.9222,20.9611,20.9611,-,17.8663,15.2186,0.1417,-,0.4134,217.7172,20.4132,-7.1615,2.1567,4.2718,1.9034,0.6037,0.5443
2013-06-30,1.1526,0.8001,4.0031,41.4316,19.9726,19.9726,-,16.7545,14.33,0.1445,-,0.4002,224.8734,21.387,-6.3142,2.071,4.2747,1.6829,0.4388,0.3689
2013-03-31,1.1632,0.8024,4.0615,42.7041,22.4008,22.4008,-,18.8773,15.9952,0.1416,-,0.3993,225.3871,23.1038,-6.7857,2.2645,4.5646,1.6403,0.4165,0.3707
2012-12-31,1.2576,0.8107,4.2836,42.6265,20.0744,20.0744,-,17.1826,16.6983,0.1505,-,0.4574,196.7531,25.2924,-7.6299,2.5133,4.7869,1.6441,0.5287,0.4843
