,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-09-30,0.8623,0.2025,0.3727,16.8705,-0.8052,-0.2013,-,-0.8052,-1.4719,0.129,2.1473,-,-,-0.384,-0.384,-0.198,-0.3063,43.6641,1.0276,0.2571
2020-06-30,0.9257,0.1992,0.3714,19.8957,-5.0299,-4.0577,-,-5.0299,-3.3124,0.0902,1.3287,-,-,-0.6246,-0.6246,-0.3234,-0.5002,44.2651,-0.0003,-1.0342
2020-03-31,0.7758,0.1444,0.3158,15.9301,-0.4594,-0.016,-,-0.4594,-1.0862,0.1578,2.8612,-,-,-0.408,-0.408,-0.2164,-0.349,44.6412,1.4693,0.077
2019-12-31,0.7822,0.1169,0.2359,22.5537,9.5485,9.8477,-,9.5485,8.4707,0.1853,2.8078,-,-,2.8803,2.8803,1.5803,2.5435,46.9969,1.4889,-0.0821
2019-09-30,0.779,0.1163,0.2392,20.3462,7.2576,7.6143,-,7.2576,4.8733,0.181,2.9457,-,-,1.6473,1.6473,0.9035,1.4557,46.5869,2.1257,0.6542
2019-06-30,0.7362,0.0874,0.2277,18.7463,6.7042,7.0168,-,6.7042,4.5303,0.1915,2.9806,-,-,1.7086,1.7086,0.94,1.5593,46.9074,1.392,-0.0531
2019-03-31,0.774,0.0877,0.2062,19.5662,6.7411,7.0255,-,6.7411,3.6935,0.1786,2.7916,-,-,1.215,1.215,0.6755,1.1085,46.8024,1.9527,0.7351
2018-12-31,0.8396,0.0938,0.1904,23.7847,11.2956,11.5947,-,11.2956,8.3455,0.2077,2.8903,-,-,3.126,3.126,1.7926,2.8329,46.8558,2.0172,0.5893
2018-09-30,0.8267,0.0948,0.2034,22.7518,11.853,12.1141,-,11.853,8.1457,0.216,3.1542,-,-,3.2749,3.2749,1.8177,2.9643,46.4882,2.6008,1.3823
2018-06-30,0.8096,0.0967,0.213,20.246,8.8597,9.0597,-,8.8597,5.3741,0.2107,3.1716,-,-,2.0596,2.0596,1.1428,1.8604,45.7093,1.8211,0.6677
2018-03-31,0.8012,0.0963,0.2084,22.4084,10.6141,10.9132,-,10.6141,6.8171,0.1955,2.9325,-,-,2.4539,2.4539,1.3712,2.2175,46.0347,1.9951,1.2108
2017-12-31,0.8159,0.1115,0.2177,19.8181,4.5358,4.8155,-,4.5358,12.5987,0.1908,3.1387,-,-,4.3234,4.3234,2.4116,3.8414,45.8835,1.76,0.6935
2017-09-30,0.8508,0.1162,0.2146,22.856,9.1375,9.3191,-,9.1375,6.4975,0.1749,2.8152,-,-,2.1591,2.1591,1.1691,1.9083,44.6538,1.7642,0.6139
2017-06-30,0.8279,0.1175,0.2257,21.4457,7.156,7.4281,-,7.156,5.7682,0.1693,2.9809,-,-,1.7564,1.7564,0.9516,1.5499,43.8608,1.6048,0.8871
2017-03-31,0.8081,0.1203,0.2373,23.4358,10.0868,10.3356,-,10.0868,6.8347,0.1705,3.0203,-,-,2.2256,2.2256,1.1882,1.9579,43.3729,1.9354,1.251
2016-12-31,0.8694,0.1427,0.246,31.5364,1.4337,1.8868,-,1.4337,3.9037,0.1303,1.9538,-,-,1.1644,1.1644,0.6128,0.9982,41.9069,1.7715,0.8402
2016-09-30,0.8585,0.1404,0.2607,18.7467,5.4979,5.6785,-,5.4979,4.5163,0.1729,3.1076,-,-,1.6321,1.6321,0.8512,1.4029,42.6839,1.2817,0.4669
2016-06-30,0.8898,0.1429,0.2514,17.9967,4.1529,4.2829,-,4.1529,2.9466,0.1685,2.9802,-,-,0.9504,0.9504,0.4908,0.8145,42.6513,1.0817,0.0594
2016-03-31,0.9082,0.1421,0.2415,19.5454,3.5519,3.7099,-,3.5519,3.7161,0.1421,2.4155,-,-,0.9978,0.9978,0.5196,0.856,43.0427,1.1517,0.0505
2015-12-31,0.7897,0.1013,0.2188,27.2596,6.5417,6.6911,-,6.5417,6.9201,0.1193,1.7988,-,-,1.6006,1.6006,0.8404,1.4385,42.5433,1.0349,-0.4204
2015-09-30,0.8615,0.1009,0.194,20.2839,8.5368,8.6526,-,8.5368,6.296,0.1977,3.2371,-,-,2.4791,2.4791,1.2869,2.229,42.4787,2.1991,0.6634
2015-06-30,0.8848,0.0979,0.1891,19.8224,9.383,9.4977,-,9.383,5.6535,0.2128,3.5661,-,-,2.381,2.381,1.2238,2.1479,42.9355,2.0983,0.4015
2015-03-31,0.9057,0.099,0.1847,20.7741,9.8125,9.9426,-,9.8125,7.3057,0.1972,3.327,-,-,2.86,2.86,1.4798,2.5769,42.441,1.8993,0.274
2014-12-31,0.8186,0.0605,0.1608,19.5163,10.1311,10.209,-,10.1311,7.5278,0.2497,4.2117,-,-,3.7456,3.7456,1.9405,3.5192,43.1002,1.7007,-0.3543
2014-09-30,0.888,0.0582,0.1165,19.9272,12.5175,12.5997,-,12.5175,7.5329,0.3037,4.8298,-,-,4.4513,4.4513,2.3659,4.1922,44.2727,2.9465,0.9993
2014-06-30,0.9207,0.0591,0.1157,19.9311,12.7248,12.7824,-,12.7248,7.8951,0.3101,4.8987,-,-,4.8461,4.8461,2.5425,4.5597,44.1104,2.3994,0.3993
2014-03-31,0.8824,0.0623,0.1168,21.5697,14.3212,14.3833,-,14.3212,8.5587,0.3012,4.4911,-,-,5.1233,5.1233,2.6541,4.8043,42.5922,3.4896,1.7964
2013-12-31,0.8269,0.0368,0.1258,20.635,13.2744,13.1373,-,13.2744,7.532,0.3197,5.453,-,-,4.7885,4.7885,2.4922,4.6124,41.6367,2.2671,0.3916
2013-09-30,0.8427,0.0405,0.1213,19.7238,12.6268,12.6731,-,12.6268,7.0035,0.3233,5.3482,-,-,4.5983,4.5983,2.3216,4.4121,40.1643,3.0975,0.9959
2013-06-30,0.8646,0.0419,0.1128,19.6689,11.9701,12.0498,-,11.9701,6.4313,0.3122,4.9826,-,-,4.065,4.065,2.0418,3.8948,38.9796,1.7687,-0.2024
2013-03-31,0.8931,0.0414,0.0775,21.9045,14.8011,14.8232,-,14.8011,8.7673,0.319,5.2136,-,-,5.6397,5.6397,2.8739,5.4062,38.9287,3.0305,1.3596
2012-12-31,1.005,0.0441,0.0675,22.515,15.5095,15.6067,-,15.5095,8.7186,0.3419,6.0809,-,-,6.0014,6.0014,3.0863,5.7365,38.1297,2.7948,0.6571
2012-09-30,1.0296,0.0492,0.0721,22.0408,15.0424,15.0937,-,15.0424,8.3115,0.3435,5.4156,-,-,5.759,5.759,2.9613,5.4754,37.8026,3.0068,1.2154
2012-06-30,1.0379,0.0502,0.0928,26.6938,20.5641,20.6033,-,20.5641,12.4919,0.3864,6.1595,-,-,10.5093,10.5093,5.3555,9.9818,36.3924,2.2457,0.4328
2012-03-31,0.9521,0.0533,0.0954,20.6259,14.119,14.2052,-,14.119,7.6177,0.3594,6.6761,-,-,5.9707,5.9707,2.839,5.6528,35.0965,4.0897,2.4266
2011-12-31,0.9414,0.0548,0.106,20.9927,14.0129,14.0746,-,14.0129,7.7297,0.3673,6.3951,-,-,6.0494,6.0494,2.9373,5.7178,33.9552,2.1449,0.4041
2011-09-30,0.9254,0.0544,0.1033,21.6516,14.9047,14.9829,-,14.9047,8.2422,0.3877,5.8693,-,-,6.5784,6.5784,3.3014,6.2206,33.8435,3.1523,1.5652
2011-06-30,0.9701,0.0697,0.1019,21.3713,14.8375,14.8734,-,14.8375,8.5109,0.3847,5.18,-,-,6.734,6.734,3.3409,6.2647,33.2857,2.6647,1.0573
2011-03-31,0.9789,0.0725,0.1008,23.3922,16.5933,16.6187,-,16.5933,9.3418,0.3568,5.3706,-,-,6.9275,6.9275,3.4153,6.4252,31.9795,3.3909,1.9724
2010-12-31,0.9417,0.0741,0.0983,22.9242,14.5713,14.6759,-,14.5713,8.7939,0.3477,6.2479,-,-,6.2327,6.2327,3.1457,5.7706,30.6646,2.9384,1.2241
2010-09-30,1.0145,0.0919,0.1215,21.9973,13.4924,13.5491,-,13.4924,7.7126,0.3177,5.1975,-,-,5.0206,5.0206,2.5204,4.559,29.8632,2.2363,0.874
2010-06-30,1.076,0.1074,0.1406,21.7611,13.7383,13.7816,-,13.7383,8.1742,0.3177,5.3843,-,-,5.3286,5.3286,2.6612,4.7564,28.5481,1.957,0.7616
2010-03-31,1.0684,0.0566,0.0803,21.7205,13.3716,13.4325,-,13.3716,6.9805,0.3718,5.2378,-,-,5.5879,5.5879,2.7086,5.2718,25.046,2.7546,1.5393
2009-12-31,1.061,0.0582,0.0832,20.0365,11.3601,11.4001,-,11.3601,6.7341,0.385,6.2183,-,-,5.3201,5.3201,2.6311,5.0106,24.4113,1.7156,0.351
2009-09-30,1.083,0.0602,0.0857,20.1495,11.1889,11.2643,-,11.1889,5.7501,0.3587,5.2193,-,-,4.345,4.345,2.1242,4.0833,23.616,1.8701,0.6973
2009-06-30,1.1527,0.0602,0.0834,19.9753,10.0958,10.5564,-,10.0958,5.3051,0.3314,4.7893,-,-,3.5501,3.5501,1.7564,3.3364,23.128,0.4835,-0.676
2009-03-31,1.3093,0.0595,0.0826,22.7229,12.2603,12.4274,-,12.2603,7.1063,0.2878,3.8908,-,-,4.2217,4.2217,2.1133,3.9706,22.8234,1.7967,0.8544
2008-12-31,1.4718,0.0564,0.0802,25.1736,16.2924,16.4317,-,16.2924,9.233,0.3714,5.4418,-,-,7.168,7.168,3.6939,6.7637,23.618,1.9297,0.932
2008-09-30,1.4198,0.0556,0.0819,24.8626,19.3797,19.6106,-,19.3797,10.7669,0.5376,6.4926,-,-,12.2647,12.2647,5.9972,11.5822,24.6287,2.9128,1.8865
2008-06-30,1.3463,0.0554,0.0772,21.9849,16.2459,16.3234,-,16.2459,8.4594,0.5176,6.7913,-,-,9.5373,9.5373,4.4628,9.0085,24.0327,2.6147,1.6784
2008-03-31,1.3772,0.0555,0.0813,23.8349,17.521,17.6323,-,17.521,9.3193,0.4526,5.7876,-,-,9.0727,9.0727,4.3268,8.5692,23.3041,3.9822,3.2424
