,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2020-09-30,2.1894,0.2884,0.4674,49.43,9.1305,9.1305,-,7.4542,6.0125,0.1006,0.9252,1.4246,63.175,1.1381,-9.3691,0.6093,0.8099,21.7954,0.9431,0.8468
2020-06-30,3.0969,0.3197,0.4699,35.8948,-21.2597,-21.2597,-,-24.4395,-19.4456,0.057,0.573,0.9808,91.7611,-2.0644,15.4329,-1.1146,-1.4045,21.2702,0.8001,0.7387
2020-03-31,2.0249,0.2325,0.3101,53.5057,-14.2743,-14.2743,-,-14.8347,-16.0014,0.1085,0.6884,1.233,72.9944,-2.9828,25.5759,-1.7361,-2.2892,21.4067,-0.0484,-0.1612
2019-12-31,2.0101,0.2195,0.2816,54.9357,12.3009,12.3009,-,12.3369,9.2144,0.1292,0.8911,1.4211,63.3312,2.0098,-21.4226,1.1903,1.5686,23.023,1.338,1.1794
2019-09-30,2.0846,0.2172,0.2798,53.4248,11.3814,11.3814,-,11.0695,8.8348,0.115,0.7405,1.3776,65.3321,1.6801,-18.3071,1.0159,1.3152,22.758,0.7102,0.6211
2019-06-30,2.0757,0.2176,0.289,53.5764,6.6871,6.6871,-,4.7157,3.6061,0.1177,0.7703,1.4418,62.4222,0.7023,-6.9241,0.4245,0.5495,23.1276,0.6425,0.5136
2019-03-31,2.0625,0.2322,0.3064,52.8113,4.9989,4.9989,-,5.6859,4.1429,0.11,0.7223,1.4369,62.6348,0.7672,-6.3802,0.4556,0.5891,22.8307,0.1302,-0.0191
2018-12-31,1.8632,0.2336,0.3229,49.5564,7.7308,7.7308,-,7.3438,0.1699,0.122,0.8923,1.5093,59.629,0.0273,-0.1948,0.0161,0.0209,23.0179,0.8988,0.6787
2018-09-30,1.7617,0.234,0.3356,51.2818,4.9009,4.9009,-,3.4145,3.0159,0.1059,0.6731,1.3225,68.0526,0.5335,-3.5379,0.3136,0.4087,23.1654,0.5666,0.3542
2018-06-30,1.6931,0.2359,0.3511,53.0467,-110.7475,-110.7475,-,-111.5344,-107.6672,0.1181,0.7344,1.4671,61.3444,-21.8089,129.6703,-12.7069,-16.6649,23.1328,0.5241,0.3235
2018-03-31,2.2342,0.197,0.2488,53.7705,7.1854,7.1854,-,9.9153,8.4928,0.0922,0.6345,1.4262,63.1064,1.2095,-11.937,0.7819,0.9712,29.4864,0.2397,0.097
2017-12-31,2.098,0.1956,0.2477,54.3813,-64.748,-64.748,-,-65.3437,-59.615,0.1052,0.7987,1.4621,61.5564,-9.81,91.3202,-6.2673,-7.8913,29.2236,1.0236,0.8408
2017-09-30,2.3248,0.1761,0.2166,55.3904,10.6916,10.6916,-,9.671,8.9774,0.0901,0.721,1.3742,65.4935,1.2083,-13.0347,0.8081,0.9955,32.6211,0.6904,0.5506
2017-06-30,2.3427,0.1791,0.2212,54.8202,-105.5707,-105.5707,-,-107.263,-105.7721,0.0915,0.7515,1.4946,60.2176,-14.4387,129.8591,-9.6802,-11.8524,31.7235,0.5572,0.4091
2017-03-31,2.3018,0.1577,0.19,54.6363,9.3504,9.3504,-,8.5064,6.6408,0.0777,0.7229,1.5043,59.8268,0.7313,-7.9632,0.5149,0.616,35.5094,0.3526,0.2265
2016-12-31,2.2714,0.1568,0.1886,54.3402,13.4672,13.4672,-,13.3066,10.7376,0.0862,0.8799,1.5668,57.441,1.3279,-13.768,0.9337,1.1196,35.3146,1.0993,0.8714
