,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$4,027","$7,439","$-3,412",-,$95,$-565,"$6,542","$-2,515",$-294,"$-2,809",$-631,"$-2,178",-,"$-2,178",-,"$-2,178","$-2,515","$-2,515",484,484,$-3.57,$-3.57
2020-09-30,"$3,173","$5,112","$-1,939",-,$70,$-364,"$6,044","$-2,871",$-224,"$-3,095",$-696,"$-2,399",-,"$-2,399",-,"$-2,399","$-2,871","$-2,871",509,509,$-4.71,$-4.71
2020-06-30,"$1,622","$4,492","$-2,870",-,$43,$926,"$4,108","$-2,486",$-173,"$-2,659",$-592,"$-2,067",-,"$-2,067",-,"$-2,067","$-2,486","$-2,486",429,429,$-4.82,$-4.82
2020-03-31,"$8,515","$7,890",$625,-,$305,"$-2,309","$11,064","$-2,549",$-341,"$-2,890",$-649,"$-2,241",-,"$-2,241",-,"$-2,241","$-2,549","$-2,549",426,426,$-5.26,$-5.26
2019-12-31,"$11,313","$10,268","$1,045",-,$407,"$-1,377","$10,584",$729,$-157,$572,$158,$414,-,$414,-,$414,$729,$729,443,444,$0.94,$0.93
2019-09-30,"$11,911","$8,616","$3,295",-,$424,"$-1,564","$11,103",$808,$-251,$557,$132,$425,-,$425,-,$425,$808,$808,442,442,$0.96,$0.96
2019-06-30,"$11,960","$8,525","$3,435",-,$401,"$-1,392","$10,807","$1,153",$-271,$882,$220,$662,-,$662,-,$662,"$1,153","$1,153",445,446,$1.49,$1.49
2019-03-31,"$10,584","$7,970","$2,614",-,$370,"$-1,389","$10,209",$375,$-130,$245,$60,$185,-,$185,-,$185,$375,$375,452,453,$0.41,$0.41
2018-12-31,"$10,938","$9,921","$1,017",-,$384,"$-1,427","$10,367",$571,$-177,$394,$69,$325,-,$325,-,$325,$571,$571,464,466,$0.69,$0.68
2018-09-30,"$11,559","$8,544","$3,015",-,$395,"$-1,467","$10,874",$685,$-189,$496,$124,$372,-,$372,-,$372,$685,$685,461,462,$0.81,$0.81
2018-06-30,"$11,643","$8,302","$3,341",-,$385,"$-1,495","$10,639","$1,004",$-248,$756,$200,$556,-,$556,-,$556,"$1,004","$1,004",464,465,$1.20,$1.20
2018-03-31,"$10,401","$7,723","$2,678",-,$356,"$-1,486","$10,005",$396,$-158,$238,$79,$159,-,$159,-,$159,$396,$396,472,475,$0.34,$0.34
2017-12-31,"$10,610","$7,605","$3,005",-,$383,"$-1,537","$9,971",$639,$-231,$408,$991,$-583,-,$-583,-,$-583,$639,$639,489,492,$-1.17,$-1.17
2017-09-30,"$10,965","$7,516","$3,449",-,$400,"$-1,360","$9,709","$1,256",$-193,"$1,063",$402,$661,-,$661,-,$661,"$1,256","$1,256",485,487,$1.36,$1.36
2017-06-30,"$11,227","$7,408","$3,819",-,$376,"$-1,426","$9,628","$1,599",$-210,"$1,389",$525,$864,-,$864,-,$864,"$1,599","$1,599",491,493,$1.76,$1.75
2017-03-31,"$9,820","$7,061","$2,759",-,$318,"$-1,299","$9,083",$737,$-202,$535,$195,$340,-,$340,-,$340,$737,$737,504,508,$0.67,$0.67
2016-12-31,"$9,750","$6,970","$2,780",-,$334,"$-1,506","$9,207",$543,$-190,$353,$156,$197,-,$197,-,$197,$543,$543,552,556,$0.44,$0.43
