,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$13,858","$4,684","$9,174","$1,890","$3,231",-,"$10,105","$3,753","$-5,260","$-1,507","$-1,545",$38,-,$38,-,$36,-,"$3,753",-,"1,776",-,$0.01
2020-09-30,"$12,902","$5,050","$7,852","$1,706","$2,846",-,"$9,647","$3,255",$-755,"$2,500",$187,"$2,313",-,"$2,313",-,"$2,308","$5,547","$3,255","1,769","1,774",$1.30,$1.29
2020-06-30,"$10,425","$3,711","$6,714","$1,582","$3,527",-,"$9,673",$752,"$-1,445",$-693,$46,$-739,-,$-739,-,$-738,"$2,307",$752,"1,647","1,647",$-0.46,$-0.46
2020-03-31,"$8,619","$1,942","$6,677","$1,379","$1,695",-,"$5,016","$3,603",$-505,"$3,098",$88,"$3,010",-,"$3,010",-,"$3,010","$4,162","$3,603","1,481","1,484",$2.02,$2.02
2019-12-31,"$8,704","$2,006","$6,698","$1,542","$1,951",-,"$4,748","$3,956",$-882,"$3,074",$273,"$2,801",-,"$2,801",-,"$2,801","$4,465","$3,956","1,481","1,484",$1.89,$1.88
2019-09-30,"$8,479","$1,920","$6,559","$2,285","$1,657",-,"$5,862","$2,617",$-616,"$2,001",$117,"$1,884",-,"$1,884",-,"$1,884","$3,120","$2,617","1,481","1,483",$1.27,$1.26
2019-06-30,"$8,255","$1,819","$6,436","$1,291","$1,654",-,"$4,855","$3,400","$-2,593",$807,$66,$741,-,$741,-,$741,"$3,902","$3,400","1,480","1,484",$0.49,$0.49
2019-03-31,"$7,828","$1,694","$6,134","$1,289","$1,680",-,"$4,818","$3,010",$-466,"$2,544",$88,"$2,456",-,"$2,456",-,"$2,456","$3,513","$3,010","1,480","1,483",$1.65,$1.65
2018-12-31,"$8,305","$2,022","$6,283","$6,495","$1,929",-,"$10,746","$-2,441",$68,"$-2,373",$-547,"$-1,826",-,"$-1,826",-,"$-1,826","$-1,999","$-2,441","1,541","1,546",$-1.14,$-1.15
2018-09-30,"$8,236","$1,835","$6,401","$1,268","$1,919",-,"$5,077","$3,159",$-398,"$2,761",$14,"$2,747",-,"$2,747",-,"$2,747","$3,594","$3,159","1,511","1,515",$1.81,$1.81
2018-06-30,"$8,278","$1,934","$6,344","$1,322","$1,760",$-500,"$5,516","$2,762",$-750,"$2,012",$29,"$1,983",-,"$1,983",-,"$1,983","$3,205","$2,762","1,568","1,572",$1.26,$1.26
2018-03-31,"$7,934","$1,927","$6,007","$1,244","$1,791",-,"$5,031","$2,903",$-106,"$2,797",$14,"$2,783",-,"$2,783",-,"$2,783","$3,348","$2,903","1,591","1,596",$1.74,$1.74
2017-12-31,"$7,739","$2,281","$5,458","$1,408","$1,956",-,"$5,957","$1,782",$-589,"$1,193","$1,141",$52,-,$52,-,$52,"$2,151","$1,782","1,596","1,603",$0.02,$0.04
2017-09-30,"$6,995","$1,616","$5,379","$1,228","$1,457",-,"$4,301","$2,694",$-599,"$2,095",$464,"$1,631",-,"$1,631",-,"$1,631","$3,073","$2,694","1,597","1,603",$1.02,$1.01
2017-06-30,"$6,944","$1,529","$5,415","$1,229","$1,509",-,"$4,282","$2,662",$-309,"$2,353",$438,"$1,915",-,"$1,915",-,"$1,915","$3,041","$2,662","1,595","1,600",$1.20,$1.19
