,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,$231.663,$41.11,$190.553,$33.004,$86.198,-,$160.312,$71.351,$9.384,$80.735,$18.867,$61.868,-,$61.868,-,$61.868,$77.485,$71.351,45,46,$1.37,$1.35
2020-09-30,$209.764,$38.736,$171.028,$30.525,$79.167,-,$148.428,$61.336,$11.579,$72.915,$10.702,$62.213,-,$62.213,-,$62.213,$66.993,$61.336,45,46,$1.38,$1.36
2020-06-30,$164.85,$35.983,$128.867,$26.357,$68.444,-,$130.784,$34.066,$27.01,$61.076,$16.488,$44.588,-,$44.588,-,$44.588,$39.546,$34.066,45,46,$0.99,$0.98
2020-03-31,$206.659,$39.369,$167.29,$25.345,$83.892,-,$148.606,$58.053,$-18.74,$39.313,$7.515,$31.798,-,$31.798,-,$31.798,$64.056,$58.053,45,46,$0.70,$0.71
2019-12-31,$221.584,$39.996,$181.588,$25.655,$85.674,-,$151.325,$70.259,$26.757,$97.016,$27.799,$69.217,-,$69.217,-,$69.217,$75.634,$70.259,45,46,$1.53,$1.51
2019-09-30,$204.974,$34.867,$170.107,$23.969,$85.956,-,$144.792,$60.182,$-42.824,$17.358,$4.287,$13.071,-,$13.071,-,$13.071,$64.869,$60.182,45,46,$0.29,$0.28
2019-06-30,$207.666,$37.073,$170.593,$23.79,$86.078,-,$146.941,$60.725,$42.413,$103.138,$14.215,$88.923,-,$88.923,-,$88.923,$65.09,$60.725,45,46,$1.97,$1.93
2019-03-31,$207.081,$34.848,$172.233,$25.548,$81.296,-,$141.692,$65.389,$33.141,$98.53,$24.569,$73.961,-,$73.961,-,$73.961,$69.574,$65.389,45,46,$1.64,$1.60
2018-12-31,$200.563,$34.023,$166.54,$23.965,$80.22,-,$138.208,$62.355,$2.155,$64.51,$19.648,$44.862,-,$44.862,-,$44.862,$65.944,$62.355,45,46,$1.00,$0.97
2018-09-30,$181.778,$29.846,$151.932,$22.717,$78.895,-,$131.458,$50.32,$1.513,$51.833,$1.706,$50.127,-,$50.127,-,$50.127,$53.708,$50.32,45,46,$1.11,$1.09
2018-06-30,$180.01,$30.85,$149.16,$21.273,$81.139,-,$133.262,$46.748,$1.739,$48.487,$-41.579,$90.066,-,$90.066,-,$90.066,$49.707,$46.748,45,46,$2.02,$1.95
2018-03-31,$174.436,$30.098,$144.338,$21.27,$75.501,-,$126.869,$47.567,$0.94,$48.507,$11.66,$36.847,-,$36.847,-,$36.847,$50.472,$47.567,44,46,$0.83,$0.80
2017-12-31,$154.022,$24.994,$129.028,$17.706,$66.556,-,$109.256,$44.766,$0.888,$45.654,$32.208,$13.446,-,$13.446,-,$13.446,$47.546,$44.766,44,46,$0.30,$0.29
2017-09-30,$132.823,$21.627,$111.196,$19.39,$60.08,-,$101.097,$31.726,$0.758,$32.484,$7.981,$24.503,-,$24.503,-,$24.503,$34.583,$31.726,44,46,$0.56,$0.54
2017-06-30,$132.468,$21.862,$110.606,$16.931,$60.597,-,$99.39,$33.078,$0.714,$33.792,$-3.582,$37.374,-,$37.374,-,$37.374,$35.541,$33.078,44,46,$0.85,$0.82
2017-03-31,$124.68,$19.261,$105.419,$16.325,$60.1,-,$95.686,$28.994,$0.362,$29.356,$14.457,$14.899,-,$14.899,-,$14.899,$30.708,$28.994,43,45,$0.34,$0.34
2016-12-31,$114.674,$18.987,$95.687,$16.349,$53.935,-,$89.271,$25.403,$0.423,$25.826,$10.394,$15.432,-,$15.432,-,$15.432,$26.933,$25.403,43,45,$0.36,$0.34
2016-09-30,$102.955,$17.309,$85.646,$18.052,$53.086,-,$88.447,$14.508,$0.228,$14.736,$5.861,$8.875,-,$8.875,-,$8.875,$16.06,$14.508,43,45,$0.21,$0.20
2016-06-30,$102.995,$15.07,$87.925,$15.66,$51.032,-,$81.762,$21.233,$0.192,$21.425,$8.515,$12.91,-,$12.91,-,$12.91,$22.639,$21.233,43,45,$0.30,$0.29
2016-03-31,$93.957,$14.663,$79.294,$14.225,$45.256,-,$74.144,$19.813,$0.414,$20.227,$9.229,$10.998,-,$10.998,-,$10.998,$20.876,$19.813,42,45,$0.26,$0.25
2015-12-31,$85.795,$12.744,$73.051,$13.755,$41.853,-,$68.352,$17.443,$0.055,$17.498,$6.943,$10.555,-,$10.555,-,$10.555,$18.305,$17.443,42,45,$0.25,$0.23
2015-09-30,$76.359,$12.144,$64.215,$11.569,$39.829,-,$63.542,$12.817,$0.149,$12.966,$5.231,$7.735,-,$7.735,-,$7.735,$13.506,$12.817,42,45,$0.18,$0.17
2015-06-30,$73.432,$10.868,$62.564,$10.21,$37.323,-,$58.401,$15.031,$0.116,$15.147,$6.288,$8.859,-,$8.859,-,$8.859,$15.694,$15.031,42,44,$0.21,$0.20
2015-03-31,$67.557,$10.806,$56.751,$9.853,$34.535,-,$55.194,$12.363,$0.009,$12.372,$-86.502,$98.874,-,$98.874,-,$98.874,$13.337,$12.363,41,43,$2.44,$2.30
2014-12-31,$62.005,$9.838,$52.167,$8.365,$30.139,-,$48.342,$13.663,$0.038,$13.701,$1.017,$12.684,-,$12.684,-,$12.684,$14.263,$13.663,41,43,$0.31,$0.30
2014-09-30,$51.938,$9.612,$42.326,$8.693,$29.455,-,$47.76,$4.178,$-0.003,$4.175,$0.336,$3.839,-,$3.839,-,$3.839,$4.753,$4.178,40,42,$0.09,$0.09
2014-06-30,$48.811,$9.689,$39.122,$9.062,$31.598,-,$50.349,$-1.538,$0.055,$-1.483,$0.226,$-1.709,-,$-1.709,-,$-1.709,$-0.917,$-1.538,40,40,$-0.04,$-0.04
2014-03-31,$50.433,$10.114,$40.319,$7.92,$28.721,-,$46.755,$3.678,$0.084,$3.762,$0.14,$3.622,-,$3.622,-,$3.622,$4.323,$3.678,39,42,$0.09,$0.08
2013-12-31,$46.195,$9.458,$36.737,$7.779,$24.364,-,$41.601,$4.594,$0.057,$4.651,$0.258,$4.393,-,$4.393,-,$4.393,$5.135,$4.594,40,42,$0.11,$0.11
2013-09-30,$44.345,$9.027,$35.318,$7.721,$26.199,-,$42.947,$1.398,$0.031,$1.429,$0.37,$1.059,-,$1.059,-,$1.059,$2.068,$1.398,39,41,$0.03,$0.03
2013-06-30,$42.67,$8.723,$33.947,$7.287,$27.967,-,$43.977,$-1.307,$-0.005,$-1.312,$0.411,$-1.723,-,$-1.723,-,$-1.723,$-0.655,$-1.307,39,39,$-0.04,$-0.04
2013-03-31,$43.674,$8.826,$34.848,$6.822,$23.894,-,$39.542,$4.132,$0.008,$4.14,$0.398,$3.742,-,$3.742,-,$3.742,$4.769,$4.132,39,41,$0.09,$0.09
2012-12-31,$38.25,$8.13,$30.12,$6.259,$20.943,-,$35.332,$2.918,$0.325,$3.243,$0.559,$2.684,-,$2.684,-,$2.684,$3.555,$2.918,39,41,$0.07,$0.07
2012-09-30,$37.417,$7.194,$30.223,$5.854,$18.437,-,$31.485,$5.932,$-0.008,$5.924,$0.455,$5.469,-,$5.469,-,$5.469,$6.539,$5.932,39,42,$0.14,$0.13
