,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$1,238",-,"$1,238",-,"$1,203",-,"$1,391",$-153,$398,$245,$410,$-165,-,$-165,-,$-165,-,$-153,41,41,$-4.02,$-4.02
2020-09-30,"$2,640",-,"$2,640",-,"$1,596",-,"$2,325",$315,$520,$835,$34,$801,-,$801,-,$801,"$1,018",$315,41,41,$19.56,$19.49
2020-06-30,$630,-,$630,-,$968,-,"$1,114",$-484,$693,$209,$87,$122,-,$122,-,$122,$-353,$-484,41,41,$2.98,$2.97
2020-03-31,"$2,288",-,"$2,288",-,"$1,991",-,"$2,597",$-309,$-413,$-722,$-23,$-699,-,$-699,-,$-699,$311,$-309,41,41,$-17.01,$-17.01
2019-12-31,"$3,339",-,"$3,339",-,"$2,050",-,"$2,167","$1,172",$248,"$1,420",$249,"$1,171",-,"$1,171",-,"$1,171","$1,304","$1,172",43,44,$27.29,$26.99
2019-09-30,"$5,040",-,"$5,040",-,"$2,553",-,"$2,670","$2,370",$-7,"$2,363",$413,"$1,950",-,"$1,950",-,"$1,950","$2,502","$2,370",42,43,$46.01,$45.54
2019-06-30,"$3,850",-,"$3,850",-,"$2,484",-,"$2,603","$1,247",$-40,"$1,207",$228,$979,-,$979,-,$979,"$1,380","$1,247",43,44,$22.62,$22.44
2019-03-31,"$2,837",-,"$2,837",-,"$2,165",-,"$2,281",$556,$412,$968,$203,$765,-,$765,-,$765,$686,$556,45,45,$17.01,$16.85
2018-12-31,"$3,213",-,"$3,213",-,"$1,961",-,"$2,070","$1,143",$-511,$632,$-14,$646,-,$646,-,$646,"$1,266","$1,143",47,48,$13.97,$13.77
2018-09-30,"$4,849",-,"$4,849",-,"$2,495",-,"$2,602","$2,247",$-7,"$2,240",$473,"$1,767",-,"$1,767",-,"$1,767","$2,369","$2,247",47,48,$37.39,$37.02
2018-06-30,"$3,537",-,"$3,537",-,"$2,209",-,"$2,316","$1,221",$-11,"$1,210",$232,$978,-,$978,-,$978,"$1,341","$1,221",48,49,$20.34,$20.13
2018-03-31,"$2,928",-,"$2,928",-,"$2,095",-,"$2,198",$730,$23,$753,$146,$607,-,$607,-,$607,$850,$730,48,49,$12.56,$12.34
2017-12-31,"$2,803.011",$39.993,"$2,763.018",-,"$1,678.752",-,"$1,816.533",$986.478,$-45.05,$941.428,"$1,496.651",$-555.223,-,$-555.223,-,$-555.223,"$1,103.53",$986.478,49,50,$-11.26,$-11.07
2017-09-30,"$4,434.029",$54.181,"$4,379.848",-,"$2,182.137",-,"$2,332.228","$2,101.801",$-34.956,"$2,066.845",$346.454,"$1,720.391",-,"$1,720.391",-,"$1,720.391","$2,217.552","$2,101.801",49,50,$35.12,$34.43
2017-06-30,"$3,024.556",$67.425,"$2,957.131",-,"$1,978",-,"$2,131.297",$893.259,$-30.142,$863.117,$142.908,$720.209,-,$720.209,-,$720.209,$999.334,$893.259,49,50,$14.66,$14.39
2017-03-31,"$2,419.404",$80.401,"$2,339.003",-,"$1,699.111",-,"$1,862.942",$556.462,$-28.852,$527.61,$71.987,$455.623,-,$455.623,-,$455.623,$659.584,$556.462,49,50,$9.26,$9.11
2016-12-31,"$2,348.427",$58.758,"$2,289.669",-,"$1,419.649",-,"$1,558.379",$790.048,$-27.623,$762.425,$88.504,$673.921,-,$673.921,-,$673.921,$889.761,$790.048,49,50,$13.65,$13.45
