,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$4,478",-,"$4,478",-,"$1,815",$-788,"$2,630","$1,848",$319,"$2,167",$427,"$1,740",-,"$1,740",-,"$1,548",-,"$1,848",153,155,$10.15,$10.02
2020-09-30,"$4,369",-,"$4,369",-,"$1,872",$-713,"$2,612","$1,757",$224,"$1,981",$464,"$1,517",-,"$1,517",-,"$1,364","$1,874","$1,757",152,154,$8.94,$8.87
2020-06-30,"$3,648",-,"$3,648",-,"$1,540",$-675,"$2,242","$1,406",$357,"$1,763",$361,"$1,402",-,"$1,402",-,"$1,214","$1,520","$1,406",154,155,$7.90,$7.85
2020-03-31,"$3,710",-,"$3,710",-,"$2,279",$-722,"$3,026",$684,$-71,$613,$-14,$627,-,$627,-,$806,$795,$684,155,156,$5.19,$5.15
2019-12-31,"$3,977",-,"$3,977",-,"$1,727",$-683,"$2,439","$1,538",$96,"$1,634",$300,"$1,334",-,"$1,334",-,"$1,301","$1,540","$1,538",156,157,$8.37,$8.26
2019-09-30,"$3,692",-,"$3,692",-,"$1,496",$-666,"$2,190","$1,502",$-42,"$1,460",$341,"$1,119",-,"$1,119",-,"$1,119","$1,607","$1,502",155,156,$7.21,$7.15
2019-06-30,"$3,524",-,"$3,524",-,"$1,553",$-668,"$2,246","$1,278",$57,"$1,335",$322,"$1,013",-,"$1,013",-,"$1,003","$1,378","$1,278",155,156,$6.46,$6.41
2019-03-31,"$3,346",-,"$3,346",-,"$1,452",$-646,"$2,113","$1,233",$125,"$1,358",$298,"$1,060",-,"$1,060",-,"$1,053","$1,322","$1,233",158,159,$6.65,$6.61
2018-12-31,"$3,434",-,"$3,434",-,"$1,469",$-644,"$2,188","$1,246",$-72,"$1,174",$247,$927,-,$927,-,$927,"$1,302","$1,246",160,162,$5.85,$5.74
2018-09-30,"$3,576",-,"$3,576",-,"$1,510",$-657,"$2,180","$1,396",$33,"$1,429",$226,"$1,203",-,"$1,203",-,"$1,216","$1,453","$1,396",160,161,$7.59,$7.54
