,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$11,235","$7,784","$3,451",$374,"$1,216",$-353,"$9,855","$1,380",$-439,$941,$167,$774,-,$780,-,$780,"$2,125","$1,508",544,549,$1.44,$1.42
2020-09-30,"$9,881","$6,919","$2,962",$344,"$1,126",$-370,"$8,896",$985,$-122,$863,$187,$676,-,$671,-,$668,"$1,715","$1,122",542,546,$1.23,$1.22
2020-06-30,"$9,997","$7,113","$2,884",$341,"$1,179",$-431,"$9,213",$784,$-106,$678,$227,$451,-,$459,-,$458,"$1,541",$933,542,545,$0.84,$0.84
2020-03-31,"$10,635","$7,266","$3,369",$356,"$1,121",$-313,"$9,231","$1,404",$109,"$1,513",$425,"$1,088",-,"$1,093",-,"$1,092","$2,193","$1,579",547,551,$2.00,$1.98
2019-12-31,"$13,144","$9,117","$4,027",$386,"$1,283",$-325,"$11,294","$1,850",$-485,"$1,365",$276,"$1,089",-,"$1,097",-,"$1,098","$2,677","$2,033",562,568,$2.02,$2.00
2019-09-30,"$12,758","$8,569","$4,189",$431,"$1,251",$-298,"$10,738","$2,020",$-15,"$2,005",$518,"$1,487",-,"$1,494",-,"$1,494","$2,854","$2,209",556,561,$2.69,$2.66
2019-06-30,"$14,432","$9,941","$4,491",$441,"$1,309",$-336,"$12,219","$2,213",$-35,"$2,178",$565,"$1,613",-,"$1,619",-,"$1,620","$3,052","$2,405",568,573,$2.85,$2.83
2019-03-31,"$13,466","$9,003","$4,463",$435,"$1,319",$-312,"$11,259","$2,207",$57,"$2,264",$387,"$1,877",-,"$1,884",-,"$1,881","$3,038","$2,397",572,579,$3.29,$3.25
2018-12-31,"$14,342","$9,987","$4,355",$466,"$1,463",$-354,"$12,459","$1,883",$-516,"$1,367",$321,"$1,046",-,"$1,049",-,"$1,048","$2,773","$2,072",591,599,$1.83,$1.82
2018-09-30,"$13,510","$9,022","$4,488",$479,"$1,299",$-390,"$11,375","$2,135",-,"$2,135",$415,"$1,720",-,"$1,727",-,"$1,727","$3,018","$2,320",592,599,$2.92,$2.88
2018-06-30,"$14,011","$9,422","$4,589",$462,"$1,440",$-338,"$11,844","$2,167",$19,"$2,186",$490,"$1,696",-,"$1,705",-,"$1,707","$3,035","$2,349",596,604,$2.86,$2.82
2018-03-31,"$12,859","$8,566","$4,293",$443,"$1,276",$-300,"$10,751","$2,108",$26,"$2,134",$472,"$1,662",-,"$1,667",-,"$1,665","$2,955","$2,274",598,608,$2.78,$2.74
2017-12-31,"$12,896","$8,965","$3,931",$498,"$1,380",$-504,"$11,509","$1,387",$-276,"$1,111","$2,418","$-1,307",-,"$-1,299",-,"$-1,299","$2,273","$1,549",592,599,$-2.21,$-2.18
2017-09-30,"$11,413","$7,678","$3,735",$461,"$1,254",$-348,"$9,904","$1,509",$14,"$1,523",$470,"$1,053",-,"$1,061",-,"$1,059","$2,395","$1,672",593,600,$1.79,$1.77
