,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$4,324","$1,681","$2,643",-,"$1,633",$-41,"$3,355",$969,$-75,$894,$202,$692,-,$692,-,$647,"$1,108",$969,857,859,$0.77,$0.76
2020-09-30,"$4,153","$1,613","$2,540",-,"$1,518",$-4,"$3,135","$1,018",$-51,$967,$222,$745,-,$745,-,$698,"$1,152","$1,018",859,862,$0.81,$0.81
2020-06-30,"$3,897","$1,528","$2,369",-,"$1,395",$-28,"$2,951",$946,$-55,$891,$216,$675,-,$675,-,$635,"$1,079",$946,857,859,$0.74,$0.74
2020-03-31,"$4,097","$1,632","$2,465",-,"$1,473",$-40,"$3,145",$952,$-57,$895,$147,$748,-,$748,-,$715,"$1,085",$952,857,858,$0.83,$0.83
2019-12-31,"$4,015","$1,601","$2,414",-,"$1,412",$-71,"$3,084",$931,$-61,$870,$188,$682,-,$682,-,$643,"$1,064",$931,859,861,$0.76,$0.75
2019-09-30,"$3,928","$1,612","$2,316",-,"$1,429",$-31,"$3,072",$856,$-62,$794,$167,$627,-,$627,-,$578,$986,$856,859,861,$0.67,$0.67
2019-06-30,"$3,866","$1,558","$2,308",-,"$1,369",$-51,"$2,978",$888,$-65,$823,$205,$618,-,$618,-,$586,"$1,016",$888,859,862,$0.68,$0.68
2019-03-31,"$3,884","$1,597","$2,287",-,"$1,365",$-43,"$3,005",$879,$-65,$814,$214,$600,-,$600,-,$560,"$1,007",$879,862,863,$0.65,$0.65
2018-12-31,"$3,811","$1,558","$2,253",-,"$1,328",$-34,"$2,920",$891,$-59,$832,$189,$643,-,$643,-,$606,"$1,017",$891,871,873,$0.71,$0.70
2018-09-30,"$3,845","$1,576","$2,269",-,"$1,369",$-26,"$2,971",$874,$-54,$820,$258,$562,-,$562,-,$523,"$1,001",$874,869,871,$0.60,$0.60
2018-06-30,"$3,886","$1,585","$2,301",-,"$1,300",$-55,"$2,940",$946,$-58,$888,$213,$675,-,$675,-,$637,"$1,075",$946,872,874,$0.73,$0.73
2018-03-31,"$4,002","$1,594","$2,408",-,"$1,392",$-33,"$3,019",$983,$-59,$924,$246,$678,-,$678,-,$634,"$1,112",$983,875,880,$0.72,$0.72
2017-12-31,"$3,892","$1,564","$2,328",-,"$1,345",$-23,"$2,932",$960,$-64,$896,$543,$353,-,$353,-,$323,"$1,081",$960,882,888,$0.38,$0.37
2017-09-30,"$3,974","$1,591","$2,383",-,"$1,410",$-16,"$3,017",$957,$-57,$900,$250,$650,-,$650,-,$607,"$1,085",$957,881,886,$0.69,$0.68
2017-06-30,"$3,826","$1,526","$2,300",-,"$1,309",$-113,"$2,948",$878,$-49,$829,$269,$560,-,$560,-,$524,$995,$878,884,891,$0.59,$0.59
2017-03-31,"$3,762","$1,493","$2,269",-,"$1,336",$-21,"$2,850",$912,$-50,$862,$251,$611,-,$611,-,$570,"$1,021",$912,885,891,$0.64,$0.64
2016-12-31,"$3,721","$1,474","$2,247",-,"$1,147",$-27,"$2,648","$1,073",$-139,$934,$306,$628,-,$628,-,$606,"$1,187","$1,073",892,898,$0.68,$0.68
