,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$5,830","$4,469","$1,361",$255,$576,$99,"$5,201",$629,$6,$635,$125,$510,-,$510,-,$501,$803,$629,148,149,$3.39,$3.38
2020-09-30,"$5,118","$3,769","$1,349",$224,$533,$78,"$4,448",$670,$16,$686,$182,$504,-,$504,-,$501,$836,$670,148,149,$3.39,$3.36
2020-06-30,"$3,852","$2,962",$890,$189,$470,$105,"$3,516",$336,$26,$362,$93,$269,-,$269,-,$276,$501,$336,148,148,$1.87,$1.86
2020-03-31,"$5,011","$3,717","$1,294",$238,$546,$124,"$4,377",$634,$21,$655,$127,$528,-,$528,-,$511,$802,$634,149,150,$3.42,$3.41
2019-12-31,"$5,578","$4,265","$1,313",$271,$632,$63,"$5,224",$354,$9,$363,$65,$298,-,$298,-,$300,$533,$354,155,156,$2.04,$2.04
2019-09-30,"$5,768","$4,274","$1,494",$242,$600,$47,"$5,069",$699,$56,$755,$139,$616,-,$616,-,$622,$877,$699,156,157,$3.99,$3.97
2019-06-30,"$6,221","$4,580","$1,641",$251,$629,$87,"$5,373",$848,$23,$871,$186,$685,-,$685,-,$675,"$1,006",$848,157,158,$4.29,$4.27
2019-03-31,"$6,004","$4,472","$1,532",$237,$593,$97,"$5,205",$799,$46,$845,$176,$669,-,$669,-,$663,$956,$799,157,158,$4.22,$4.20
2018-12-31,"$6,126","$4,580","$1,546",$244,$643,$72,"$5,395",$731,$-21,$710,$100,$610,-,$610,-,$579,$886,$731,162,163,$3.61,$3.59
2018-09-30,"$5,943","$4,392","$1,551",$229,$604,$85,"$5,140",$803,$2,$805,$107,$698,-,$698,-,$692,$951,$803,161,162,$4.29,$4.28
2018-06-30,"$6,132","$4,692","$1,440",$219,$613,$114,"$5,410",$722,$-7,$715,$161,$554,-,$554,-,$545,$876,$722,164,164,$3.33,$3.32
2018-03-31,"$5,570","$4,370","$1,200",$210,$577,$117,"$5,040",$530,$-7,$523,$198,$325,-,$325,-,$325,$684,$530,165,166,$1.97,$1.96
2017-12-31,"$5,476","$4,100","$1,376",$208,$643,$61,"$4,890",$586,$10,$596,$905,$-309,-,$-309,-,$-274,$736,$586,167,167,$-1.62,$-1.63
2017-09-30,"$5,285","$3,944","$1,341",$213,$633,$127,"$4,663",$622,-,$622,$165,$457,-,$457,-,$453,$771,$622,166,167,$2.72,$2.71
2017-06-30,"$5,078","$3,827","$1,251",$175,$606,$116,"$4,492",$586,$13,$599,$158,$441,-,$441,-,$424,$731,$586,167,168,$2.53,$2.53
2017-03-31,"$4,589","$3,457","$1,132",$158,$547,$113,"$4,049",$540,$8,$548,$143,$405,-,$405,-,$396,$679,$540,168,168,$2.36,$2.36
2016-12-31,"$4,503","$3,377","$1,126",$159,$572,$64,"$4,044",$459,$49,$508,$112,$396,-,$396,-,$378,$598,$459,169,169,$2.25,$2.24
2016-09-30,"$4,187","$3,108","$1,079",$157,$513,$-25,"$3,803",$384,$-2,$382,$82,$300,-,$300,-,$289,$516,$384,168,168,$1.72,$1.72
