,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2020-12-31,"$2,054",$568,"$1,486",-,$897,-,"$1,769",$285,$-31,$254,$54,$200,-,$200,-,$151,-,$285,549,552,$0.28,$0.27
2020-09-30,"$1,622",$233,"$1,389",-,$781,-,"$1,320",$302,$-185,$117,$-10,$127,-,$127,$-6,$69,$616,$302,545,548,$0.13,$0.13
2020-06-30,"$1,575",$271,"$1,304",-,$772,-,"$1,340",$235,$-71,$164,$29,$135,-,$135,$-30,$59,$540,$235,528,531,$0.11,$0.11
2020-03-31,"$2,167",$673,"$1,494",-,$810,-,"$1,950",$217,"$-1,617","$-1,400",$-347,"$-1,053",-,"$-1,053",$-146,"$-1,228",$507,$217,502,502,$-2.44,$-2.44
2019-12-31,"$2,019",$603,"$1,416",-,$855,-,"$1,745",$274,$-120,$154,$17,$137,-,$137,$20,$128,$586,$274,502,505,$0.25,$0.25
2019-09-30,"$1,658",$251,"$1,407",-,$734,-,"$1,301",$357,$-60,$297,$46,$251,-,$251,$19,$241,$706,$357,502,505,$0.48,$0.47
2019-06-30,"$1,658",$321,"$1,337",-,$786,-,"$1,429",$229,$-63,$166,$15,$151,-,$151,$44,$165,$579,$229,502,505,$0.33,$0.33
2019-03-31,"$2,229",$844,"$1,385",-,$874,-,"$2,018",$211,$-54,$157,$14,$143,-,$143,$26,$140,$540,$211,502,504,$0.28,$0.28
2018-12-31,"$-1,276","$-2,382","$1,106",-,$654,-,"$-1,480",$204,$14,$218,$70,$148,-,$148,-,$90,$479,$204,449,452,$0.18,$0.18
2018-09-30,"$2,212",$998,"$1,214",-,$662,-,"$1,986",$226,$-17,$209,$51,$158,-,$158,-,$153,$568,$226,432,435,$0.35,$0.35
2018-06-30,"$2,186",$978,"$1,208",-,$679,-,"$1,999",$187,$-275,$-88,$-13,$-75,-,$-75,-,$-75,$541,$187,432,432,$-0.17,$-0.17
2018-03-31,"$3,155","$1,910","$1,245",-,$680,-,"$2,904",$251,$-39,$212,$47,$165,-,$165,-,$165,$571,$251,431,434,$0.38,$0.38
2017-12-31,"$2,638","$1,345","$1,293",-,$698,-,"$2,330",$308,$-22,$286,"$-1,010","$1,296",-,"$1,296",-,"$1,296",$601,$308,431,434,$3.01,$2.99
2017-09-30,"$2,098",$938,"$1,160",-,$594,-,"$1,801",$297,$-30,$267,$98,$169,-,$169,-,$169,$572,$297,431,434,$0.39,$0.39
2017-06-30,"$2,143","$1,032","$1,111",-,$617,-,"$1,903",$240,$-29,$211,$76,$135,-,$135,-,$135,$500,$240,431,434,$0.31,$0.31
2017-03-31,"$2,735","$1,579","$1,156",-,$639,-,"$2,444",$291,$8,$299,$107,$192,-,$192,-,$192,$523,$291,431,433,$0.45,$0.44
2016-12-31,"$2,081",$935,"$1,146",-,$586,-,"$1,774",$307,$-145,$162,$61,$101,-,$101,-,$101,$567,$307,431,434,$0.23,$0.24
2016-09-30,"$1,889",$683,"$1,206",-,$598,-,"$1,605",$284,$-8,$276,$97,$179,-,$179,-,$179,$614,$284,431,433,$0.42,$0.41
2016-06-30,"$1,574",$496,"$1,078",-,$607,-,"$1,392",$182,$-174,$8,$10,$-2,-,$-2,-,$-2,$478,$182,431,431,$-0.01,$-0.01
2016-03-31,"$1,984",$852,"$1,132",-,$622,-,"$1,734",$250,$-10,$240,$86,$154,-,$154,-,$154,$516,$250,430,433,$0.36,$0.36
2015-12-31,"$1,791",$692,"$1,099",-,$627,-,"$1,565",$226,"$-1,044",$-818,$-309,$-509,-,$-509,-,$-509,$478,$226,430,430,$-1.18,$-1.18
2015-09-30,"$1,630",$527,"$1,103",-,$570,-,"$1,365",$265,$-900,$-635,$-244,$-391,-,$-391,-,$-391,$540,$265,430,430,$-0.91,$-0.91
2015-06-30,"$1,532",$529,"$1,003",-,$578,-,"$1,346",$186,$-72,$114,$37,$77,-,$77,-,$77,$432,$186,430,432,$0.18,$0.18
2015-03-31,"$2,433","$1,354","$1,079",-,$606,-,"$2,177",$256,$-47,$209,$78,$131,-,$131,-,$131,$480,$256,430,431,$0.30,$0.30
2014-12-31,"$2,372","$1,296","$1,076",-,$626,-,"$2,151",$221,$-12,$209,$33,$176,-,$176,-,$176,$457,$221,430,432,$0.41,$0.41
2014-09-30,"$1,807",$702,"$1,105",-,$579,-,"$1,574",$233,$-20,$213,$70,$143,-,$143,-,$143,$533,$233,430,432,$0.33,$0.33
2014-06-30,"$1,884",$880,"$1,004",-,$562,-,"$1,698",$186,$-17,$169,$62,$107,-,$107,-,$107,$449,$186,430,431,$0.25,$0.25
2014-03-31,"$3,163","$2,043","$1,120",-,$590,-,"$2,868",$295,$-1,$294,$109,$185,-,$185,-,$185,$537,$295,429,431,$0.43,$0.43
2013-12-31,"$2,184","$1,167","$1,017",-,$593,-,"$1,973",$211,$-36,$175,$62,$113,-,$113,-,$113,$431,$211,428,431,$0.27,$0.26
2013-09-30,"$1,640",$637,"$1,003",-,$511,-,"$1,396",$244,$-15,$229,$78,$151,-,$151,-,$151,$499,$244,429,431,$0.35,$0.35
2013-06-30,"$1,894",$880,"$1,014",-,$538,-,"$1,671",$223,$-79,$144,$244,$-100,-,$-100,-,$-100,$484,$223,429,431,$-0.23,$-0.23
2013-03-31,"$2,388","$1,224","$1,164",-,$592,-,"$2,056",$332,$-99,$233,$86,$147,-,$147,-,$147,$580,$332,428,430,$0.34,$0.34
2012-12-31,"$2,138",$975,"$1,163",-,$603,-,"$1,828",$310,$-100,$210,$76,$134,-,$134,-,$134,$569,$310,427,430,$0.33,$0.32
2012-09-30,"$1,705",$520,"$1,185",-,$544,-,"$1,617",$88,$40,$128,$118,$10,-,$10,-,$10,$397,$88,427,430,$0.02,$0.02
2012-06-30,"$1,525",$409,"$1,116",-,$539,-,"$1,223",$302,$-102,$200,$74,$126,-,$126,-,$126,$584,$302,427,430,$0.29,$0.29
2012-03-31,"$2,084",$969,"$1,115",-,$553,-,"$1,746",$338,$-119,$219,$72,$147,-,$147,-,$147,$570,$338,426,428,$0.34,$0.34
2011-12-31,"$2,145","$1,066","$1,079",-,$596,-,"$1,871",$274,$-115,$159,$42,$117,-,$117,-,$117,$491,$274,426,429,$0.28,$0.27
2011-09-30,"$1,881",$735,"$1,146",-,$536,-,"$1,524",$357,$233,$590,$204,$386,-,$386,-,$973,$617,$357,426,429,$2.28,$2.27
2011-06-30,"$1,837",$778,"$1,059",-,$533,-,"$1,534",$303,$-113,$190,$71,$119,-,$119,-,$119,$534,$303,426,428,$0.28,$0.28
2011-03-31,"$2,587","$1,476","$1,111",-,$546,-,"$2,223",$364,$-129,$235,$87,$148,-,$148,-,$148,$572,$364,425,427,$0.35,$0.35
2010-12-31,"$2,098","$1,053","$1,045",-,$539,-,"$1,796",$302,$-138,$164,$40,$124,-,$124,-,$124,$512,$302,410,413,$0.30,$0.29
2010-09-30,"$1,908",$808,"$1,100",-,$530,-,"$1,581",$327,$-128,$199,$76,$123,-,$123,-,$123,$577,$327,422,425,$0.29,$0.29
2010-06-30,"$1,756",$778,$978,-,$498,-,"$1,493",$263,$-137,$126,$45,$81,-,$81,-,$81,$487,$263,400,402,$0.20,$0.20
2010-03-31,"$3,023","$1,935","$1,088",-,$531,-,"$2,666",$357,$-141,$216,$102,$114,-,$114,-,$114,$564,$357,393,395,$0.29,$0.29
2009-12-31,"$2,299","$1,290","$1,009",-,$529,-,"$2,000",$299,$-147,$152,$47,$105,-,$105,-,$105,$488,$299,365,368,$0.28,$0.27
2009-09-30,"$1,576",$582,$994,-,$499,-,"$1,289",$287,$-135,$152,$38,$114,-,$114,-,$114,$504,$287,370,372,$0.31,$0.31
2009-06-30,"$1,640",$710,$930,-,$489,-,"$1,387",$253,$-124,$129,$43,$86,-,$86,-,$86,$451,$253,352,354,$0.24,$0.24
2009-03-31,"$2,766","$1,789",$977,-,$526,-,"$2,481",$285,$-170,$115,$48,$67,-,$67,-,$67,$461,$285,347,349,$0.19,$0.19
2008-12-31,"$2,774","$1,791",$983,-,$512,-,"$2,471",$303,$-151,$152,$65,$87,-,$87,-,$87,$479,$303,336,344,$0.25,$0.25
2008-09-30,"$2,515","$1,532",$983,-,$452,-,"$2,178",$337,$-124,$213,$77,$136,-,$136,-,$136,$537,$337,342,345,$0.40,$0.39
2008-06-30,"$2,670","$1,750",$920,-,$435,-,"$2,373",$297,$-135,$162,$61,$101,-,$101,-,$101,$492,$297,331,342,$0.30,$0.30
2008-03-31,"$3,363","$2,393",$970,-,$476,-,"$3,027",$336,$-140,$196,$74,$122,-,$122,-,$122,$502,$336,327,339,$0.37,$0.36
2007-12-31,"$2,602","$1,646",$956,-,$497,-,"$2,299",$303,$-160,$143,$39,$104,-,$104,-,$104,$484,$303,320,343,$0.31,$0.30
2007-09-30,"$1,882",$991,$891,-,$434,-,"$1,595",$287,$-142,$145,$54,$91,-,$91,-,$91,$468,$287,321,341,$0.29,$0.27
